key	type	walk_speed	run_speed	acceleration	deceleration	charge_speed	crawl_speed	charge_distance_commence_run	charge_distance_adopt_charge_pose	charge_distance_pick_target	radius	shape	radii_ratio	mass	height	fire_arc_close	fire_arc_loose	turn_speed	hit_points	allow_turn_to_move_anim	allow_static_turn_anim	tracking_threshold	min_turning_speed	display_model_offset_z
#battle_entities_tables;5;db/battle_entities_tables/sw_battle_entities																								
att_animal_es_african_dog	fauna_dog	2.45	8.85	6.0	6.0	9.0	1.3	40.0	30.0	30.0	0.9	ellipse	0.35	40.0	1.0	90.0	90.0	80.0	1	true	true	1.45	0.0	0.0
att_animal_wardog	fauna_dog	2.45	8.85	6.0	6.0	9.0	1.3	40.0	30.0	30.0	0.9	ellipse	0.35	40.0	1.0	90.0	90.0	80.0	1	true	true	1.45	0.0	0.0
vik_artillery_catapult	artillery	1.1	1.1	1.5	2.0	1.1	0.8	30.0	20.0	20.0	3.5	ellipse	0.6	5015.0	3.2	90.0	90.0	25.0	53	true	true	1.45	0.0	0.0
vik_artillery_catapult_large	artillery	1.1	1.1	0.4	1.0	1.1	0.5	30.0	20.0	20.0	5.8	ellipse	0.65	5015.0	7.5	90.0	90.0	15.0	53	true	true	1.45	0.0	0.0
vik_horse_heavy	horse	1.65	7.35	4.0	5.0	7.5	0.9	50.0	40.0	30.0	1.2	ellipse	0.325	890.0	1.8	150.0	150.0	120.0	15	true	true	1.45	1.0	0.0
vik_horse_light	horse	2.05	8.85	5.5	5.0	9.0	0.9	50.0	40.0	30.0	1.2	ellipse	0.325	640.0	1.8	150.0	150.0	120.0	13	true	true	1.45	1.0	0.0
vik_horse_medium	horse	1.85	8.85	5.5	5.0	9.0	0.9	50.0	40.0	30.0	1.2	ellipse	0.325	765.0	1.8	150.0	150.0	120.0	13	true	true	1.45	1.0	0.0
vik_horse_very_heavy	horse	1.45	7.35	3.5	5.0	8.0	0.8	50.0	40.0	30.0	1.2	ellipse	0.325	1015.0	1.8	150.0	150.0	120.0	21	true	true	1.45	1.0	0.0
vik_horse_very_light	horse	2.35	10.85	6.5	5.0	11.0	1.0	50.0	40.0	30.0	1.2	ellipse	0.325	515.0	1.8	150.0	150.0	120.0	13	true	true	1.45	1.0	0.0
vik_horse_welsh_heavy	horse	1.75	7.65	4.0	5.0	8.0	0.9	50.0	40.0	30.0	1.2	ellipse	0.325	890.0	1.8	150.0	150.0	120.0	13	true	true	1.45	1.0	0.0
vik_horse_welsh_light	horse	2.15	9.05	5.5	5.0	9.5	0.9	50.0	40.0	30.0	1.2	ellipse	0.325	640.0	1.8	150.0	150.0	120.0	13	true	true	1.45	1.0	0.0
vik_horse_welsh_medium	horse	1.95	9.05	5.5	5.0	9.5	0.9	50.0	40.0	30.0	1.2	ellipse	0.325	765.0	1.8	150.0	150.0	120.0	13	true	true	1.45	1.0	0.0
vik_horse_welsh_very_heavy	horse	1.55	7.65	3.5	5.0	8.0	0.8	50.0	40.0	30.0	1.2	ellipse	0.325	1015.0	1.8	150.0	150.0	120.0	17	true	true	1.45	1.0	0.0
vik_horse_welsh_very_light	horse	2.35	9.55	6.5	5.0	10.0	1.0	50.0	40.0	30.0	1.2	ellipse	0.325	515.0	1.8	150.0	150.0	120.0	13	true	true	1.45	1.0	0.0
vik_inf_2h_heavy	man	1.1	2.6	2.5	4.0	3.0	0.5	18.0	22.0	30.0	0.4	circle	1.0	215.0	1.7	150.0	150.0	120.0	17	true	true	1.45	0.0	0.0
vik_inf_2h_med	man	1.1	2.85	2.5	4.0	3.0	0.5	18.0	22.0	30.0	0.4	circle	1.0	175.0	1.7	150.0	150.0	120.0	13	true	true	1.45	0.0	0.0
vik_inf_2h_very_heavy	man	1.1	2.35	2.5	4.0	3.0	0.5	18.0	22.0	30.0	0.4	circle	1.0	265.0	1.7	150.0	150.0	120.0	21	true	true	1.45	0.0	0.0
vik_inf_heavy	man	1.1	2.6	2.5	4.0	3.0	0.5	15.0	17.0	30.0	0.4	circle	1.0	175.0	1.7	150.0	150.0	120.0	13	true	true	1.45	0.0	0.0
vik_inf_light	man	1.1	3.1	2.0	5.0	3.0	0.5	15.0	17.0	30.0	0.4	circle	1.0	100.0	1.7	150.0	150.0	120.0	13	true	true	1.45	0.0	0.0
vik_inf_med	man	1.1	2.85	2.5	4.0	3.0	0.5	15.0	17.0	30.0	0.4	circle	1.0	135.0	1.7	150.0	150.0	120.0	13	true	true	1.45	0.0	0.0
vik_inf_mis_light	man	1.1	3.6	2.0	5.0	3.0	0.5	15.0	17.0	30.0	0.4	circle	1.0	80.0	1.7	150.0	150.0	120.0	13	true	true	1.45	0.0	0.0
vik_inf_mis_med	man	1.1	3.35	2.5	4.0	3.0	0.5	15.0	17.0	30.0	0.4	circle	1.0	115.0	1.7	150.0	150.0	120.0	13	true	true	1.45	0.0	0.0
vik_inf_mis_very_light	man	1.1	3.85	2.0	5.0	3.0	0.5	15.0	17.0	30.0	0.4	circle	1.0	80.0	1.7	150.0	150.0	120.0	13	true	true	1.45	0.0	0.0
vik_inf_very_heavy	man	1.1	2.35	2.5	4.0	3.0	0.5	15.0	17.0	30.0	0.4	circle	1.0	265.0	1.7	150.0	150.0	120.0	13	true	true	1.45	0.0	0.0
vik_inf_very_light	man	1.1	3.35	2.0	5.0	4.5	0.5	15.0	17.0	30.0	0.4	circle	1.0	100.0	1.7	150.0	150.0	120.0	13	true	true	1.45	0.0	0.0
vik_shp_artillery_catapult	artillery	1.65	2.05	2.0	2.0	2.2	0.9	30.0	20.0	20.0	2.75	capsule	0.65	1015.0	3.0	90.0	90.0	35.0	2005	true	true	1.45	0.0	0.0
vik_shp_dragonship	ship	4.35	4.35	0.6	0.6	5.0	3.0	80.0	80.0	80.0	25.0	lens	0.3	28015.0	2.5	360.0	360.0	20.0	885	true	true	1.1	0.5	0.0
vik_shp_light_longship_transport	ship	4.85	4.85	0.7	0.7	5.5	2.5	80.0	80.0	80.0	18.0	lens	0.26	21015.0	2.5	360.0	360.0	25.0	605	true	true	1.1	0.5	0.0
vik_shp_longship	ship	4.85	4.85	0.7	0.7	5.5	3.5	80.0	80.0	80.0	18.0	lens	0.26	21015.0	2.5	360.0	360.0	25.0	765	true	true	1.1	0.5	0.0
vik_vehicle_battering_ram	artillery	1.1	1.85	1.5	3.0	2.0	0.5	30.0	20.0	20.0	4.9	capsule	1.0	2015.0	6.5	0.0	0.0	5.0	155	true	true	1.45	0.0	0.0
vik_vehicle_ladder	artillery	1.35	1.85	1.2	3.0	2.0	0.9	5.0	5.0	1.0	2.8	capsule	0.8	3015.0	19.0	30.0	45.0	30.0	505	true	true	1.45	0.0	0.0
vik_vehicle_siege_tower	artillery	1.1	1.85	1.2	3.0	2.0	0.5	5.0	5.0	1.0	5.5	capsule	0.9	4015.0	19.0	30.0	45.0	30.0	505	true	true	1.45	0.0	0.0
