key	type	walk_speed	run_speed	acceleration	deceleration	charge_speed	crawl_speed	charge_distance_commence_run	charge_distance_adopt_charge_pose	charge_distance_pick_target	radius	shape	radii_ratio	mass	height	fire_arc_close	fire_arc_loose	turn_speed	hit_points	allow_turn_to_move_anim	allow_static_turn_anim	tracking_threshold	min_turning_speed	display_model_offset_z
#battle_entities_tables;5;db/battle_entities_tables/sw_battle_rebalance																								
sw_peasant_melee	man	1.3	2.2	2.5	4.0	3.5	0.5	30.0	30.0	30.0	0.4	circle	1.0	135.0	1.7	150.0	150.0	120.0	24	true	true	1.5	0.0	0.0
sw_hird	man	1.3	2.2	2.5	4.0	3.5	0.5	30.0	30.0	30.0	0.4	circle	1.0	260.0	1.7	150.0	150.0	120.0	30	true	true	1.6	0.0	0.0
sw_noble_melee	man	1.3	2.2	2.5	4.0	3.5	0.5	30.0	30.0	30.0	0.4	circle	1.0	215.0	1.7	150.0	150.0	120.0	36	true	true	1.6	0.0	0.0
sw_veteran_melee	man	1.3	2.2	2.5	4.0	3.5	0.5	30.0	30.0	30.0	0.4	circle	1.0	185.0	1.7	150.0	150.0	120.0	30	true	true	1.55	0.0	0.0
sw_skirmisher	man	1.3	3.0	3.5	5.0	3.5	0.5	30.0	30.0	30.0	0.4	circle	1.0	70.0	1.7	150.0	150.0	132.0	24	true	true	1.4	0.0	0.0
sw_peasant_ranged	man	1.3	2.5	2.5	4.0	3.5	0.5	30.0	30.0	30.0	0.4	circle	1.0	70.0	1.7	150.0	150.0	120.0	18	true	true	1.4	0.0	0.0
sw_noble_ranged	man	1.3	2.5	2.0	4.0	3.5	0.5	30.0	30.0	30.0	0.4	circle	1.0	70.0	1.7	150.0	150.0	120.0	24	true	true	1.4	0.0	0.0
sw_eng_hero	man	1.3	2.2	2.5	4.0	3.5	0.5	30.0	30.0	30.0	0.4	circle	1.0	265.0	1.7	150.0	150.0	120.0	48	true	true	1.5	0.0	0.0
sw_dan_hero	man	1.3	2.2	2.5	4.0	3.5	0.5	30.0	30.0	30.0	0.4	circle	1.0	265.0	1.7	150.0	150.0	120.0	42	true	true	1.5	0.0	0.0
sw_sea_king	man	1.3	2.2	2.5	4.0	3.5	0.5	30.0	30.0	30.0	0.4	circle	1.0	265.0	1.7	150.0	150.0	120.0	48	true	true	1.5	0.0	0.0
sw_est_beserker	man	1.3	3.0	3.0	4.0	4.0	0.5	40.0	30.0	30.0	0.4	circle	1.0	265.0	1.7	150.0	150.0	120.0	48	true	true	1.5	0.0	0.0
sw_general	man	1.3	2.2	2.5	4.0	3.5	0.5	30.0	30.0	30.0	0.4	circle	1.0	265.0	1.7	150.0	150.0	120.0	40	true	true	1.5	0.0	0.0
sw_iri_skirmisher	man	1.4	3.1	3.5	5.0	3.5	0.5	30.0	30.0	30.0	0.4	circle	1.0	70.0	1.7	150.0	150.0	132.0	24	true	true	1.4	0.0	0.0
sw_iri_peasant_ranged	man	1.4	2.7	3.0	5.0	3.5	0.5	30.0	30.0	30.0	0.4	circle	1.0	70.0	1.7	150.0	150.0	120.0	18	true	true	1.4	0.0	0.0
