key	accuracy	ammo	armour	campaign_action_points	category	charge_bonus	class	dismounted_charge_bonus	dismounted_melee_attack	dismounted_melee_defense	historical_description_text	man_animation	man_entity	melee_attack	melee_defence	morale	bonus_hit_points	mount	num_animals	animal	num_mounts	primary_melee_weapon	primary_missile_weapon	rank_depth	shield	short_description_text	spacing	strengths_&_weaknesses_text	supports_first_person	training_level	num_guns	officers	articulated_record	engine	is_male	visibility_spotting_range_min	visibility_spotting_range_max	ability_global_recharge	attribute_group	spot_dist_tree	spot_dist_scrub	chariot	num_chariots	reload	loose_spacing	spotting_and_hiding	selection_vo	selected_vo_secondary	selected_vo_tertiary	hiding_scalar	capture_power
#land_units_tables;31;db/land_units_tables/sw_cavalry_units																																																			
sw_eng_select_fyrd_mounted	0	0	sw_mail	2700	cavalry	18	cav_mel	9	18	27	vik_all_thegn_horsemen_long	vik_man_sw_spear_shield_javelin_precursor_horse	sw_veteran_melee	18	27	19	0	sw_dragoon	0		96	sw_spear_noble		4	sw_medium_saxon	vik_eng_thegn_horsemen_short	cavalry	mob	false	well_trained	0	eng_officer_lesser_cav			true	45.0	300.0	0.0	spear_levy	30.0	60.0		0	0	false		vo_battle_unit_thegns	vo_battle_unit_horsemen	vo_battle_unit_cavalry	2.0	10.0
sw_eng_scout	0	0	sw_leather	2700	cavalry	16	cav_mel	8	14	21	vik_eng_scouts_long	vik_man_sw_spear_shield_javelin_precursor_horse	sw_peasant_melee	14	21	12	0	sw_scout_melee	0		24	sw_scout_spear		3	sw_medium_wood	vik_eng_scout_horsemen_short	cavalry	mob	false	rabble	0	eng_officer_range			true	45.0	500.0	0.0	scout	30.0	60.0		0	0	false		vo_battle_unit_horsemen	vo_battle_unit_cavalry	vo_battle_unit_generic	1.0	10.0
sw_eng_thegn_mounted	0	0	sw_mail	2700	cavalry	26	cav_mel	13	18	27	vik_all_earls_horsemen_long	vik_man_sw_spear_shield_javelin_precursor_horse	sw_noble_melee	18	27	21	0	sw_horse_medium	0		48	sw_cavalry_spear		4	sw_medium_saxon	vik_eng_earls_horsemen_short	cavalry	mob	false	rabble	0	eng_officer_cav			true	45.0	300.0	0.0	cavalry_noble_no_precursors	30.0	60.0		0	0	false		vo_battle_unit_horsemen	vo_battle_unit_cavalry	vo_battle_unit_generic	2.0	10.0
sw_est_scout	23	7	sw_cloth_helmet	2700	cavalry	16	cav_mel	6	8	8	vik_est_scouts_long	rome_man_sword_shield_javelin_horse	sw_peasant_melee	8	8	11	0	sw_scout_ranged	0		24	sw_scout_spear	vik_jav_cav	3	sw_medium_wood	vik_est_scouts_short	cavalry	mob	false	rabble	0	est_officer			true	45.0	500.0	0.0	scout	30.0	60.0		0	50	false		vo_battle_unit_cavalry	vo_battle_unit_horsemen	vo_battle_unit_generic	1.0	10.0
sw_wel_cambrogi	15	1	sw_leather	2700	cavalry	20	cav_mel	10	15	22	vik_wel_jav_cav_long	vik_man_sw_spear_shield_javelin_precursor_horse	sw_peasant_melee	15	22	16	0	sw_wel_horse_light	0		64	sw_cavalry_spear	vik_jav_cav_precursor	4	vik_medium_wood	vik_wel_horsemen_short	cavalry	mob	false	rabble	0	wel_officer			true	45.0	300.0	0.0	cavalry	30.0	60.0		0	50	false		vo_battle_unit_horsemen	vo_battle_unit_cavalry	vo_battle_unit_generic	2.0	10.0
sw_wel_strat_clut_comites	23	1	sw_leather	2700	cavalry	40	cav_mel	12	22	25	vik_wel_old_north_horsemen_long	vik_man_sw_spear_shield_javelin_precursor_horse	sw_noble_melee	22	25	20	0	sw_wel_comites	0		48	sw_wel_lance_noble	vik_jav_cav_precursor	5	sw_medium_wood	vik_wel_old_north_uchelwr_short	cavalry	mob	false	rabble	0	wel_officer_elite			true	45.0	300.0	0.0	cavalry_noble	30.0	60.0		0	50	false		vo_battle_unit_cavalry	vo_battle_unit_generic	vo_battle_unit_generic	2.0	10.0
sw_wel_penteulu_hero	23	1	sw_scale	2700	cavalry	28	cav_mel	12	26	25	vik_all_royal_horses_long	vik_man_sw_spear_shield_javelin_precursor_horse	sw_noble_melee	26	25	26	0	sw_wel_penteulu	0		36	sw_wel_lance_hero	vik_jav_cav_precursor	3	sw_medium	vik_wel_royal_uchelwr_short	cavalry	mob	false	rabble	0	wel_officer_penteulu			true	45.0	300.0	0.0	cavalry_encourage	30.0	60.0		0	50	false		vo_battle_unit_cavalry	vo_battle_unit_generic	vo_battle_unit_generic	2.0	10.0
sw_wel_scout	23	1	sw_cloth_helmet	2700	cavalry	16	cav_mel	5	13	20	vik_wel_scouts_long	vik_man_sw_spear_shield_javelin_precursor_horse	sw_peasant_melee	13	20	12	0	sw_wel_scout	0		24	sw_scout_spear	vik_jav_cav_precursor	3	sw_medium_wood	vik_wel_scout_horsemen_short	cavalry	mob	false	rabble	0	wel_officer			true	45.0	500.0	0.0	scout	30.0	60.0		0	50	false		vo_battle_unit_horsemen	vo_battle_unit_cavalry	vo_battle_unit_generic	2.0	10.0
sw_wel_uchelwr_mounted	23	1	sw_leather	2700	cavalry	30	cav_mel	12	21	32	vik_wel_uchelwr_long	vik_man_sw_spear_shield_javelin_precursor_horse	sw_noble_melee	21	32	21	0	sw_wel_horse_medium	0		48	sw_wel_lance_noble	vik_jav_cav_precursor	4	sw_medium_wood	vik_wel_uchelwr_short	cavalry	mob	false	rabble	0	wel_officer			true	45.0	300.0	0.0	cavalry_noble	30.0	60.0		0	50	false		vo_battle_unit_cavalry	vo_battle_unit_generic	vo_battle_unit_generic	2.0	10.0
