key	accuracy	ammo	armour	campaign_action_points	category	charge_bonus	class	dismounted_charge_bonus	dismounted_melee_attack	dismounted_melee_defense	historical_description_text	man_animation	man_entity	melee_attack	melee_defence	morale	bonus_hit_points	mount	num_animals	animal	num_mounts	primary_melee_weapon	primary_missile_weapon	rank_depth	shield	short_description_text	spacing	strengths_&_weaknesses_text	supports_first_person	training_level	num_guns	officers	articulated_record	engine	is_male	visibility_spotting_range_min	visibility_spotting_range_max	ability_global_recharge	attribute_group	spot_dist_tree	spot_dist_scrub	chariot	num_chariots	reload	loose_spacing	spotting_and_hiding	selection_vo	selected_vo_secondary	selected_vo_tertiary	hiding_scalar	capture_power
#land_units_tables;31;db/land_units_tables/sw_peasant_melee_units																																																			
sw_eng_fyrd_spear	0	0	sw_cloth_helmet	2000	inf_melee	8	inf_spr	8	14	21	vik_all_fyrd_spearmen_long	vik_man_sw_spear_shield_javelin_horse	sw_peasant_melee	14	21	15	0		0		0	sw_spear_levy		5	sw_medium_saxon	vik_eng_fyrd_spearmen_short	melee_inf	mob	false	poorly_trained	0	eng_officer_lesser			true	45.0	300.0	0.0	spear_levy	30.0	60.0		0	0	false		vo_battle_unit_fyrd	vo_battle_unit_spears	vo_battle_unit_generic	1.0	10.0
sw_eng_gebur_spear	0	0	sw_cloth_helmet	2000	inf_melee	7	inf_spr	7	11	17	vik_all_ceorl_spearmen_long	vik_man_sw_spear_shield_javelin_horse	sw_peasant_melee	11	16	12	0		0		0	sw_spear_levy		5	sw_medium_wood	vik_eng_ceorl_spearmen_short	melee_inf	mob	false	poorly_trained	0	eng_officer_lesser			true	45.0	300.0	0.0	spear_levy	30.0	60.0		0	0	false		vo_battle_unit_spears	vo_battle_unit_generic	vo_battle_unit_generic	1.0	10.0
sw_eng_gebur_axe	0	0	sw_cloth_helmet	2000	inf_melee	12	inf_mel	12	11	6	vik_all_ceorl_axemen_long	vik_man_sw_axe_shield_javelin_horse	sw_peasant_melee	11	6	12	0		0		0	sw_axe_levy		5	sw_medium_wood	vik_eng_ceorl_axemen_short	melee_inf	mob	false	poorly_trained	0	eng_officer			true	45.0	300.0	0.0	axe	30.0	60.0		0	0	false		vo_battle_unit_axemen	vo_battle_unit_generic	vo_battle_unit_generic	1.0	10.0
sw_eng_ceorl_axe	0	0	sw_leather	2000	inf_melee	15	inf_mel	15	13	7	vik_eng_fyrd_axemen_long	vik_man_sw_axe_shield_javelin_horse	sw_peasant_melee	13	7	14	0		0		0	sw_axe_levy		5	sw_medium_wood	vik_eng_fyrd_axemen_short	melee_inf	mob	false	poorly_trained	0	eng_officer			true	45.0	300.0	0.0	axe	30.0	60.0		0	0	false		vo_battle_unit_fyrd	vo_battle_unit_axemen	vo_battle_unit_generic	1.0	10.0
sw_est_karl_spear	0	0	sw_cloth_helmet	2000	inf_melee	7	inf_spr	7	12	18	vik_est_spears_long	vik_man_sw_spear_shield_javelin_horse	sw_peasant_melee	12	18	12	0		0		0	sw_spear_levy		5	sw_medium	vik_est_spearband_short	melee_inf	mob	false	poorly_trained	0	est_officer			true	45.0	300.0	0.0	spear_levy	30.0	60.0		0	0	false		vo_battle_unit_spears	vo_battle_unit_generic	vo_battle_unit_generic	1.0	10.0
sw_est_drengir	0	0	sw_leather	2000	inf_melee	14	inf_mel	14	14	28	vik_est_norse_warriors_long	vik_man_sw_sword_shield_javelin_horse	sw_peasant_melee	14	28	14	0		0		0	sw_sword_veteran		5	sw_medium_wood	vik_est_norse_warriors_short	melee_inf	mob	false	poorly_trained	0	est_officer			true	45.0	300.0	0.0	axe	30.0	60.0		0	0	false		vo_battle_unit_swords	vo_battle_unit_generic	vo_battle_unit_generic	1.0	10.0
sw_est_karl_axe	0	0	sw_leather	2000	inf_melee	16	inf_mel	16	14	7	vik_est_axes_long	vik_man_sw_axe_shield_javelin_horse	sw_peasant_melee	15	15	14	0		0		0	sw_axe_levy		6	sw_medium_wood	vik_est_axemen_short	melee_inf	mob	false	poorly_trained	0	est_officer			true	45.0	300.0	0.0	axe	30.0	60.0		0	0	false		vo_battle_unit_axemen	vo_battle_unit_axemen	vo_battle_unit_generic	1.0	10.0
sw_est_sailors	0	0	sw_cloth_helmet	2000	inf_melee	15	inf_mel	15	14	7	vik_est_axes_long	vik_man_sw_axe_shield_javelin_horse	sw_peasant_melee	14	7	12	0		0		0	sw_axe_levy		5	sw_small	vik_est_marauders_short	melee_inf	mob	false	poorly_trained	0	est_officer			true	45.0	300.0	0.0	axe	30.0	60.0		0	0	false		vo_battle_unit_axemen	vo_battle_unit_generic	vo_battle_unit_generic	1.0	10.0
sw_wel_cadwr_axe	0	0	sw_leather	2000	inf_melee	14	inf_mel	14	12	6	vik_wel_axes_long	vik_man_sw_axe_shield_javelin_horse	sw_peasant_melee	12	6	13	0		0		0	sw_axe_levy		5	sw_medium_wood	vik_wel_axemen_short	melee_inf	mob	false	poorly_trained	0	wel_officer			true	45.0	300.0	0.0	axe	30.0	60.0		0	0	false		vo_battle_unit_axemen	vo_battle_unit_generic	vo_battle_unit_generic	1.0	10.0
