key	accuracy	ammo	armour	campaign_action_points	category	charge_bonus	class	dismounted_charge_bonus	dismounted_melee_attack	dismounted_melee_defense	historical_description_text	man_animation	man_entity	melee_attack	melee_defence	morale	bonus_hit_points	mount	num_animals	animal	num_mounts	primary_melee_weapon	primary_missile_weapon	rank_depth	shield	short_description_text	spacing	strengths_&_weaknesses_text	supports_first_person	training_level	num_guns	officers	articulated_record	engine	is_male	visibility_spotting_range_min	visibility_spotting_range_max	ability_global_recharge	attribute_group	spot_dist_tree	spot_dist_scrub	chariot	num_chariots	reload	loose_spacing	spotting_and_hiding	selection_vo	selected_vo_secondary	selected_vo_tertiary	hiding_scalar	capture_power
#land_units_tables;31;db/land_units_tables/sw_shield_land_units																																																			
dan_anglian_champions	0	0	vik_mail_long	2000	inf_melee	41	inf_mel	20	38	15	vik_dan_anglian_champions_long	vik_man_sw_axe_shield_javelin_horse	vik_inf_heavy	38	15	25	0		0		0	vik_axe		6	vik_medium	vik_dan_anglian_champions_short	melee_inf	mob	false	trained	0	dan_officer			true	30.0	280.0	0.0	axe	30.0	60.0		0	0	false		vo_battle_unit_axemen	vo_battle_unit_generic	vo_battle_unit_generic	1.2	10.0
dan_anglian_marauders	0	1	vik_mail	2000	inf_melee	22	inf_mel	22	20	20	vik_dan_anglian_champions_long	vik_man_sw_sword_shield_javelin_precursor_horse	shield_warrior_heavy	20	20	21	0		0		0	shield_axe_strong	vik_javelin_leaf_03	4	vik_medium	vik_dan_anglian_marauders_short	melee_inf	mob	false	trained	0	svearvik_officer			true	30.0	280.0	0.0	axe	30.0	60.0		0	0	false		vo_battle_unit_axemen	vo_battle_unit_generic	vo_battle_unit_generic	1.2	10.0
dan_anglian_raiders	0	0	vik_leather_helmet	2000	inf_melee	17	inf_mel	22	19	20	vik_dan_anglian_champions_long	vik_man_sw_axe_shield_javelin_horse	shield_dane_warrior	16	20	16	0		0		0	shield_axe_strong		6	vik_medium_wood	vik_dan_anglian_raiders_short	melee_inf	mob	false	trained	0	dan_officer			true	30.0	280.0	0.0	axe	30.0	60.0		0	0	false		vo_battle_unit_raiders	vo_battle_unit_axemen	vo_battle_unit_generic	1.5	10.0
dan_archers	13	25	vik_cloth_helmet	2000	inf_ranged	2	inf_mis	2	6	15	vik_dan_bows_long	rome_man_sword_bow_horse	shield_peasant_ranged	6	15	12	0		0		0	shield_dagger	vik_bow_levy	3	vik_none	vik_dan_archers_short	missile_inf	mob	false	mob	0	dan_officer_lesser			true	30.0	330.0	0.0	bowmen	30.0	60.0		0	5	false		vo_battle_unit_missile_archers	vo_battle_unit_missile_bows	vo_battle_unit_generic	0.9	10.0
dan_armoured_archers	17	24	vik_leather_helmet	2000	inf_ranged	3	inf_mis	3	11	15	vik_dan_bows_long	rome_man_sword_bow_horse	vik_inf_mis_med	11	15	22	0		0		0	shield_dagger	vik_bow	4	vik_none	vik_dan_armoured_archers_short	missile_inf	mob	false	mob	0	dan_officer			true	30.0	280.0	0.0	hunter	30.0	60.0		0	10	false		vo_battle_unit_missile_archers	vo_battle_unit_missile_bows	vo_battle_unit_generic	1.2	10.0
dan_axemen	0	0	vik_leather	2000	inf_melee	21	inf_mel	19	18	15	vik_dan_axemen_long	vik_man_sw_axe_shield_javelin_horse	shield_dane_warrior	18	15	16	0		0		0	shield_axe_weak		6	vik_medium	vik_dan_axemen_short	melee_inf	mob	false	poorly_trained	0	dan_officer_lesser			true	30.0	280.0	0.0	axe	30.0	60.0		0	0	false		vo_battle_unit_axemen	vo_battle_unit_generic	vo_battle_unit_generic	1.2	10.0
dan_berserkers	0	0	vik_mail_heavy	2000	inf_melee	28	inf_mel	28	22	30	vik_all_berserkers_long	vik_man_sw_axe_shield_javelin_horse	shield_champion_tiny_unit	24	30	22	0		0		0	shield_beserker_weapon		2	vik_medium	vik_dan_berserkers_short	bersekers	mob	false	elite	0	berserker_hero			true	30.0	280.0	0.0	berserker	30.0	60.0		0	0	false		vo_battle_unit_beserkers	vo_battle_unit_axemen	vo_battle_unit_generic	1.2	10.0
dan_catapult	5	9	vik_cloth	1700	artillery	2	art_fld	2	4	15	vik_all_catapult_long	rome_man_sword_onager_crew	shield_peasant_ranged	4	15	15	0		0		0	shield_dagger		1	vik_none	vik_all_catapult_short	artillery	mob	false	poorly_trained	1	dan_catapult_officer		att_onager	true	30.0	280.0	0.0	artillery	30.0	60.0		0	20	false		vo_battle_unit_missile_catapult	vo_battle_unit_generic	vo_battle_unit_generic	1.2	10.0
dan_ceorl_archers	25	22	vik_cloth_helmet	2000	inf_ranged	2	inf_mis	2	5	20	vik_all_ceorl_archers_long	rome_man_sword_bow_horse	shield_peasant_ranged	5	20	12	0		0		0	shield_dagger	vik_bow	3	vik_none	vik_dan_ceorl_archers_short	missile_inf	mob	false	mob	0	dan_officer_lesser			true	30.0	390.0	0.0	hunter	60.0	60.0		0	10	false		vo_battle_unit_missile_archers	vo_battle_unit_missile_bows	vo_battle_unit_generic	0.7	10.0
