ability	land_unit
#land_units_to_unit_abilites_junctions_tables;0;db/land_units_to_unit_abilites_junctions_tables/sw_battle_rebalance_seakings	
form_wedge	sw_est_general
form_wedge	sw_est_elite_general
form_shield_screen	sw_est_general
att_gen_rally_02	sw_est_general
att_gen_rally_02	sw_est_elite_general
att_gen_inspire_02	sw_est_general
att_gen_inspire_02	sw_est_elite_general
rapid_advance	sw_est_drengir
att_gen_raise_02	sw_est_hero_nordmenn_sea_king
com_into_the_breach	sw_est_hero_shield_biter
form_wedge	sw_est_hirdmenn_axe
form_shield_screen	sw_est_nordmenn_vikingar
form_shield_screen	sw_est_hirdmenn_spear
form_shield_screen	sw_est_hirdmenn_sword
