unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	prestige	recruitment_cost	recruitment_movie	religion_requirement	upkeep_cost	weight	campaign_total_cap	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	voiceover	ui_unit_group_land	ui_unit_group_naval	tier
#main_units_tables;17;db/main_units_tables/sw_noble_melee_units																															
sw_eng_thegn_spear		0	medium	1	false	sw_eng_thegn_spear	80	8	215	vik_sae_wylfing	1	20	200	0	215			110	heavy	-1		false	false	0	24540	true		vo_subculture_viking_english	att_inf_spear_land	att_special_transportship_naval	2
sw_eng_thegn_sword		0	medium	1	false	sw_eng_thegn_sword	80	8	260	vik_sae_wylfing	1	20	200	0	260			130	heavy	-1		false	false	0	24543	true		vo_subculture_viking_english	att_inf_sword_land	att_special_transportship_naval	2
sw_est_hirdmenn_sword		0	medium_aux	1	false	sw_est_hirdmenn_sword	120	8	300	vik_byrdingr	1	20	200	0	325			170	heavy	-1		false	false	0	14600	true		vo_subculture_viking_nordic	att_inf_sword_land	att_special_transportship_naval	2
sw_est_hirdmenn_axe		0	heavy	1	false	sw_est_hirdmenn_axe	120	8	285	vik_byrdingr	1	20	200	0	310			160	heavy	-1		false	false	0	14650	true		vo_subculture_viking_nordic	att_inf_axe_land	att_special_transportship_naval	2
sw_est_hirdmenn_spear		0	medium	1	false	sw_est_hirdmenn_spear	120	8	260	vik_byrdingr	1	20	200	0	275			140	heavy	-1		false	false	0	14688	true		vo_subculture_viking_nordic	att_inf_spear_land	att_special_transportship_naval	2
sw_wel_gwrda_sword		0	medium	1	false	sw_wel_gwrda_sword	80	0	230	vik_ddraig	1	20	200	0	230			120	heavy	-1		false	false	0	15371	true		vo_subculture_celtic_welsh	att_inf_sword_land	att_special_transportship_naval	2
sw_wel_teulu_sword		0	medium	1	false	sw_wel_teulu_sword	80	1	340	vik_ddraig	1	20	200	0	340			170	very_heavy	-1		false	false	0	15450	true		vo_subculture_celtic_welsh	att_inf_sword_land	att_special_transportship_naval	3
sw_wel_uchelwr_spear		0	heavy	1	false	sw_wel_uchelwr_spear	120	4	175	vik_ddraig	1	20	200	0	175			90	heavy	-1		false	false	0	15460	true		vo_subculture_celtic_welsh	att_inf_spear_land	att_special_transportship_naval	2
sw_wel_teulu_spear		0	heavy	1	false	sw_wel_teulu_spear	80	1	300	vik_ddraig	1	20	200	0	300			150	very_heavy	-1		false	false	0	15506	true		vo_subculture_celtic_welsh	att_inf_spear_land	att_special_transportship_naval	3
sw_wel_young_sword		0	medium	1	false	sw_wel_young_sword	120	0	175	vik_ddraig	1	20	200	0	175			90	medium	-1		false	false	0	15490	true		vo_subculture_celtic_welsh	att_inf_sword_land	att_special_transportship_naval	1
sw_dan_thegn_spear		0	medium	1	false	sw_dan_thegn_spear	80	8	215	vik_byrdingr	1	20	200	0	285			110	heavy	-1		false	false	0	14361	true		vo_subculture_viking_nordic	att_inf_spear_land	att_special_transportship_naval	2
sw_dan_thegn_sword		0	medium	1	false	sw_dan_thegn_sword	80	8	280	vik_byrdingr	1	20	200	0	280			140	heavy	-1		false	false	0	14339	true		vo_subculture_viking_nordic	att_inf_sword_land	att_special_transportship_naval	1
sw_dan_hirdmenn_sword		0	medium	1	false	sw_dan_hirdmenn_sword	120	2	275	vik_byrdingr	1	20	200	0	305			145	heavy	-1		false	false	0	14347	true		vo_subculture_viking_nordic	att_inf_sword_land	att_special_transportship_naval	2
sw_dan_rekkar		0	medium	1	false	sw_dan_rekkar	80	0	220	vik_byrdingr	1	20	200	0	220			110	medium	-1		false	false	0	15963	true		vo_subculture_viking_nordic	att_inf_sword_land	att_special_transportship_naval	1
