unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	prestige	recruitment_cost	recruitment_movie	religion_requirement	upkeep_cost	weight	campaign_total_cap	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	voiceover	ui_unit_group_land	ui_unit_group_naval	tier
#main_units_tables;17;db/main_units_tables/sw_peasant_melee_units																															
sw_eng_fyrd_spear		0	light	1	false	sw_eng_fyrd_spear	160	24	95	vik_sae_wylfing	1	20	200	0	95			50	light	-1		false	false	0	24397	true		vo_subculture_viking_english	att_inf_spear_land	att_special_transportship_naval	1
sw_eng_gebur_spear		0	light	1	false	sw_eng_gebur_spear	160	24	65	vik_sae_wylfing	1	20	200	0	65			20	light	-1		false	false	0	24436	true		vo_subculture_viking_english	att_inf_spear_land	att_special_transportship_naval	1
sw_eng_gebur_axe		0	light	1	false	sw_eng_gebur_axe	160	0	95	vik_sae_wylfing	1	20	200	0	95			30	light	-1		false	false	0	14383	true		vo_subculture_viking_english	att_inf_axe_land	att_special_transportship_naval	1
sw_eng_ceorl_axe		0	light	1	false	sw_eng_ceorl_axe	160	0	140	vik_sae_wylfing	1	20	200	0	140			70	light	-1		false	false	0	14425	true		vo_subculture_viking_english	att_inf_axe_land	att_special_transportship_naval	1
sw_est_karl_spear		0	light	1	false	sw_est_karl_spear	120	0	85	vik_byrdingr	1	20	200	0	95			50	light	-1		false	false	0	14699	true		vo_subculture_viking_nordic	att_inf_spear_land	att_special_transportship_naval	1
sw_est_drengir		0	medium	1	false	sw_est_drengir	120	0	150	vik_byrdingr	1	20	200	0	150			80	light	-1		false	false	0	15956	true		vo_subculture_viking_nordic	att_inf_sword_land	att_special_transportship_naval	1
sw_est_karl_axe		0	heavy	1	false	sw_est_karl_axe	120	0	140	vik_byrdingr	1	20	200	0	165			90	light	-1		false	false	0	14554	true		vo_subculture_viking_nordic	att_inf_axe_land	att_special_transportship_naval	1
sw_est_sailors		0	light	1	false	sw_est_sailors	120	0	80	vik_byrdingr	1	20	200	0	110			60	light	-1		false	false	0	14664	true		vo_subculture_viking_nordic	att_inf_axe_land	att_special_transportship_naval	1
sw_wel_cadwr_axe		0	light	1	false	sw_wel_cadwr_axe	160	0	140	vik_ddraig	1	20	200	0	140			70	light	-1		false	false	0	15380	true		vo_subculture_celtic_welsh	att_inf_axe_land	att_special_transportship_naval	1
sw_wel_taeog_axe		0	light	1	false	sw_wel_taeog_axe	160	0	95	vik_ddraig	1	20	200	0	95			30	light	-1		false	false	0	15425	true		vo_subculture_celtic_welsh	att_inf_axe_land	att_special_transportship_naval	1
sw_wel_taeog_spear		0	light	1	false	sw_wel_taeog_spear	160	0	65	vik_ddraig	1	20	200	0	65			20	light	-1		false	false	0	15435	true		vo_subculture_celtic_welsh	att_inf_spear_land	att_special_transportship_naval	1
sw_wel_pedyt_spear		0	light	1	false	sw_wel_pedyt_spear	160	0	95	vik_ddraig	1	20	200	0	95			50	light	-1		false	false	0	15481	true		vo_subculture_celtic_welsh	att_inf_spear_land	att_special_transportship_naval	1
sw_dan_leidang		0	light	1	false	sw_dan_leidang	160	0	65	vik_byrdingr	1	20	200	0	65			20	light	-1		false	false	0	14248	true		vo_subculture_viking_nordic	att_inf_spear_land	att_special_transportship_naval	1
sw_dan_danelaw_spears		0	light	1	false	sw_dan_danelaw_spears	160	0	95	vik_byrdingr	1	20	200	0	95			50	light	-1		false	false	0	14333	true		vo_subculture_viking_nordic	att_inf_spear_land	att_special_transportship_naval	1
sw_dan_danelaw_axe		0	light	1	false	sw_dan_danelaw_axe	160	0	185	vik_byrdingr	1	20	200	0	185			100	light	-1		false	false	0	14208	true		vo_subculture_viking_nordic	att_inf_axe_land	att_special_transportship_naval	1
sw_dan_sailors		0	light	1	false	sw_dan_sailors	160	0	110	vik_byrdingr	1	20	200	0	110			60	light	-1		false	false	0	14234	true		vo_subculture_viking_nordic	att_inf_axe_land	att_special_transportship_naval	1
sw_bdt_brigands		0	light	1	false	sw_bdt_brigands	120	0	105	vik_byrdingr	1	20	200	0	105			70	very_light	-1		false	false	0	14581	true		vo_subculture_viking_nordic	att_inf_axe_land	att_special_transportship_naval	1
sw_bdt_footpads		0	medium	1	false	sw_bdt_footpads	160	0	95	vik_ddraig	1	20	200	0	95			50	very_light	-1		false	false	0	15529	true		vo_subculture_celtic_welsh	att_inf_spear_land	att_special_transportship_naval	1
