unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	prestige	recruitment_cost	recruitment_movie	religion_requirement	upkeep_cost	weight	campaign_total_cap	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	voiceover	ui_unit_group_land	ui_unit_group_naval	tier
#main_units_tables;17;db/main_units_tables/sw_veteran_melee_units																															
sw_mrc_vikingar		0	medium	1	false	sw_mrc_vikingar	120	12	200	vik_ddraig	1	20	200	0	200			100	medium	1		false	false	0	15440	true		vo_subculture_viking_nordic	shieldwall_mercenary	att_special_transportship_naval	2
sw_eng_seax		0	medium	1	false	sw_eng_seax	120	12	160	vik_sae_wylfing	1	20	200	0	160			80	medium	-1		false	false	0	14510	true		vo_subculture_viking_english	att_inf_sword_land	att_special_transportship_naval	1
sw_eng_butsecarl		0	medium	1	false	sw_eng_butsecarl	80	0	140	vik_sae_wylfing	1	20	200	0	140			60	medium	-1		false	false	0	14444	true		vo_subculture_viking_english	shieldwall_mercenary	att_special_transportship_naval	2
sw_eng_select_fyrd_spear		0	light	1	false	sw_eng_select_fyrd_spear	120	0	190	vik_sae_wylfing	1	20	200	0	190			120	medium	-1		false	false	0	14525	true		vo_subculture_viking_english	att_inf_spear_land	att_special_transportship_naval	2
sw_est_long_axes		0	heavy	1	false	sw_est_long_axes	80	0	160	vik_byrdingr	1	20	200	0	160			80	medium	-1		false	false	0	14645	true		vo_subculture_viking_nordic	att_inf_axe_land	att_special_transportship_naval	2
sw_est_rekkar		0	medium	1	false	sw_est_rekkar	80	0	220	vik_byrdingr	1	20	200	0	220			110	medium	-1		false	false	0	15963	true		vo_subculture_viking_nordic	att_inf_sword_land	att_special_transportship_naval	1
sw_est_nordmenn_vikingar		0	heavy	1	false	sw_est_nordmenn_vikingar	120	0	145	vik_byrdingr	1	20	200	0	145			60	medium	-1		false	false	0	14695	true		vo_subculture_viking_nordic	att_inf_spear_land	att_special_transportship_naval	2
sw_dan_vikingar		0	medium	1	false	sw_dan_vikingar	120	0	175	vik_byrdingr	1	20	200	0	175			90	medium	-1		false	false	0	14367	true		vo_subculture_viking_nordic	att_inf_axe_land	att_special_transportship_naval	2
sw_eng_marcher_spear		0	medium	1	false	sw_eng_marcher_spear	120	0	130	vik_sae_wylfing	1	20	200	0	130			70	medium	-1		false	false	0	15907	true		vo_subculture_viking_english	att_inf_spear_land	att_special_transportship_naval	2
