key	animation	entity	mount_armour	variant	audio_armour_type
#mounts_tables;3;db/mounts_tables/sw_battle_rebalance					
sw_dragoon	rome_mount_horse_spear_shield	sw_dragoon	0	cha_barb_horse	body
sw_scout_melee	rome_mount_horse_spear_shield	sw_scout	0	cha_barb_horse	body
sw_horse_medium	rome_mount_horse_spear_shield	sw_horse_medium	0	cha_barb_horse	body
sw_mounted_general_celt	rome_mount_horse_spear_shield	sw_mounted_general	0	celt_horse	body
sw_wel_mounted_general	rome_mount_horse_spear_shield	sw_wel_mounted_general	0	celt_horse	body
sw_wel_elite_general	rome_mount_horse_spear_shield	sw_wel_elite_general	0	wel_armoured_horse	chainmail
sw_scout_ranged	rome_mount_horse_sword_shield	sw_scout	0	cha_barb_horse	body
sw_wel_horse_medium	rome_mount_horse_spear_shield	sw_wel_horse_medium	0	cha_barb_horse	body
sw_wel_comites	rome_mount_horse_spear_shield	sw_wel_comites	0	cha_barb_horse	body
sw_wel_horse_light	rome_mount_horse_spear_shield	sw_wel_horse_light	0	cha_barb_horse	body
sw_wel_scout	rome_mount_horse_spear_shield	sw_wel_scout	0	cha_barb_horse	body
sw_wel_penteulu	rome_mount_horse_spear_shield	sw_wel_penteulu	0	wel_armoured_horse	chainmail
