faction	unit	name	variant	height_variation	height_scale	unit_card
#unit_variants_tables;4;db/unit_variants_tables/sw_unit_variants						
	dan_berserkers	dan_berserkers	dan_berserkers	0.1	1.1	dan_berserkers
	dan_jarls_huscarls	dan_jarls_huscarls	dan_jarls_huscarls	0.1	1.05	dan_jarls_huscarls
	dan_northumbrian_mailed_thegns	dan_northumbrian_mailed_thegns	dan_northumbrian_mailed_thegns	0.1	1.0	dan_northumbrian_mailed_thegns
	dan_northumbrian_thegns	dan_northumbrian_thegns	dan_northumbrian_thegns	0.1	1.0	dan_northumbrian_thegns
	eng_fyrd_archers	eng_fyrd_archers	eng_fyrd_archers	0.1	1.0	eng_fyrd_archers
	eng_militia_fyrd_archers	eng_militia_fyrd_archers	eng_militia_fyrd_archers	0.1	1.0	eng_militia_fyrd_archers
	est_shield_biters	est_shield_biters	est_shield_biters	0.1	1.1	est_shield_biters
	eng_ceorl_archers	eng_ceorl_archers	eng_ceorl_archers	0.1	1.0	eng_ceorl_archers
	eng_north_horsemen	eng_north_horsemen	eng_north_horsemen	0.1	1.0	eng_north_horsemen
	eng_north_spearmen	eng_north_spearmen	eng_north_spearmen	0.1	1.0	eng_north_spearmen
	eng_north_champion	eng_north_champion	eng_north_champion	0.1	1.0	eng_north_champion
	eng_north_hunters	eng_north_hunters	eng_north_hunters	0.1	1.0	eng_north_hunters
	eng_north_javelinmen	eng_north_javelinmen	eng_north_javelinmen	0.1	1.0	eng_north_javelinmen
	sw_dan_skirmisher	sw_dan_skirmisher	dan_javelinmen	0.0	1.0	dan_javelinmen
