key	text	tooltip
#Loc PackedFile;1;text/db/@custom_land_units.loc		
land_units_onscreen_name_dan_anglian_marauders	Svear Vikingar	true
land_units_onscreen_name_sw_dan_vikingar	Danskir Vikingar	true
land_units_onscreen_name_dan_axemen	Danelaw Axeband	true
land_units_onscreen_name_dan_berserkers	Berserkir	true
land_units_onscreen_name_dan_ceorl_axemen	Danskir Holumenn	true
land_units_onscreen_name_dan_ceorl_javelinmen	Ruffians	true
land_units_onscreen_name_sw_dan_leidang	Leidang Spearband	true
land_units_onscreen_name_dan_fyrd_archers	Bandits	true
land_units_onscreen_name_dan_huscarls	Danskir Storroxar	true
land_units_onscreen_name_dan_jarls_huscarls	Silver Wolves	true
land_units_onscreen_name_dan_javelinmen	Danelaw Skirmishers	true
land_units_onscreen_name_dan_mailed_horsemen	Frankish Horsemen	true
land_units_onscreen_name_dan_mailed_swordsmen	Sverddani	true
land_units_onscreen_name_dan_northumbrian_mailed_thegns	Frisian Mercenaries	true
land_units_onscreen_name_sw_dan_elite_general	Danskir Huskarlar	true
land_units_onscreen_name_dan_shield_biters	Danskir Sea Captain	true
land_units_onscreen_name_sw_dan_danelaw_spears	Danelaw Spearband	true
land_units_onscreen_name_dan_sword_hersir	Anglian Thegns	true
land_units_onscreen_name_dan_sword_hirdmen	Hirdmenn Swordband	true
land_units_onscreen_name_sw_dan_general	Danskir Hirdmenn	true
land_units_onscreen_name_sw_eng_gebur_bow	Gebur Bowmen	true
land_units_onscreen_name_sw_eng_gebur_axe	Gebur Axeband	true
land_units_onscreen_name_sw_eng_gebur_skirm	Gebur Skirmishers	true
land_units_onscreen_name_sw_eng_gebur_spear	Gebur Spearband	true
land_units_onscreen_name_sw_eng_thegn_mounted	Thegn Horsemen	true
land_units_onscreen_name_eng_earls_spearmen	Gedriht Spearband	true
land_units_onscreen_name_eng_earls_thegns	Gedriht Swordband	true
land_units_onscreen_name_sw_eng_ceorl_axe	Ceorl Axeband	true
land_units_onscreen_name_sw_eng_ceorl_skirm	Ceorl Skirmishers	true
land_units_onscreen_name_sw_eng_fyrd_spear	Fyrd Spearband	true
land_units_onscreen_name_sw_eng_butsecarl	Butsecarls	true
land_units_onscreen_name_eng_mailed_horsemen	Marcher Horsemen	true
land_units_onscreen_name_eng_mailed_seaxs	Seax Warband	true
land_units_onscreen_name_eng_mailed_thegns	Old Captain	true
land_units_onscreen_name_eng_marcher_armoured_spearmen	Sons of Fhionghuin	true
land_units_onscreen_name_eng_marcher_spearmen	Marcher Spearband	true
land_units_onscreen_name_eng_militia_fyrd_archers	Marcher Archers	true
land_units_onscreen_name_sw_eng_general	Hearrthweru	true
land_units_onscreen_name_sw_eng_elite_general	Huscarlas	true
land_units_onscreen_name_sw_eng_wessex_hero	Gedriht Swordband	true
land_units_onscreen_name_sw_eng_seax	Geoguth Warband	true
land_units_onscreen_name_sw_eng_select_fyrd_spear	Select Fyrd Spearband	true
land_units_onscreen_name_sw_eng_select_fyrd_mounted	Select Fyrd Horsemen	true
