key	value
#_kv_fatigue_tables;0;db/_kv_fatigue_tables/_kv_fatigue	
charging	10.0
climbing_walls	0.0
combat	15.0
fatigue_resistant_delta	-1.0
gradient_shallow	7.0
gradient_shallow_movement_multiplier	125.0
gradient_steep	20.0
gradient_steep_movement_multiplier	150.0
gradient_very_steep	35.0
gradient_very_steep_movement_multiplier	200.0
idle	-20.0
idle_in_building	-20.0
idle_rain	-15.0
idle_snow	-15.0
limbering	0.0
ready	0.0
reloading	0.0
reloading_artillery	0.0
running	4.0
running_artillery_horse	0.0
running_cavalry	0.0
running_cavalry_light	0.0
shooting	0.0
threshold_active	1000.0
threshold_exhausted	8500.0
threshold_fresh	0.0
threshold_max	10000.0
threshold_tired	4500.0
threshold_very_tired	7000.0
threshold_winded	2500.0
tight_formation	-3.0
under_fire_artillery	0.0
under_fire_small_arms	1.0
walking	-6.0
walking_artillery	-3.0
walking_horse_artillery	0.0
working	15.0
