key	value
#_kv_rules_tables;0;db/_kv_rules_tables/_kv_rules	
accuracy_modifier_fog	-10.0
armour_melee_penetrating_divisor	4.0
armour_melee_piercing_divisor	2.0
armour_missile_penetrating_divisor	4.0
armour_missile_piercing_divisor	2.0
artillery_projectile_calibration_target_area	35.0
attackpower_extreme_range_multplier	0.7
attackpower_long_range_multiplier	0.85
battle_camera_max_distance_from_army	200.0
battleai_sallyout_defend_settlement_preference	0.1
battleai_sallyout_open_field_victory_factor	1.5
battleai_sallyout_tower_strength	200.0
battlefield_zone_slot_threshold	5.0
bayonet_melee_attack_bonus	0.0
bayonet_ring_reload_time_penalty	0.0
boarding_bonus_time	60.0
boarding_melee_attack_bonus	10.0
boarding_melee_defense_bonus	10.0
boiling_oil_distance_multiplier	0.29
boiling_oil_flow_duration	2.0
bracing_calibration_ranks	5.0
bracing_calibration_ranks_multiplier	3.0
bracing_charge_reflector_bonus	1.6
bracing_immovable_by_small_entity_mass	400.0
bracing_max_multiplier_clamp	10.0
break_off_ignore_collision_time	1.5
break_off_speed_and_direction_checks	0.0
broadsides_accuracy_modifier	0.1
broadsides_damage_modifier	1.25
charge_cool_down_time	15.0
climbing_ladder_fast_speed_modifier	1.5
climbing_ladder_normal_speed_modifier	1.0
climbing_walls_fall_chance_ashigaru	0.012
climbing_walls_fall_chance_samurai	0.008
climbing_walls_fast_speed_modifier	2.25
climbing_walls_min_width	20.0
climbing_walls_normal_speed_modifier	0.6
collision_damage_armour_penetration_ratio	1.0
collision_damage_default	5.0
collision_damage_exclude_large_entities	1.0
collision_damage_maximum	20.0
collision_damage_modifier	1.0
collision_damage_normaliser	1.0
critical_hit_chance	10.0
critical_hit_modifier	2.0
defense_melee_penetrating_divisor	4.0
defense_melee_piercing_divisor	2.0
defense_missile_penetrating_divisor	4.0
defense_missile_piercing_divisor	2.0
escalation_level_one_building_health	0.7
escalation_level_one_wall_breaches	1.0
escalation_level_one_wall_health	0.7
escalation_level_two_building_health	0.3
escalation_level_two_wall_breaches	4.0
escalation_level_two_wall_health	0.3
factor_attackdir_flankleft	12.0
factor_attackdir_flankright	12.0
factor_attackdir_front	0.0
factor_attackdir_rear	20.0
fire_on_walls_accuracy_modifier	0.0
fire_on_walls_range_modifier	0.0
fire_on_walls_reload_modifier	0.0
fire_rocket_projectile_calibration_target_area	20.0
fire_volley_arrow_min_threshold	0.1
fire_volley_gun_min_threshold	0.025
fire_volley_max_aim_delay_training_ratio	0.3
firing_drill_improved_platoon_fire_reload_modifier	50.0
firing_drill_mass_fire_reload_modifier	0.0
firing_drill_platoon_fire_reload_modifier	0.0
firing_drill_rank_fire_reload_modifier	0.0
fort_wall_visibility_enabled	1.0
fort_wall_visibility_perimeter_distance	300.0
hnbonus_bayonet	0.0
hnbonus_melee_cavalry_v_infantry	5.0
hnbonus_melee_cavalry_v_squareinfantry	0.0
hnbonus_melee_loose_formation	10.0
impact_reflection_attack_cooldown_timer	0.0
impact_reflection_final_damage_modifier	1.0
impact_reflection_knockback_chance	75.0
impact_reflection_velocity_bonus_damage_modifier	20.0
knockdown_getting_up_delay_armour_multiplier	0.08
knockdown_getting_up_delay_max	4.0
knockdown_getting_up_delay_min	2.0
land_mortar_projectile_calibration_target_area	750.0
last_stand_siege_attacker	15.0
last_stand_siege_defender	-10.0
magazine_explosion_interrupt_chance	15.0
magazine_explosion_radius	25.0
mangonel_projectile_calibration_target_area	40.0
melee_attack_interval	2.0
melee_charge_factor_power_divisor	0.5
melee_defence_direction_penalty_coefficient_flank	0.8
melee_defence_direction_penalty_coefficient_rear	0.5
melee_defence_formed_attack_bonus	0.0
melee_entrenchement_level_multiplier	3.0
melee_environment_forest_multiplier	0.2
melee_formed_charge_matched_combat_percentage	0.0
melee_formed_vs_formed_matched_combat_percentage	0.0
melee_formed_vs_free_matched_combat_percentage	0.0
melee_height_damage_modifier_max_coefficient	0.3
melee_height_damage_modifier_max_difference	1.0
melee_hit_chance_base	35.0
melee_hit_chance_max	80.0
melee_hit_chance_min	5.0
melee_hit_chance_normalisation_coefficient	1.0
melee_hn_to_xholds_0_max	-6.0
melee_hn_to_xholds_1_max	0.0
melee_hn_to_xholds_2_max	6.0
melee_hn_to_xholds_3_max	12.0
melee_matched_combat_for_kills_percentage	60.0
melee_matched_combat_percentage	20.0
melee_on_damage_effect_knock_chance_charging_bonus	100.0
melee_on_damage_effect_knockback_chance	70.0
melee_on_damage_effect_knockdown_chance	0.0
melee_outnumbered_defence_penalty	0.85
melee_secondary_attack_probability	1.0
melee_xholds_knockback_0	70.0
melee_xholds_knockback_1	90.0
melee_xholds_knockback_2	110.0
melee_xholds_knockback_3	150.0
melee_xholds_knockback_4	200.0
melee_xholds_knockdown_0	30.0
melee_xholds_knockdown_1	50.0
melee_xholds_knockdown_2	60.0
melee_xholds_knockdown_3	80.0
melee_xholds_knockdown_4	100.0
melee_xholds_stepback_0	130.0
melee_xholds_stepback_1	185.0
melee_xholds_stepback_2	270.0
melee_xholds_stepback_3	330.0
melee_xholds_stepback_4	500.0
misfire_cannon_flintlock	0.0
misfire_cannon_matchlock	0.0
misfire_musket_flintlock	0.0
misfire_musket_matchlock	0.0
misfire_musket_percussion_cap	0.0
missile_armour_penetrating_coefficient	0.25
missile_armour_piercing_coefficient	0.5
missile_cover_factor_excellent	0.0
missile_cover_factor_good	0.0
missile_cover_factor_none	0.0
missile_cover_factor_slight	0.0
missile_cover_factor_some	0.0
missile_distance_for_half_chance_hit	160.0
missile_distance_for_half_chance_hit_artillery	300.0
missile_extreme_range_lethality_modifier	120.0
missile_fire_fallback_fixed_trajectory	60.0
missile_heavy_fog_accuracy_multiplier	1.0
missile_heavy_rain_accuracy_multiplier	1.0
missile_heavy_snow_accuracy_multiplier	1.0
missile_height_damage_modifier_max_coefficient	0.3
missile_height_damage_modifier_max_difference	40.0
missile_hn_to_xholds_0_max	-6.0
missile_hn_to_xholds_1_max	0.0
missile_hn_to_xholds_2_max	6.0
missile_hn_to_xholds_3_max	12.0
missile_lethality_coefficient_effective_range	40.0
missile_lethality_coefficient_extreme_range	120.0
missile_light_fog_accuracy_multiplier	1.0
missile_light_rain_accuracy_multiplier	1.0
missile_light_snow_accuracy_multiplier	1.0
missile_medium_fog_accuracy_multiplier	1.0
missile_medium_rain_accuracy_multiplier	1.0
missile_medium_snow_accuracy_multiplier	1.0
missile_range_lethality_modifier	40.0
missile_saving_bonus_base	15.0
missile_saving_bonus_coefficient	0.5
missile_shield_piercing_coefficient	0.5
missile_target_in_cover_penalty	0.2
missile_xholds_knockdown_0	35.0
missile_xholds_knockdown_1	40.0
missile_xholds_knockdown_2	47.0
missile_xholds_knockdown_3	55.0
missile_xholds_knockdown_4	65.0
night_battle_attacker_hiding_scalar_modifier	0.75
night_battle_defender_hiding_scalar_modifier	1.0
pike_attack_zone_cosine_angle	0.924
pike_attack_zone_depth	1.0
pike_lower_bearing_tolerance	0.785
pike_lower_delay_combat	0.0
pike_lower_delay_turn_rate_multiplier	1.0
pike_wall_move_speed_modifier	0.7
projectile_calibration_target_area	2.0
projectile_damage_accuracy_multiplier	0.25
projectile_damage_armour_divisor	0.5
projectile_damage_base_multiplier	45.0
projectile_damage_defense_divisor	4.0
projectile_damage_distance_multiplier	2.0
projectile_damage_shield_divisor	1.0
projectile_environment_forest_multiplier	0.2
projectile_friendly_fire_man_height_coefficient	1.2
projectile_friendly_fire_man_radius_coefficient	1.2
projectile_incendiary_chance_high	0.003
projectile_incendiary_chance_low	0.001
projectile_incendiary_chance_medium	0.002
refusal_chance_vs_charge_reflectors	0.95
refusal_chance_vs_pike_phalanx	0.95
relative_melee_experience_multiplier	2.0
relative_melee_height_delta_divisor	0.04
reload_rate_bow_modifier_rain	0.0
reload_rate_bow_modifier_snow	0.0
reload_rate_gun_modifier_rain	-6.0
reload_rate_gun_modifier_snow	0.0
settlement_destruction_max_melee_attack_penalty	18.0
settlement_destruction_max_melee_defence_penalty	18.0
tickets_multiple_victory_points	150.0
tickets_single_victory_point	150.0
unit_firing_line_of_sight_considered_obstructed_ratio	0.25
unit_max_drag_width	20.0
unit_max_drag_width_loose_formation	60.0
