key	soldier_model	man_animations_table	type	missile_type	variant
#battle_personalities_tables;3;db/battle_personalities_tables/sw_shield_battle_personalities					
dan_officer_lesser	target_marker	rome_man_sword_shield_javelin_precursor_horse	officer		dan_officer_lesser
dan_standard_bearer_lesser	target_marker	rome_man_standard_bearer	standard_bearer		dan_standard_bearer_lesser
berserker_hero	target_marker	rome_man_sword_shield_javelin_precursor_horse	officer		berserker_hero
berserker_dane_axe	target_marker	vik_man_falx_javelin_precursor_foot	standard_bearer		berserker_dane_axe
dan_hero	target_marker	rome_man_sword_shield_javelin_precursor_horse	officer		dan_hero
dan_hero_standard_bearer	target_marker	rome_man_standard_bearer	standard_bearer		dan_hero_standard_bearer
eng_officer_lesser	target_marker	rome_man_sword_shield_javelin_precursor_horse	officer		eng_officer_lesser
eng_standard_bearer_lesser	target_marker	rome_man_standard_bearer	standard_bearer		eng_standard_bearer_lesser
eng_hero	target_marker	rome_man_sword_shield_javelin_precursor_horse	officer		eng_hero
eng_hero_standard_bearer	target_marker	rome_man_standard_bearer	standard_bearer		eng_hero_standard_bearer
eng_hero_standard_bearer_draco	target_marker	rome_man_standard_bearer	standard_bearer		eng_hero_standard_bearer_draco
eng_hero_spear	target_marker	rome_man_civilian_spear_2h_foot	officer		eng_hero_spear
eng_kings_standard_bearer	target_marker	rome_man_standard_bearer	standard_bearer		eng_kings_standard_bearer
est_ulfhednar_hero	target_marker	vik_man_falx_javelin_precursor_foot	officer		est_ulfhednar_hero
est_officer_vikingar	target_marker	rome_man_sword_shield_javelin_precursor_horse	officer		est_officer_vikingar
est_standard_bearer_vikingar	target_marker	rome_man_standard_bearer	standard_bearer		est_standard_bearer_vikingar
est_sea_king_hero	target_marker	rome_man_axe_shield_javelin_precursor_horse	officer		est_sea_king_hero
est_standard_bearer_sea_king	target_marker	rome_man_standard_bearer	standard_bearer		est_standard_bearer_sea_king
est_officer_elite	target_marker	rome_man_sword_shield_javelin_precursor_horse	officer		est_officer_elite
est_standard_bearer_elite	target_marker	rome_man_standard_bearer	standard_bearer		est_standard_bearer_elite
est_standard_bearer_great_banner	target_marker	rome_man_standard_bearer	standard_bearer		est_standard_bearer_great_banner
est_officer_hunter	target_marker	rome_man_sword_shield_javelin_precursor_horse	officer		est_officer_hunter
wel_officer_elite	target_marker	rome_man_sword_shield_javelin_precursor_horse	officer		wel_officer_elite
wel_standard_bearer_elite	target_marker	rome_man_standard_bearer	standard_bearer		wel_standard_bearer_elite
wel_standard_bearer_lord	target_marker	rome_man_standard_bearer	standard_bearer		wel_standard_bearer_lord
wel_officer_penteulu	target_marker	vik_man_sw_spear_shield_javelin_precursor_horse	officer		wel_officer_penteulu
wel_draco_standard_bearer_penteulu	target_marker	rome_man_standard_bearer	standard_bearer		wel_draco_standard_bearer_penteulu
