key	category	model	audio_material	hit_points	gun_type	onscreen_name	ignition_threshold	radar_icon	visible_in_public_ted	fortwall_penetration_chance	collision_3d	destruct_thresholds	joiner	auxiliary	burn_rate	height_map_mesh	can_burn	visibility_mode	blood_pack_model_override_folder
#battlefield_buildings_tables;19;db/battlefield_buildings_tables/sw_battlefield_buildings																			
attila_rock_med_01	generic	attila_rock_med_01	stone	250			100		false	0	true		false	false	1.0	false	true	basic	
attila_rock_med_02	generic	attila_rock_med_02	stone	250			100		false	0	true		false	false	1.0	false	true	basic	
attila_rock_med_03	generic	attila_rock_med_03	stone	250			100		false	0	true		false	false	1.0	false	true	basic	
attila_rock_med_04	generic	attila_rock_med_04	stone	250			100		false	0	true		false	false	1.0	false	true	basic	
attila_rock_med_05	generic	attila_rock_med_05	stone	250			100		false	0	true		false	false	1.0	false	true	basic	
attila_rock_med_06	generic	attila_rock_med_06	stone	250			100		false	0	true		false	false	1.0	false	true	basic	
attila_rock_med_07	generic	attila_rock_med_07	stone	250			100		false	0	true		false	false	1.0	false	true	basic	
barbabarian_dolmens_big04	generic	barbabarian_dolmens_big04	stone	250			100		false	0	true		false	false	1.0	false	true	basic	
barbarian_ahouse_1	generic	barbarian_ahouse_1	wood	250		building	300	house_2.tga	true	0	true		false	false	1.0	false	true	basic	
barbarian_ahouse_2	generic	barbarian_ahouse_2	wood	250		building	300		true	0	true		false	false	1.0	false	true	basic	
barbarian_church	generic	barbarian_church	wood	250		building	300		true	0	true		false	false	1.0	false	true	basic	
barbarian_church_tall	generic	barbarian_church_tall	wood	250		building	300	church.tga	true	0	true		false	false	1.0	false	true	basic	
barbarian_city_building_1	generic	barbarian_city_building_1	wood	250		building	300	house_1.tga	true	0	true		false	false	1.0	false	true	basic	
barbarian_city_building_2	generic	barbarian_city_building_2	wood	250		building	300	hall.tga	true	0	true		false	false	1.0	false	true	basic	
barbarian_court_corner	generic	barbarian_court_corner	wood	250		building	300		true	0	true		false	false	1.0	false	true	basic	
barbarian_court_door	generic	barbarian_court_door	wood	250		building	300		true	0	true		false	false	1.0	false	true	basic	
barbarian_court_wall	generic	barbarian_court_wall	wood	250		building	300		true	0	true		false	false	1.0	false	true	basic	
barbarian_dolmen_big03	generic	barbarian_dolmen_big03	stone	250			100		false	0	true		false	false	1.0	false	true	basic	
barbarian_dolmen_big05	generic	barbarian_dolmen_big05	stone	250			100		false	0	true		false	false	1.0	false	true	basic	
barbarian_dolmen_medium03	generic	barbarian_dolmen_medium03	stone	250			100		false	0	true		false	false	1.0	false	true	basic	
barbarian_dolmen_mediun02	generic	barbarian_dolmen_mediun02	stone	250			100		false	0	true		false	false	1.0	false	true	basic	
barbarian_dolmen_top_01	generic	barbarian_dolmen_top_01	stone	250			100		false	0	true		false	false	1.0	false	true	basic	
barbarian_dolmen_top_02	generic	barbarian_dolmen_top_02	stone	250			100		false	0	true		false	false	1.0	false	true	basic	
