ability	land_unit
#land_units_to_unit_abilites_junctions_tables;0;db/land_units_to_unit_abilites_junctions_tables/land_units_to_unit_abilites_junctions	
rapid_advance	wel_swordsmen
att_gen_fear_02	eng_thegns
rapid_advance	est_kerns
att_gen_fear_02	dan_northumbrian_thegns
att_gen_fear_02	eng_thegn_spearmen
att_gen_fear_02	dan_sword_hersir
att_gen_rally_02	est_hearthguard
att_gen_rally_02	est_royal_huskarls
att_gen_rally_02	dan_warlords_companions
att_gen_rally_02	dan_royal_huscarls
att_gen_rally_02	eng_royal_companions
att_gen_rally_02	eng_royal_bodyguard
att_gen_rally_02	wel_teulu
att_gen_rally_02	wel_royal_teulu
att_gen_inspire_02	est_hearthguard
att_gen_inspire_02	est_royal_huskarls
att_gen_inspire_02	dan_warlords_companions
att_gen_inspire_02	dan_royal_huscarls
att_gen_inspire_02	eng_royal_companions
att_gen_inspire_02	eng_royal_bodyguard
att_gen_inspire_02	wel_teulu
att_gen_inspire_02	wel_royal_teulu
att_gen_raise_01	wel_royal_uchelwr
att_gen_raise_02	est_champions
att_gen_raise_03	est_norse_mailed_hersir
att_gen_brace_02	eng_select_fyrd_spearmen
focus_fire	eng_select_fyrd_archers
att_gen_brace_03	eng_marcher_spearmen
rapid_volley	eng_militia_fyrd_archers
att_gen_rally_02	iri_household_horsemen
att_gen_rally_02	sco_royal_followers
att_gen_rally_02	vik_hearthguard
att_gen_rally_02	sco_royal_bodyguard
att_gen_rally_02	iri_household_riders
att_gen_rally_02	nor_miles
att_gen_rally_02	vik_royal_huskarls
att_gen_inspire_02	iri_household_horsemen
att_gen_inspire_02	sco_royal_bodyguard
att_gen_inspire_02	vik_hearthguard
att_gen_inspire_02	sco_royal_followers
att_gen_inspire_02	iri_household_riders
att_gen_inspire_02	nor_miles
frenzy	iri_mailed_fianna
rapid_advance	iri_wood_kerns
rapid_advance	iri_kerns
att_gen_brace_02	eng_mailed_thegns
com_into_the_breach	est_berserkers
com_into_the_breach	dan_shield_biters
frenzied_charge	sco_sword_band
frenzied_charge	sco_sword_warriors
att_gen_raise_05	sco_alban_warriors
