ability	land_unit
#land_units_to_unit_abilites_junctions_tables;0;db/land_units_to_unit_abilites_junctions_tables/sw_land_units_to_unit_abilites_junctions	
form_shield_screen	est_hearthguard
form_shield_screen	dan_warlords_companions
form_shield_screen	eng_royal_companions
form_shield_screen	eng_royal_bodyguard
form_shield_screen	vik_hearthguard
form_wedge	est_hirdmen
form_wedge	dan_sword_hirdmen
form_wedge	vik_mailed_hersir_swordsmen
form_wedge	est_axe_warriors
form_wedge	dan_anglian_raiders
form_wedge	est_berserkers
form_wedge	est_mailed_axemen
form_wedge	vik_axe_hirdmen
form_wedge	wel_mailed_axemen
form_shield_screen	est_spear_guard
form_shield_screen	dan_northumbrian_thegns
form_shield_screen	eng_thegn_spearmen
form_shield_screen	wel_royal_spearmen
form_shield_screen	iri_spear_raiders
form_shield_screen	eng_marcher_armoured_spearmen
form_shield_screen	est_spear_hirdmen
form_shield_screen	vik_spear_hirdmen
form_shield_screen	nor_mailed_spearmen
form_shield_screen	dan_spearmen
form_shield_screen	wel_swordsmen
form_shield_screen	wel_armoured_swordsmen
form_shield_screen	wel_mailed_swordsmen
form_shield_screen	wel_spearmen
form_shield_screen	nor_maine_warriors
form_shield_screen	nor_swordsmen
form_shield_screen	nor_foot_soldiers
form_shield_screen	nor_spearmen
form_shield_screen	nor_shield_wall
form_shield_screen	dan_sword_hersir
form_shield_screen	dan_sword_hirdmen
form_shield_screen	eng_fyrd_spearmen
form_shield_screen	eng_select_fyrd_spearmen
form_shield_screen	eng_thegns
form_wedge	eng_fyrd_axemen
form_shield_screen	eng_marcher_spearmen
form_wedge	dan_anglian_marauders
form_shield_screen	dan_northumbrian_mailed_thegns
form_wedge	vik_jomsvikings
form_shield_screen	vik_jomsvikings
com_force_concentration	eng_thegn_horsemen
headhunt	dan_berserkers
headhunt	est_shield_biters
form_pike_square	sco_schiltron
form_shield_screen	eng_seax_warriors
