key	precursor	default_projectile	can_fire_at_buildings
#missile_weapons_tables;6;db/missile_weapons_tables/sw_missile_weapons			
vik_javelin_leaf_01	true	vik_javelin_leaf_01	false
vik_javelin_leaf_02	false	vik_javelin_leaf_02	false
vik_javelin_leaf_03	true	vik_javelin_leaf_03	false
vik_javelin_tip_01	false	vik_javelin_tip_01	false
vik_javelin_tip_02	false	vik_javelin_tip_02	false
vik_javelin_tip_03	true	vik_javelin_tip_03	false
vik_javelin_wood_01	false	vik_javelin_wood_01	false
vik_javelin_wood_02	false	vik_javelin_wood_02	false
vik_javelin_wood_03	false	vik_javelin_wood_03	false
vik_sling	false	att_sling_normal	false
vik_dart	true	vik_dart	false
