key	animation	entity	mount_armour	variant	audio_armour_type
#mounts_tables;3;db/mounts_tables/sw_mounts					
vik_horse_spear_heavy	rome_mount_horse_spear_shield	shield_horse_continental_medium	0	cha_barb_horse	body
vik_horse_spear_light	rome_mount_horse_spear_shield	shield_horse_light	0	cha_barb_horse	body
vik_horse_spear_med	rome_mount_horse_spear_shield	shield_horse_medium	0	cha_barb_horse	body
vik_horse_spear_very_heavy	rome_mount_horse_spear_shield	shield_horse_continental_champion	0	cha_barb_horse	body
vik_horse_sword_heavy	rome_mount_horse_sword_shield	shield_horse_medium	0	cha_barb_horse	body
vik_horse_sword_light	rome_mount_horse_sword_shield	shield_horse_light	0	cha_barb_horse	body
vik_horse_sword_med	rome_mount_horse_sword_shield	shield_horse_medium	0	cha_barb_horse	body
vik_horse_sword_very_heavy	rome_mount_horse_sword_shield	shield_horse_welsh_champion	0	cha_barb_horse	body
vik_horse_sword_very_light	rome_mount_horse_sword_shield	shield_horse_light	0	cha_barb_horse	body
vik_horse_welsh_spear_heavy	rome_mount_horse_spear_shield	shield_horse_welsh_uchelwr	0	cha_barb_horse	body
vik_horse_welsh_spear_light	rome_mount_horse_spear_shield	shield_horse_light	0	cha_barb_horse	body
vik_horse_welsh_spear_medium	rome_mount_horse_spear_shield	shield_horse_welsh_combrogi	0	cha_barb_horse	body
vik_horse_welsh_spear_very_heavy	rome_mount_horse_spear_shield	shield_horse_welsh_champion	0	cha_barb_horse	body
shield_irish_horse_light	rome_mount_horse_spear_shield	shield_irish_horse_light	0	cha_barb_horse	body
shield_irish_horse_medium	rome_mount_horse_spear_shield	shield_irish_horse_medium	0	cha_barb_horse	body
shield_horse_light	rome_mount_horse_spear_shield	shield_horse_light	0	cha_barb_horse	body
shield_horse_medium	rome_mount_horse_spear_shield	shield_horse_medium	0	cha_barb_horse	body
shield_horse_continental_medium	rome_mount_horse_spear_shield	shield_horse_continental_medium	0	cha_barb_horse	body
shield_horse_continental_champion	rome_mount_horse_spear_shield	shield_horse_continental_champion	0	cha_barb_horse	body
shield_horse_welsh_medium	rome_mount_horse_spear_shield	shield_horse_welsh_uchelwr	0	cha_barb_horse	body
shield_horse_welsh_champion	rome_mount_horse_spear_shield	shield_horse_welsh_champion	0	wel_armoured_horse	chainmail
shield_mounted_general	rome_mount_horse_spear_shield	shield_mounted_general	0	cha_barb_horse	body
shield_wel_mounted_general	rome_mount_horse_spear_shield	shield_mounted_general	0	wel_armoured_horse	chainmail
shield_celt_horse	rome_mount_horse_spear_shield	shield_mounted_general	0	celt_horse	body
shield_saxon_horse	rome_mount_horse_spear_shield	shield_horse_north_saxon	0	bernician_horse	body
