key	category	shot_type	explosion_type	spin_type	projectile_number	trajectory_sight	effective_range	minimum_range	max_elevation	muzzle_velocity	marksmanship_bonus	spread	damage	ap_damage	penetration	incendiary	can_bounce	high_air_resistance	collision_radius	base_reload_time	below_waterline_damage_modifier	calibration_distance	calibration_area	bonus_v_infantry	bonus_v_cavalry	bonus_v_elephant	projectile_display	overhead_stat_effect	projectile_audio	shockwave_radius	can_damage_buildings	contact_stat_effect	is_grapple	burst_size	burst_shot_delay	explosion_spread	fire_damage
#projectiles_tables;25;db/projectiles_tables/sw_projectiles																																					
arrow_flaming	arrow	small_arm_flaming	att_fire_ignition_arrow	none	1	low	100	0	44	45.0	0.0	0.0	16	1		low	false	false	0.1	20.0	0.0	50.0	1.0	0	10	0	arrow_flaming		arrow_flaming	-1.0	false	fire_projectiles	false	1	0.0		1.0
att_arrow_fighting_tower_medium	arrow	small_arm_flaming		none	1	low	100	0	44	50.0	0.0	3.0	7	2		low	false	false	0.1	20.0	0.0	50.0	1.0	0	20	0	arrow_flaming		arrow_flaming	-1.0	true	fire_projectiles	false	1	0.0		2.0
att_arrow_tower_stone_normal	arrow	small_arm_default		none	1	low	100	0	44	50.0	0.0	4.0	7	2			false	false	0.1	20.0	0.0	50.0	1.0	0	0	0	arrow_normal		arrow	-1.0	false		false	1	0.0		0.0
att_arrow_tower_wooden_normal	arrow	small_arm_default		none	1	low	100	0	44	50.0	0.0	3.0	6	1			false	false	0.1	14.0	0.0	50.0	2.0	0	2	0	arrow_normal		arrow	-1.0	false		false	1	0.0		0.0
att_pot_explosion_debris	misc	explosives		grenade_spin	1	low	25	0	60	10.0	5.0	0.0	40	40	medium		true	false	0.008	0.0	0.0	50.0	1.0	0	0	0	explosive_fragment		fragment	-1.0	false		false	1	0.0		10.0
att_rock_normal_large	artillery	artillery_default		shell_spin	1	fixed	500	75	30	-1.0	5.0	0.0	150	150	medium		true	false	0.1	22.0	0.0	500.0	175.0	0	0	0	rock_large		rock_large	0.5	true		false	1	0.0		0.0
att_shp_fire_siphon_light	arrow	small_arm_flaming	att_fire_siphon	none	1	low	50	0	20	50.0	100.0	0.0	1	1	high	medium	false	false	5.0	45.0	0.0	50.0	1.0	75	75	0	shp_fire_siphon		fire_siphon	2.0	true		false	10	0.1	att_fire_siphon	250.0
att_shp_fire_siphon_medium	arrow	small_arm_flaming	att_fire_siphon	none	1	low	50	0	20	50.0	100.0	0.0	1	1	high	medium	false	false	5.0	45.0	0.0	50.0	1.0	75	75	0	shp_fire_siphon		fire_siphon	2.0	true		false	15	0.1	att_fire_siphon	250.0
att_shp_rock_flaming	artillery	artillery_flammable	att_fire_ignition	shell_spin	1	fixed	500	50	30	-1.0	20.0	0.0	150	150	medium	very_high	true	false	0.4	40.0	0.0	500.0	100.0	0	2	0	rock_large_flammable		rock_large_flaming	0.8	true	fire_projectiles	false	1	0.0	att_fire_spread	500.0
