phase	stat	value	how
#special_ability_phase_stat_effects_tables;1;db/special_ability_phase_stat_effects_tables/sw_shieldwall_abilities			
vik_rapid_advance_1	scalar_entity_charge_speed_modifier	2.0	mult
vik_rapid_advance_1	stat_speed	2.0	mult
vik_rapid_advance_1	scalar_entity_acceleration_modifier	2.0	mult
vik_war_cry_1	stat_morale	-4.0	add
vik_rally_1	stat_morale	6.0	add
vik_inspire_1	stat_accuracy	12.0	add
vik_inspire_1	stat_melee_attack	6.0	add
vik_inspire_1	stat_charge_bonus	9.0	add
vik_penteulu_banner_1	stat_morale	6.0	add
vik_northmen_banner_1	stat_charge_bonus	12.0	add
vik_eastmen_banner_1	stat_melee_attack	9.0	add
vik_hold_firm_1	scalar_bracing	1.4	mult
vik_focus_fire_1	stat_accuracy	10.0	add
vik_hold_firm_1	stat_melee_defence	10.0	add
vik_endurance_1	stat_melee_defence	15.0	add
vik_endurance_1	stat_melee_damage_base	0.8	mult
vik_endurance_1	stat_morale	3.0	add
vik_endurance_1	stat_melee_damage_ap	0.8	mult
vik_extended_range_1	stat_weapon_range	1.25	mult
vik_hold_firm_1	stat_morale	7.0	add
vik_offensive_frenzy_1	stat_melee_attack	8.0	add
vik_offensive_frenzy_1	stat_melee_damage_ap	5.0	add
form_shield_screen	stat_shield_armour	8.0	add
form_shield_screen	stat_missile_block_chance	30.0	add
vik_into_the_breach	stat_melee_attack	4.0	add
vik_highland_charge	stat_charge_bonus	15.0	add
vik_highland_charge	scalar_entity_charge_speed_modifier	2.0	mult
vik_highland_charge	scalar_entity_acceleration_modifier	2.0	mult
vik_stand_and_fight	stat_melee_defence	8.0	add
vik_stand_and_fight	stat_missile_block_chance	15.0	add
vik_stand_and_fight	stat_melee_attack	8.0	add
vik_dragoons_mounted	stat_melee_attack	-8.0	add
vik_dragoons_mounted	stat_melee_damage_base	-4.0	add
vik_gone_berserk	stat_melee_attack	6.0	add
vik_gone_berserk	stat_melee_damage_ap	6.0	add
