unit_class	unit_stat	unit_stat_threshold	bullet_point_enum	text_override	should_display
#ui_unit_bullet_points_generations_tables;2;db/ui_unit_bullet_points_generations_tables/ui_unit_bullet_points_generations					
art_fld	stat_morale	5.0	att_very_poor		false
art_fld	stat_morale	8.0	att_poor		false
art_fld	stat_morale	11.0	att_average_negative		false
art_fld	stat_morale	15.0	att_good		true
art_fld	stat_morale	18.0	att_excellent		true
cav_mel	stat_morale	5.0	att_very_poor		true
cav_mel	stat_morale	11.0	att_poor		true
cav_mel	stat_morale	13.0	att_average_negative		false
cav_mel	stat_morale	18.0	att_good		true
cav_mel	stat_morale	25.0	att_excellent		true
cav_mis	stat_morale	5.0	att_very_poor		true
cav_mis	stat_morale	8.0	att_poor		true
cav_mis	stat_morale	11.0	att_average_negative		false
cav_mis	stat_morale	15.0	att_good		true
cav_mis	stat_morale	18.0	att_excellent		true
inf_mel	stat_morale	5.0	att_very_poor		true
inf_mel	stat_morale	11.0	att_poor		true
inf_mel	stat_morale	13.0	att_average_negative		false
inf_mel	stat_morale	18.0	att_good		true
inf_mel	stat_morale	25.0	att_excellent		true
inf_mis	stat_morale	1.0	att_very_poor		false
inf_mis	stat_morale	5.0	att_poor		true
inf_mis	stat_morale	11.0	att_average_negative		false
inf_mis	stat_morale	15.0	att_good		true
inf_mis	stat_morale	18.0	att_excellent		true
inf_spr	stat_morale	5.0	att_very_poor		true
inf_spr	stat_morale	11.0	att_poor		true
inf_spr	stat_morale	13.0	att_average_negative		false
inf_spr	stat_morale	18.0	att_good		true
inf_spr	stat_morale	25.0	att_excellent		true
shp_art	stat_ammo	0.49	att_low		true
shp_art	stat_ammo	0.5	att_low		true
shp_art	stat_ammo	0.75	att_average_negative		false
shp_art	stat_ammo	1.25	att_high		true
shp_art	stat_ammo	1.5	att_high		true
shp_art	stat_missile_damage	0.49	att_very_poor		true
shp_art	stat_missile_damage	0.5	att_poor		true
shp_art	stat_missile_damage	0.75	att_average_negative		false
shp_art	stat_missile_damage	1.25	att_good		true
shp_art	stat_missile_damage	1.5	att_excellent		true
shp_art	stat_morale	0.2	att_very_poor		false
shp_art	stat_morale	0.3	att_poor		false
shp_art	stat_morale	0.4	att_average_negative		false
shp_art	stat_morale	0.55	att_good		true
shp_art	stat_morale	0.7	att_excellent		true
shp_art	stat_reloading	0.15	att_very_poor		true
shp_art	stat_reloading	0.25	att_poor		true
shp_art	stat_reloading	0.4	att_average_negative		false
shp_art	stat_reloading	0.5	att_good		true
shp_art	stat_reloading	0.9	att_excellent		true
shp_art	stat_ship_health	0.49	att_very_poor		true
shp_art	stat_ship_health	0.5	att_poor		true
shp_art	stat_ship_health	0.75	att_average_negative		true
shp_art	stat_ship_health	1.25	att_good		true
shp_art	stat_ship_health	1.5	att_excellent		true
shp_art	stat_ship_health_fire	0.49	att_very_poor		true
shp_art	stat_ship_health_fire	0.5	att_poor		true
shp_art	stat_ship_health_fire	0.75	att_average_negative		true
shp_art	stat_ship_health_fire	1.25	att_good		true
shp_art	stat_ship_health_fire	1.5	att_excellent		true
shp_art	stat_spotting	0.49	att_very_poor		false
shp_art	stat_spotting	0.5	att_poor		false
shp_art	stat_spotting	0.75	att_average_negative		false
shp_art	stat_spotting	1.25	att_good		false
shp_art	stat_spotting	2.0	att_excellent		false
shp_art	stat_weapon_range	0.49	att_very_poor		true
shp_art	stat_weapon_range	0.5	att_poor		true
shp_art	stat_weapon_range	0.75	att_average_negative		false
shp_art	stat_weapon_range	1.25	att_good		true
shp_art	stat_weapon_range	1.75	att_excellent		true
shp_fir	stat_melee_attack	0.0	att_greek_fire	att_greek_fire	true
shp_fir	stat_morale	0.2	att_very_poor		true
shp_fir	stat_morale	0.3	att_poor		true
shp_fir	stat_morale	0.4	att_average_negative		false
shp_fir	stat_morale	0.55	att_good		true
shp_fir	stat_morale	0.7	att_excellent		true
shp_fir	stat_reloading	0.15	att_very_poor		true
shp_fir	stat_reloading	0.25	att_poor		true
shp_fir	stat_reloading	0.4	att_average_negative		false
shp_fir	stat_reloading	0.5	att_good		true
shp_fir	stat_reloading	0.9	att_excellent		true
shp_fir	stat_ship_health	0.49	att_very_poor		true
shp_fir	stat_ship_health	0.5	att_poor		true
shp_fir	stat_ship_health	0.75	att_average_negative		true
shp_fir	stat_ship_health	1.25	att_good		true
shp_fir	stat_ship_health	1.5	att_excellent		true
shp_fir	stat_ship_health_fire	0.49	att_very_poor		true
shp_fir	stat_ship_health_fire	0.5	att_poor		true
shp_fir	stat_ship_health_fire	0.75	att_average_negative		true
shp_fir	stat_ship_health_fire	1.25	att_good		true
shp_fir	stat_ship_health_fire	1.5	att_excellent		true
shp_fir	stat_spotting	0.49	att_very_poor		false
shp_fir	stat_spotting	0.5	att_poor		false
shp_fir	stat_spotting	0.75	att_average_negative		false
shp_fir	stat_spotting	1.25	att_good		false
shp_fir	stat_spotting	2.0	att_excellent		false
shp_mel	stat_ammo	0.0	att_has_ranged_weapon_shp	att_has_ranged_weapon_shp	false
shp_mel	stat_ammo	1.0	att_has_ranged_weapon_shp	att_has_ranged_weapon_shp	true
shp_mel	stat_morale	0.2	att_very_poor		true
shp_mel	stat_morale	0.3	att_poor		true
shp_mel	stat_morale	0.4	att_average_negative		true
shp_mel	stat_morale	0.55	att_good		true
shp_mel	stat_morale	0.7	att_excellent		true
shp_mel	stat_ship_health	0.49	att_very_poor		true
shp_mel	stat_ship_health	0.5	att_poor		true
shp_mel	stat_ship_health	0.75	att_average_negative		true
shp_mel	stat_ship_health	1.25	att_good		true
shp_mel	stat_ship_health	1.5	att_excellent		true
shp_mel	stat_ship_health_fire	0.49	att_very_poor		true
shp_mel	stat_ship_health_fire	0.5	att_poor		true
shp_mel	stat_ship_health_fire	0.75	att_average_negative		true
shp_mel	stat_ship_health_fire	1.25	att_good		true
shp_mel	stat_ship_health_fire	1.5	att_excellent		true
shp_mis	stat_ammo	0.49	att_low		true
shp_mis	stat_ammo	0.5	att_low		true
shp_mis	stat_ammo	0.75	att_average_negative		false
shp_mis	stat_ammo	1.25	att_high		true
shp_mis	stat_ammo	1.5	att_high		true
shp_mis	stat_morale	0.2	att_very_poor		true
shp_mis	stat_morale	0.3	att_poor		true
shp_mis	stat_morale	0.4	att_average_negative		false
shp_mis	stat_morale	0.55	att_good		true
shp_mis	stat_morale	0.7	att_excellent		true
shp_mis	stat_reloading	0.15	att_very_poor		true
shp_mis	stat_reloading	0.25	att_poor		true
shp_mis	stat_reloading	0.4	att_average_negative		false
shp_mis	stat_reloading	0.5	att_good		true
shp_mis	stat_reloading	0.9	att_excellent		true
shp_mis	stat_ship_health	0.49	att_very_poor		true
shp_mis	stat_ship_health	0.5	att_poor		true
shp_mis	stat_ship_health	0.75	att_average_negative		true
shp_mis	stat_ship_health	1.25	att_good		true
shp_mis	stat_ship_health	1.5	att_excellent		true
shp_mis	stat_ship_health_fire	0.49	att_very_poor		true
shp_mis	stat_ship_health_fire	0.5	att_poor		true
shp_mis	stat_ship_health_fire	0.75	att_average_negative		true
shp_mis	stat_ship_health_fire	1.25	att_good		true
shp_mis	stat_ship_health_fire	1.5	att_excellent		true
shp_mis	stat_spotting	0.49	att_very_poor		false
shp_mis	stat_spotting	0.5	att_poor		false
shp_mis	stat_spotting	0.75	att_average_negative		false
shp_mis	stat_spotting	1.25	att_good		false
shp_mis	stat_spotting	1.5	att_excellent		false
shp_mis	stat_weapon_range	0.49	att_very_poor		true
shp_mis	stat_weapon_range	0.5	att_poor		true
shp_mis	stat_weapon_range	0.75	att_average_negative		false
shp_mis	stat_weapon_range	1.25	att_good		true
shp_mis	stat_weapon_range	1.75	att_excellent		true
shp_stk	stat_melee_attack	0.0	att_ramming_heavy	att_ramming_heavy	true
shp_stk	stat_morale	0.2	att_very_poor		true
shp_stk	stat_morale	0.3	att_poor		true
shp_stk	stat_morale	0.4	att_average_negative		false
shp_stk	stat_morale	0.55	att_good		true
shp_stk	stat_morale	0.7	att_excellent		true
shp_stk	stat_reloading	0.15	att_very_poor		true
shp_stk	stat_reloading	0.25	att_poor		true
shp_stk	stat_reloading	0.4	att_average_negative		false
shp_stk	stat_reloading	0.5	att_good		true
shp_stk	stat_reloading	0.9	att_excellent		true
shp_stk	stat_ship_health	0.49	att_very_poor		true
shp_stk	stat_ship_health	0.5	att_poor		true
shp_stk	stat_ship_health	0.75	att_average_negative		true
shp_stk	stat_ship_health	1.25	att_good		true
shp_stk	stat_ship_health	1.5	att_excellent		true
shp_stk	stat_ship_health_fire	0.49	att_very_poor		true
shp_stk	stat_ship_health_fire	0.5	att_poor		true
shp_stk	stat_ship_health_fire	0.75	att_average_negative		true
shp_stk	stat_ship_health_fire	1.25	att_good		true
shp_stk	stat_ship_health_fire	1.5	att_excellent		true
shp_stk	stat_spotting	0.49	att_very_poor		false
shp_stk	stat_spotting	0.5	att_poor		false
shp_stk	stat_spotting	0.75	att_average_negative		false
shp_stk	stat_spotting	1.25	att_good		false
shp_stk	stat_spotting	1.5	att_excellent		false
shp_trn	stat_morale	0.2	att_very_poor		false
shp_trn	stat_morale	0.3	att_poor		false
shp_trn	stat_morale	0.4	att_average_negative		false
shp_trn	stat_morale	0.55	att_good		true
shp_trn	stat_morale	0.7	att_excellent		true
shp_trn	stat_ship_health	0.0	att_very_poor		true
shp_trn	stat_ship_health_fire	0.0	att_very_poor		true
shp_trn	stat_ship_move_speed	0.49	att_very_poor		true
shp_trn	stat_ship_move_speed	0.5	att_poor		true
shp_trn	stat_ship_move_speed	0.75	att_average_negative		false
shp_trn	stat_ship_move_speed	1.25	att_good		true
shp_trn	stat_ship_move_speed	1.5	att_excellent		true
art_fld	stat_armour	1.0	att_very_poor		false
art_fld	stat_armour	4.0	att_poor		false
art_fld	stat_armour	7.0	att_average_negative		false
art_fld	stat_armour	8.0	att_good		true
art_fld	stat_armour	16.0	att_excellent		true
cav_mel	stat_armour	1.0	att_very_poor		true
cav_mel	stat_armour	4.0	att_poor		true
cav_mel	stat_armour	7.0	att_average_negative		false
cav_mel	stat_armour	14.0	att_good		true
cav_mel	stat_armour	19.0	att_excellent		true
cav_mis	stat_armour	1.0	att_very_poor		false
cav_mis	stat_armour	4.0	att_poor		false
cav_mis	stat_armour	7.0	att_average_negative		false
cav_mis	stat_armour	8.0	att_good		true
cav_mis	stat_armour	16.0	att_excellent		true
inf_mel	stat_armour	1.0	att_very_poor		true
inf_mel	stat_armour	4.0	att_poor		true
inf_mel	stat_armour	7.0	att_average_negative		false
inf_mel	stat_armour	14.0	att_good		true
inf_mel	stat_armour	19.0	att_excellent		true
inf_mis	stat_armour	1.0	att_very_poor		false
inf_mis	stat_armour	4.0	att_poor		false
inf_mis	stat_armour	7.0	att_average_negative		false
inf_mis	stat_armour	8.0	att_good		true
inf_mis	stat_armour	16.0	att_excellent		false
inf_spr	stat_armour	1.0	att_very_poor		true
inf_spr	stat_armour	4.0	att_poor		true
inf_spr	stat_armour	7.0	att_average_negative		false
inf_spr	stat_armour	14.0	att_good		true
inf_spr	stat_armour	19.0	att_excellent		true
spcl	stat_armour	4.0	att_very_poor		false
spcl	stat_armour	7.0	att_poor		false
spcl	stat_armour	8.0	att_average_negative		false
spcl	stat_armour	14.0	att_good		true
spcl	stat_armour	16.0	att_excellent		true
spcl	stat_morale	5.0	att_very_poor		false
spcl	stat_morale	8.0	att_poor		false
spcl	stat_morale	11.0	att_average_negative		false
spcl	stat_morale	15.0	att_good		true
spcl	stat_morale	18.0	att_excellent		true
art_fld	stat_charge_bonus	1.0	att_very_poor		false
art_fld	stat_charge_bonus	5.0	att_poor		false
art_fld	stat_charge_bonus	9.0	att_average_negative		false
art_fld	stat_charge_bonus	20.0	att_good		true
art_fld	stat_charge_bonus	40.0	att_excellent		true
cav_mel	stat_charge_bonus	1.0	att_very_poor		false
cav_mel	stat_charge_bonus	5.0	att_poor		false
cav_mel	stat_charge_bonus	9.0	att_average_negative		false
cav_mel	stat_charge_bonus	20.0	att_good		true
cav_mel	stat_charge_bonus	40.0	att_excellent		true
cav_mis	stat_charge_bonus	1.0	att_very_poor		false
cav_mis	stat_charge_bonus	5.0	att_poor		false
cav_mis	stat_charge_bonus	9.0	att_average_negative		false
cav_mis	stat_charge_bonus	20.0	att_good		true
cav_mis	stat_charge_bonus	40.0	att_excellent		true
inf_mel	stat_charge_bonus	1.0	att_very_poor		false
inf_mel	stat_charge_bonus	5.0	att_poor		false
inf_mel	stat_charge_bonus	9.0	att_average_negative		false
inf_mel	stat_charge_bonus	20.0	att_good		true
inf_mel	stat_charge_bonus	40.0	att_excellent		true
inf_mis	stat_charge_bonus	1.0	att_very_poor		false
inf_mis	stat_charge_bonus	5.0	att_poor		false
inf_mis	stat_charge_bonus	9.0	att_average_negative		false
inf_mis	stat_charge_bonus	20.0	att_good		true
inf_mis	stat_charge_bonus	40.0	att_excellent		true
inf_spr	stat_charge_bonus	1.0	att_very_poor		false
inf_spr	stat_charge_bonus	5.0	att_poor		false
inf_spr	stat_charge_bonus	9.0	att_average_negative		false
inf_spr	stat_charge_bonus	20.0	att_good		true
inf_spr	stat_charge_bonus	40.0	att_excellent		true
spcl	stat_charge_bonus	1.0	att_very_poor		false
spcl	stat_charge_bonus	5.0	att_poor		false
spcl	stat_charge_bonus	9.0	att_average_negative		false
spcl	stat_charge_bonus	20.0	att_good		true
spcl	stat_charge_bonus	40.0	att_excellent		true
art_fld	stat_melee_attack	1.0	att_very_poor		false
art_fld	stat_melee_attack	5.0	att_poor		false
art_fld	stat_melee_attack	9.0	att_average_negative		false
art_fld	stat_melee_attack	20.0	att_good		true
art_fld	stat_melee_attack	27.0	att_excellent		true
cav_mel	stat_melee_attack	1.0	att_very_poor		false
cav_mel	stat_melee_attack	5.0	att_poor		false
cav_mel	stat_melee_attack	9.0	att_average_negative		false
cav_mel	stat_melee_attack	20.0	att_good		true
cav_mel	stat_melee_attack	27.0	att_excellent		true
cav_mis	stat_melee_attack	1.0	att_very_poor		false
cav_mis	stat_melee_attack	5.0	att_poor		false
cav_mis	stat_melee_attack	9.0	att_average_negative		false
cav_mis	stat_melee_attack	20.0	att_good		true
cav_mis	stat_melee_attack	27.0	att_excellent		true
inf_mel	stat_melee_attack	1.0	att_very_poor		false
inf_mel	stat_melee_attack	5.0	att_poor		false
inf_mel	stat_melee_attack	9.0	att_average_negative		false
inf_mel	stat_melee_attack	20.0	att_good		true
inf_mel	stat_melee_attack	27.0	att_excellent		true
inf_mis	stat_melee_attack	1.0	att_very_poor		false
inf_mis	stat_melee_attack	5.0	att_poor		false
inf_mis	stat_melee_attack	9.0	att_average_negative		false
inf_mis	stat_melee_attack	20.0	att_good		true
inf_mis	stat_melee_attack	27.0	att_excellent		true
inf_spr	stat_melee_attack	1.0	att_very_poor		false
inf_spr	stat_melee_attack	5.0	att_poor		false
inf_spr	stat_melee_attack	9.0	att_average_negative		false
inf_spr	stat_melee_attack	20.0	att_good		true
inf_spr	stat_melee_attack	27.0	att_excellent		true
spcl	stat_melee_attack	1.0	att_very_poor		false
spcl	stat_melee_attack	5.0	att_poor		false
spcl	stat_melee_attack	9.0	att_average_negative		false
spcl	stat_melee_attack	20.0	att_good		true
spcl	stat_melee_attack	27.0	att_excellent		true
art_fld	stat_missile_block_chance	1.9	att_very_poor		false
art_fld	stat_missile_block_chance	2.0	att_poor		false
art_fld	stat_missile_block_chance	19.0	att_average_negative		false
art_fld	stat_missile_block_chance	39.0	att_good		true
art_fld	stat_missile_block_chance	49.0	att_excellent		true
cav_mel	stat_missile_block_chance	0.0	att_very_poor		false
cav_mel	stat_missile_block_chance	2.0	att_poor		false
cav_mel	stat_missile_block_chance	19.0	att_average_negative		false
cav_mel	stat_missile_block_chance	39.0	att_good		true
cav_mel	stat_missile_block_chance	49.0	att_excellent		true
cav_mis	stat_missile_block_chance	1.0	att_very_poor		false
cav_mis	stat_missile_block_chance	2.0	att_poor		false
cav_mis	stat_missile_block_chance	19.0	att_average_negative		false
cav_mis	stat_missile_block_chance	39.0	att_good		true
cav_mis	stat_missile_block_chance	49.0	att_excellent		true
inf_mel	stat_missile_block_chance	1.9	att_very_poor		true
inf_mel	stat_missile_block_chance	2.0	att_poor		true
inf_mel	stat_missile_block_chance	19.0	att_average_negative		false
inf_mel	stat_missile_block_chance	39.0	att_good		true
inf_mel	stat_missile_block_chance	49.0	att_excellent		true
inf_mis	stat_missile_block_chance	0.0	att_very_poor		false
inf_mis	stat_missile_block_chance	2.0	att_poor		false
inf_mis	stat_missile_block_chance	19.0	att_average_negative		false
inf_mis	stat_missile_block_chance	39.0	att_good		true
inf_mis	stat_missile_block_chance	49.0	att_excellent		true
inf_spr	stat_missile_block_chance	1.9	att_very_poor		true
inf_spr	stat_missile_block_chance	2.0	att_poor		true
inf_spr	stat_missile_block_chance	19.0	att_average_negative		false
inf_spr	stat_missile_block_chance	39.0	att_good		true
inf_spr	stat_missile_block_chance	49.0	att_excellent		true
spcl	stat_missile_block_chance	0.0	att_very_poor		false
spcl	stat_missile_block_chance	2.0	att_poor		false
spcl	stat_missile_block_chance	19.0	att_average_negative		false
spcl	stat_missile_block_chance	39.0	att_good		true
spcl	stat_missile_block_chance	49.0	att_excellent		true
cav_mel	stat_ammo	0.0	att_has_ranged_weapon	att_has_ranged_weapon	false
inf_mel	stat_ammo	0.0	att_has_ranged_weapon	att_has_ranged_weapon	false
inf_spr	stat_ammo	0.0	att_has_ranged_weapon	att_has_ranged_weapon	false
spcl	stat_ammo	0.0	att_has_ranged_weapon	att_has_ranged_weapon	false
cav_mel	stat_ammo	1.0	att_has_ranged_weapon	att_has_ranged_weapon	true
inf_mel	stat_ammo	1.0	att_has_ranged_weapon	att_has_ranged_weapon	true
inf_spr	stat_ammo	1.0	att_has_ranged_weapon	att_has_ranged_weapon	true
spcl	stat_ammo	1.0	att_has_ranged_weapon	att_has_ranged_weapon	true
art_fld	stat_missile_damage	1.0	att_very_poor		false
art_fld	stat_missile_damage	2.0	att_poor		true
art_fld	stat_missile_damage	9.0	att_average_negative		false
art_fld	stat_missile_damage	15.0	att_good		true
art_fld	stat_missile_damage	20.0	att_excellent		true
cav_mel	stat_weapon_damage	1.0	att_very_poor		false
cav_mel	stat_weapon_damage	2.0	att_poor		true
cav_mel	stat_weapon_damage	9.0	att_average_negative		false
cav_mel	stat_weapon_damage	17.0	att_good		true
cav_mel	stat_weapon_damage	25.0	att_excellent		true
cav_mis	stat_missile_damage	1.0	att_very_poor		false
cav_mis	stat_missile_damage	2.0	att_poor		true
cav_mis	stat_missile_damage	9.0	att_average_negative		false
cav_mis	stat_missile_damage	15.0	att_good		true
cav_mis	stat_missile_damage	20.0	att_excellent		true
inf_mel	stat_weapon_damage	1.0	att_very_poor		false
inf_mel	stat_weapon_damage	2.0	att_poor		true
inf_mel	stat_weapon_damage	9.0	att_average_negative		false
inf_mel	stat_weapon_damage	17.0	att_good		true
inf_mel	stat_weapon_damage	25.0	att_excellent		true
inf_mis	stat_missile_damage	1.0	att_very_poor		false
inf_mis	stat_missile_damage	5.0	att_poor		true
inf_mis	stat_missile_damage	4.0	att_average_negative		false
inf_mis	stat_missile_damage	7.0	att_good		true
inf_mis	stat_missile_damage	14.0	att_excellent		true
inf_spr	stat_weapon_damage	1.0	att_very_poor		false
inf_spr	stat_weapon_damage	2.0	att_poor		true
inf_spr	stat_weapon_damage	9.0	att_average_negative		false
inf_spr	stat_weapon_damage	17.0	att_good		true
inf_spr	stat_weapon_damage	25.0	att_excellent		true
spcl	stat_missile_damage	1.0	att_very_poor		false
spcl	stat_missile_damage	2.0	att_poor		true
spcl	stat_missile_damage	9.0	att_average_negative		false
spcl	stat_missile_damage	15.0	att_good		true
spcl	stat_missile_damage	20.0	att_excellent		true
art_fld	stat_reloading	1.0	att_very_poor		false
art_fld	stat_reloading	2.0	att_poor		true
art_fld	stat_reloading	45.0	att_average_negative		false
art_fld	stat_reloading	70.0	att_good		true
art_fld	stat_reloading	110.0	att_excellent		false
cav_mis	stat_reloading	1.0	att_very_poor		false
cav_mis	stat_reloading	2.0	att_poor		true
cav_mis	stat_reloading	45.0	att_average_negative		false
cav_mis	stat_reloading	70.0	att_good		true
cav_mis	stat_reloading	110.0	att_excellent		false
inf_mis	stat_reloading	1.0	att_very_poor		false
inf_mis	stat_reloading	2.0	att_poor		true
inf_mis	stat_reloading	30.0	att_average_negative		false
inf_mis	stat_reloading	50.0	att_good		true
inf_mis	stat_reloading	110.0	att_excellent		false
inf_spr	stat_men_count	10.0	att_very_poor		false
inf_spr	stat_men_count	11.0	att_poor		true
inf_spr	stat_men_count	30.0	att_average_negative		false
inf_spr	stat_men_count	85.0	att_good		true
inf_spr	stat_men_count	120.0	att_excellent		true
inf_mis	stat_men_count	10.0	att_very_poor		false
inf_mis	stat_men_count	11.0	att_poor		true
