stat_key	unit_class	filter	list_order	base_value
#ui_unit_stat_to_classes_tables;5;db/ui_unit_stat_to_classes_tables/ui_unit_stat_to_classes				
stat_armour	inf_spr	none	1	1.0
stat_shield_defence	inf_spr	none	2	1.0
stat_melee_attack	inf_spr	none	3	1.0
stat_weapon_damage	inf_spr	none	4	1.0
stat_charge_bonus	inf_spr	none	5	1.0
stat_morale	inf_spr	none	6	1.0
stat_speed	inf_spr	none	0	1.0
stat_armour	inf_mel	none	1	1.0
stat_shield_defence	inf_mel	none	2	1.0
stat_melee_attack	inf_mel	none	3	1.0
stat_melee_defence	inf_mel	none	0	1.0
stat_weapon_damage	inf_mel	none	4	1.0
stat_charge_bonus	inf_mel	none	5	1.0
stat_morale	inf_mel	none	6	1.0
stat_speed	inf_mel	none	0	1.0
stat_armour	cav_mel	none	1	1.0
stat_shield_defence	cav_mel	none	2	1.0
stat_melee_attack	cav_mel	none	3	1.0
stat_weapon_damage	cav_mel	none	4	1.0
stat_charge_bonus	cav_mel	none	5	1.0
stat_morale	cav_mel	none	6	1.0
stat_speed	cav_mel	none	0	1.0
stat_armour	inf_mis	none	7	1.0
stat_shield_defence	inf_mis	none	8	1.0
stat_melee_attack	inf_mis	none	5	1.0
stat_weapon_damage	inf_mis	none	6	1.0
stat_missile_damage	inf_mis	none	1	1.0
stat_reloading	inf_mis	none	0	1.0
stat_ammo	inf_mis	none	4	1.0
stat_morale	inf_mis	none	9	1.0
stat_speed	inf_mis	none	0	1.0
stat_armour	art_fld	none	1	1.0
stat_shield_defence	art_fld	none	2	1.0
stat_melee_attack	art_fld	none	3	1.0
stat_weapon_damage	art_fld	none	4	1.0
stat_missile_damage	art_fld	none	5	1.0
stat_reloading	art_fld	none	0	1.0
stat_ammo	art_fld	none	8	1.0
stat_morale	art_fld	none	9	1.0
stat_speed	art_fld	none	0	1.0
stat_armour	cav_mis	none	1	1.0
stat_shield_defence	cav_mis	none	2	1.0
stat_melee_attack	cav_mis	none	3	1.0
stat_weapon_damage	cav_mis	none	4	1.0
stat_missile_damage	cav_mis	none	5	1.0
stat_reloading	cav_mis	none	0	1.0
stat_ammo	cav_mis	none	8	1.0
stat_morale	cav_mis	none	9	1.0
stat_speed	cav_mis	none	0	1.0
stat_armour	spcl	none	1	1.0
stat_shield_defence	spcl	none	2	1.0
stat_melee_attack	spcl	none	3	1.0
stat_weapon_damage	spcl	none	4	1.0
stat_missile_damage	spcl	none	5	1.0
stat_reloading	spcl	none	0	1.0
stat_ammo	spcl	none	8	1.0
stat_morale	spcl	none	9	1.0
stat_speed	spcl	none	0	1.0
stat_missile_block_chance	inf_spr	none	0	1.0
stat_missile_block_chance	inf_mel	none	0	1.0
stat_missile_block_chance	cav_mel	none	0	1.0
stat_missile_block_chance	inf_mis	none	0	1.0
stat_missile_block_chance	art_fld	none	0	1.0
stat_missile_block_chance	cav_mis	none	0	1.0
stat_missile_block_chance	spcl	none	0	1.0
stat_ammo	inf_spr	none	0	1.0
stat_ammo	inf_mel	none	0	1.0
stat_ammo	cav_mel	none	0	1.0
stat_accuracy	inf_mis	none	2	1.0
stat_accuracy	art_fld	none	6	1.0
stat_accuracy	cav_mis	none	6	1.0
stat_accuracy	spcl	none	6	1.0
stat_weapon_range	inf_mis	none	3	1.0
stat_weapon_range	art_fld	none	7	1.0
stat_weapon_range	cav_mis	none	7	1.0
stat_weapon_range	spcl	none	7	1.0
stat_men_count	inf_mis	none	0	2.0
stat_men_count	inf_spr	none	0	2.0
stat_men_count	inf_mel	none	0	2.0
stat_men_count	cav_mel	none	0	2.0
stat_bonus_vs_cavalry	inf_spr	none	7	1.0
stat_armour	inf_pik	none	1	1.0
stat_shield_defence	inf_pik	none	2	1.0
stat_melee_attack	inf_pik	none	3	1.0
stat_weapon_damage	inf_pik	none	4	1.0
stat_charge_bonus	inf_pik	none	5	1.0
stat_morale	inf_pik	none	6	1.0
stat_speed	inf_pik	none	0	1.0
stat_missile_block_chance	inf_pik	none	0	1.0
stat_ammo	inf_pik	none	0	1.0
stat_men_count	inf_pik	none	0	2.0
stat_bonus_vs_infantry	inf_pik	none	7	1.0
