attribute	attribute_group
#unit_attributes_to_groups_junctions_tables;2;db/unit_attributes_to_groups_junctions_tables/shieldwall_attributes	
hide_forest	spear_mob
hide_forest	spear_levy
charge_reflector	spear_levy
hide_forest	spear_noble
charge_reflector	spear_noble
disciplined	spear_noble
hide_forest	spear_encourage
charge_reflector	spear_encourage
disciplined	spear_encourage
encourages	spear_encourage
scare_immune	spear_encourage
hide_forest	axe
raider	axe
hide_forest	axe_noble
raider	axe_noble
disciplined	axe_noble
hide_forest	axe_encourage
raider	axe_encourage
disciplined	axe_encourage
encourages	axe_encourage
scare_immune	axe_encourage
hide_forest	daneaxe
fatigue_res	daneaxe
hide_forest	skirmisher
ignore_ground_move_mod	skirmisher
fatigue_res	skirmisher
hide_forest	bowmen
fatigue_res	bowmen
snipe	bowmen
hide_forest	crossbowmen
fatigue_res	crossbowmen
hide_forest	bow_warrior
fatigue_res	bow_warrior
snipe	bow_warrior
hide_forest	hunter
snipe	hunter
stalk	hunter
guerrilla_deploy	hunter
hide_forest	berserker
scare_all	berserker
scare_immune	berserker
berserk	berserker
hide_forest	sword
hide_forest	sword_noble
disciplined	sword_noble
hide_forest	sword_encourage
disciplined	sword_encourage
encourages	sword_encourage
scare_immune	sword_encourage
hide_forest	cavalry
mounted_fire_move	cavalry
hide_forest	cavalry_no_precursor
hide_forest	scout
mounted_fire_move	scout
guerrilla_deploy	scout
hide_forest	scout_melee
guerrilla_deploy	scout_melee
hide_forest	cavalry_noble
mounted_fire_move	cavalry_noble
disciplined	cavalry_noble
hide_forest	cavalry_encourage
disciplined	cavalry_encourage
encourages	cavalry_encourage
mounted_fire_move	cavalry_encourage
scare_immune	cavalry_encourage
hide_forest	cavalry_noble_no_precursors
disciplined	cavalry_noble_no_precursors
fatigue_res	dogs
hide_forest	dogs
