key	text	tooltip
#Loc PackedFile;1;text/db/@land_units.loc		
land_units_onscreen_name_dan_anglian_marauders	Svear Vikingar	true
land_units_onscreen_name_dan_anglian_raiders	Danskir Vikingar	true
land_units_onscreen_name_dan_axemen	Danelaw Axeband	true
land_units_onscreen_name_dan_berserkers	Berserkir	true
land_units_onscreen_name_dan_ceorl_axemen	Danskir Holumenn	true
land_units_onscreen_name_dan_ceorl_javelinmen	Ruffians	true
land_units_onscreen_name_dan_ceorl_spearmen	Leidang Spearband	true
land_units_onscreen_name_dan_fyrd_archers	Bandits	true
land_units_onscreen_name_dan_huscarls	Danskir Storroxar	true
land_units_onscreen_name_dan_jarls_huscarls	Silver Wolves	true
land_units_onscreen_name_dan_javelinmen	Danelaw Skirmishers	true
land_units_onscreen_name_dan_mailed_horsemen	Frankish Horsemen	true
land_units_onscreen_name_dan_mailed_swordsmen	Sverddani	true
land_units_onscreen_name_dan_northumbrian_mailed_thegns	Frisian Mercenaries	true
land_units_onscreen_name_dan_royal_huscarls	Danskir Huskarlar	true
land_units_onscreen_name_dan_shield_biters	Danskir Sea Captain	true
land_units_onscreen_name_dan_spearmen	Danelaw Spearband	true
land_units_onscreen_name_dan_sword_hersir	Anglian Thegns	true
land_units_onscreen_name_dan_sword_hirdmen	Hirdmenn Swordband	true
land_units_onscreen_name_dan_warlords_companions	Danskir Hirdmenn	true
land_units_onscreen_name_eng_ceorl_archers	Gebur Bowmen	true
land_units_onscreen_name_eng_ceorl_axemen	Gebur Axeband	true
land_units_onscreen_name_eng_ceorl_javelinmen	Gebur Skirmishers	true
land_units_onscreen_name_eng_ceorl_spearmen	Gebur Spearband	true
land_units_onscreen_name_eng_earls_horsemen	Thegn Horsemen	true
land_units_onscreen_name_eng_earls_spearmen	Gedriht Spearband	true
land_units_onscreen_name_eng_earls_thegns	Gedriht Swordband	true
land_units_onscreen_name_eng_fyrd_axemen	Ceorl Axeband	true
land_units_onscreen_name_eng_fyrd_javelinmen	Ceorl Skirmishers	true
land_units_onscreen_name_eng_fyrd_spearmen	Fyrd Spearband	true
land_units_onscreen_name_eng_long_axemen	Butsecarls	true
land_units_onscreen_name_eng_mailed_horsemen	Marcher Horsemen	true
land_units_onscreen_name_eng_mailed_seaxs	Seax Warband	true
land_units_onscreen_name_eng_mailed_thegns	Old Captain	true
land_units_onscreen_name_eng_marcher_armoured_spearmen	Sons of Fhionghuin	true
land_units_onscreen_name_eng_marcher_spearmen	Marcher Spearband	true
land_units_onscreen_name_eng_militia_fyrd_archers	Marcher Archers	true
land_units_onscreen_name_eng_royal_bodyguard	Huscarlas	true
land_units_onscreen_name_eng_royal_companions	Hearrthweru	true
land_units_onscreen_name_eng_royal_thegns	Gedriht Swordband	true
land_units_onscreen_name_eng_seax_warriors	Geoguth Warband	true
land_units_onscreen_name_eng_select_fyrd_spearmen	Select Fyrd Spearband	true
land_units_onscreen_name_eng_thegn_horsemen	Select Fyrd Horsemen	true
land_units_onscreen_name_eng_thegn_spearmen	Thegn Spearband	true
land_units_onscreen_name_eng_thegns	Thegn Swordband	true
land_units_onscreen_name_est_archers	Langbogamenn	true
land_units_onscreen_name_est_axe_warriors	Austmenn Vikingar	true
land_units_onscreen_name_est_axemen	Karl Axeband	true
land_units_onscreen_name_est_berserkers	Nordmenn Sea Captain	true
land_units_onscreen_name_est_champions	Nordmenn Saekonungr	true
land_units_onscreen_name_est_fighters	Brigands	true
land_units_onscreen_name_est_hearthguard	Norronir Hirdmenn	true
land_units_onscreen_name_est_hirdmen	Hirdmenn Swordband	true
land_units_onscreen_name_est_hunters	Veidrmenn	true
land_units_onscreen_name_est_levy_javelinmen	Vestmenn Skirmishers	true
land_units_onscreen_name_est_long_axes	Nordmenn Langoxar	true
