key	text	tooltip
#Loc PackedFile;1;text/db/@shield_unit_encyclodpedia.loc		
unit_description_historical_texts_text_vik_wel_jav_cav_long	As the 12th century historian Gerald of Wales put it, the people of Welsh lands were ever-trained for war, from their leaders down to their peasantry. He described a people who, if the situation required it, would rush from their ploughs without hesitation to pick up weapons as quickly as the courtier from court. Their rough and hilly terrain resulted in earlier traditions of Celtic culture being reflected in more military terms – for example, a heavily armoured combatant such as a feudal horseman would have difficulty operating there, so Welsh warriors relied more on agility in war situations, rather than brute strength. Where rival armies who fought them relied on stubborn resistance, the Welsh relied on constant movement.\\n\\nIn broad terms, the organisation of Welsh troops was arranged between those in the essential household force known as the ‘teulu’, and the individuals of the expanded common army, the ‘llu’. Avoiding the open plains where they were at a disadvantage against heavier cavalry, they sometimes operated on horseback in a similar style to early Roman skirmishers. Unarmoured horsemen would ride without stirrups or a saddle on a smaller, more agile mare, equipped with up to three throwing spears, ready to hurl while mounted. These tactics were honed from the prevalence of hit-and-run cattle-raiding, since the main causes of conflict in Gael-dominated areas was loot. Although their techniques were primitive for the era, Gaelic warriors were still able to conquer large parts of Caledonia with the help of their skirmishing cavalry tactics.	true
unit_description_historical_texts_text_vik_est_champions_long	In the centuries following the 8th century appearance of the first recorded Viking raiders in the Irish Sea, those of the Norse who chose to settle in the region came to be known as the ‘Ostmenn’, or more literally, ‘the men of the east’. This was how the settled Norse-Gaels contrasted themselves from the native Gaels, who they referred to as ‘Vestmen’, unsurprisingly, the 'men of the west’. Combining local traditions with their own, the Norse-Gaels were culturally distinct from both the Gaels and their Scandinavian forefathers. Their hybridisation of traditions took place against the setting of their coastal defensive strongholds, many of which were the nuclei of the powerful independent kingdoms of later years. Norse-Gaelic powerbases would eventually be established in places like Dublin, Galloway, and Mann, amongst other places.\\n\\nAs with many facets of their culture, the martial traditions of the Norse-Gaels retained both Viking and Gaelic elements. Many of them strove to master the broadsword, given its unique ability to maim and kill in the right hands. Sword fighting was generally practised by men of status who could afford the costly weapon, with blades commonly passed between generations as symbols of family honour. The dominant types of swords in northwestern Europe were the broad-bladed two-edged forms that were up to ninety centimetres long. Most included a pommel on the hilt to keep the sword from slipping out of the hand when used from horseback, and also handy to dish out blunt-force trauma when the situation required it.	true
unit_description_historical_texts_text_vik_sco_jav_cav_long	The early medieval Highlanders of Alba were a cultural mix of Gaelic, Celtic, and other peoples, who had much in common with similar groups in nearby Ireland and northern Britain. Centuries of encounters with invading Romans and the sporadic infighting that followed meant that militarily, they were well-prepared. Organised under local commanders and lords, most males were expected to be ready to fight, but when they were not being called upon to defend their land or clan they farmed and fished alongside their women. Their climate made them particularly tough, readily fighting into the depth of winter when required. Even the Vikings were fearful of the Highlanders of northern Britain by their own accounts – the classic Icelandic saga ‘Islendingasagur’ warns other Norsemen to approach parts of the Scottish coast with caution, lest it cost them their lives!\\n\\nThe warriors of Alba were generally made up of territorial units of fighting men. Avoiding the open plains where they were at a disadvantage against heavier cavalry, they sometimes operated on horseback in a similar style to early Roman skirmishers. Unarmoured horsemen would ride without stirrups or a saddle on a smaller, more agile mare, equipped with up to three throwing spears, ready to hurl while mounted. These tactics were honed from the prevalence of hit-and-run cattle-raiding, since the main causes of conflict in Gael-dominated areas was loot. Although their techniques were primitive for the era, Gaelic warriors were still able to conquer large parts of Caledonia with the help of their skirmishing cavalry tactics.	true
unit_description_historical_texts_text_vik_sco_alban_spearmen_long	The early medieval Highlanders of Alba were a cultural mix of Gaelic, Celtic, and other peoples, who had much in common with similar groups in nearby Ireland and northern Britain. Centuries of encounters with invading Romans and the sporadic infighting that followed meant that militarily, they were well-prepared. Organised under local commanders and lords, most males were expected to be ready to fight, but when they were not being called upon to defend their land or clan they farmed and fished alongside their women. Their climate made them particularly tough, readily fighting into the depth of winter when required. Even the Vikings were fearful of the Highlanders of northern Britain by their own accounts – the classic Icelandic saga ‘Islendingasagur’ warns other Norsemen to approach parts of the Scottish coast with caution, lest it cost them their lives!\\n\\nThe warriors of Alba were generally made up of territorial units of fighting men. Armed with spears, they were arguably wielding the oldest purpose-built weapon in existence. Given its comparative cheapness and ease of construction, the spear was one of the most commonly used weapons among all classes of fighting men before and throughout medieval times. Its notable advantage was the longer reach it afforded its bearer, enabling effective engagement with a larger or mounted enemy who might otherwise be out of reach. The Viking tendency to emblazon spears with ostentatious decorative carvings indicates that some were primarily used for thrusting rather than throwing, reducing the possibility of losing what were obviously prized weapons.	true
unit_description_historical_texts_text_vik_eng_earls_spearmen_long	As the kingdoms of Britain expanded, royal deputies were needed to deal with the routine business of the land on behalf of their kings. Such men were referred to as ealdormen in the early Saxon period, but by the 11th century the title was superseded by Scandinavian influence and they came to be referred to as earls and jarls, with the latter term used more in places more populated by Danes. An earl or jarl was not necessarily just a royal official, but could also be an upper-class man with land, estates, and a military retinue, likely by virtue of being descendant of a family that had previously ruled as kings, but subsequently had their lands absorbed into a larger kingdom.\\n\\nBeing well-to-do men, earls could fund the training and equipment for their own bands, so they were often made up of more elite soldiers than those who merely fought in the fyrds. Armed with spears, they were arguably wielding the oldest purpose-built weapon in existence. Given its comparative cheapness and ease of construction, the spear was one of the most commonly used weapons among all classes of fighting men before and throughout medieval times. Its notable advantage was the longer reach it afforded its bearer, enabling effective engagement with a larger or mounted enemy who might otherwise be out of reach. The Viking tendency to emblazon spears with ostentatious decorative carvings indicates that some were primarily used for thrusting rather than throwing, reducing the possibility of losing what were obviously prized weapons.	true
unit_description_historical_texts_text_vik_nor_hirdmen_long	The Normans were one of the most successful and long-lived political and military cultures ever founded by the Vikings. Through military prowess and political manoeuvring in the 9th century, the Danish war leader Hrolf managed to secure a roughly autonomous region for his raiding army within the Frankish kingdom. Later going by the Frankish name Rollo, the Dane was given the status of duke, a position carried down his bloodline that ruled Normandy and subsequently conquered Norman lands. Their legendary expansionist successes were the result of a unique military structure within their fiefdoms, organised around a new type of warrior elite – the feudal knights. Supported by infantry, heavily armoured mounted lords would form fearsome cavalry blocks of around thirty men charging knee-to-knee, a psychologically imposing sight that often caused battle lines to break at their mere advance.\\n\\nUsing their system of infantry-supported knights, the Normans were incredibly effective in battle. Much like the Roman ‘comes’, in the Viking world there emerged a culture of heroic champions flanked by chosen companions. The ‘hirdman’ was the highest rank amongst such warriors, and in later times the rank carried with it a seat on the king’s council, enabling them to advise their rulers on non-military aspects of government. In Old Norse and Old English, the term translates to ‘household man’, originally referring to an armed retinue for a warlord but eventually morphing into ‘housecarl’ or ‘huscarl’, specifically referring to a royal guard. Following the ninth-century Danish settlement of England, huscarls also became an integral part of Anglo-Saxon armies, famously defeating their Norwegian counterparts at Stamford Bridge and protecting King Harold's body to the very last man at Hastings.	true
unit_description_historical_texts_text_vik_iri_jav_cav_long	The Middle Irish word ‘ceithern’, pronounced ‘kern’, refers to a group of fighters who were one of two essential components of medieval Irish armies, the other being gallowglasses. Often found fighting as light infantry and occasionally light cavalry, the role of a kern was to provide skirmishing support to their heavy infantry counterparts. However, the training afforded them and the eventual roles they filled very much depended on the needs of their clan, which did not exclude them from the cut and thrust of melee warfare. Kerns would frequently be the first or last to launch attacks – their mobility meant that they were well-suited to initiate swift ambushes, after which they would melt back behind the gallowglasses, while later in battles they could also easily run down any fleeing routers.\\n\\nOn the battlefield, kerns wore a light leather coat which ensured unrestricted movement and agility. Avoiding the open plains where they were at a disadvantage against heavier cavalry, they sometimes operated on horseback in a similar style to early Roman skirmishers. Unarmoured horsemen would ride without stirrups or a saddle on a smaller, more agile mare, equipped with up to three throwing spears, ready to hurl while mounted. These tactics were honed from the prevalence of hit-and-run cattle-raiding, since the main causes of conflict in Gael-dominated areas was loot. Although their techniques were primitive for the era, Gaelic warriors were still able to conquer large parts of Caledonia with the help of their skirmishing cavalry tactics.	true
unit_description_historical_texts_text_vik_dan_mailed_swordsmen_long	The warriors of the Danelaw were part of the powerful Danish military aristocracy that dominated the areas of Britain in which the Vikings settled during the 9th century. There had been several confrontations between the fyrds of King Alfred the Great and Danish forces up until then, culminating in the agreement which saw the Danish warlord Guthrum withdraw his forces from Wessex in the autumn of AD 877. In doing so, a portion of his Great Heathen Army settled down in the eastern part of Mercia, laying the origins of the Danelaw, the region where distinctively Danish laws held prominence in the local courts. Legal traditions aside, Danish military customs were also well entrenched in the area as Guthrum, initially unsatisfied with his army’s unfulfillments, remained poised for potential renewed attacks on Wessex.\\n\\nThe settled Danes shared out the land for the purposes of agricultural subsistence, but still retained their strong Scandinavian warrior traditions. Many of them strove to master the broadsword, given its unique ability to maim and kill in the right hands. Sword fighting was generally practised by men of status who could afford the costly weapon, with blades commonly passed between generations as symbols of family honour. The dominant types of swords in northwestern Europe were the broad-bladed two-edged forms that were up to ninety centimetres long. Most included a pommel on the hilt to keep the sword from slipping out of the hand when used from horseback, and also handy to dish out blunt-force trauma when the situation required it.	true
unit_description_historical_texts_text_vik_all_catapult_long	The onset of the Dark Ages saw the glory days of Greco-Roman-era siege engines come to an abrupt end. The catapult, named after the Greek word ‘katapultos’ meaning ‘shield piercer’, was one such siege weapon used to great effect by groups in antiquity. Having been so successful for the Roman Empire, numerous European war leaders of the early medieval period attempted to imitate the technology of one genus of Roman catapults called onagers. They originally took the form of large, torsion-powered missile throwers made entirely of wood, sat upon a kind of chassis supporting an ‘arm’ with a sling attached to it. Rotational forces would be harnessed into strands of thick, sinewy, coiled rope using a winch and ratchet, then the throwing arm was pulled back using a windlass and considerable brute strength, which was then secured in place as close to ground level as possible with a slip hook. The cocked arm held an incredible amount of potential energy and could be loaded with a payload – usually large rocks – waiting to be released and launched over vast distances.\\n\\nUnfortunately, the high-maintenance catapults of the early Middle Ages were troublesome machines and far inferior to those seen in antiquity, with the revived technology not able to match the strength, resilience, or accuracy of the onagers of the distant past. In time, however, medieval siege techniques eventually surpassed their forebears with the development of the 12th century European trebuchet, using technology thought to be similar to that used in China over a millennium earlier.	true
