key	text	tooltip
#Loc PackedFile;1;text/db/ui_unit_groupings.loc		
ui_unit_groupings_tooltip_com	These are small units that protect the general whilst he gets on with his job.	true
ui_unit_groupings_onscreen_art_siege	Siege Artillery	true
ui_unit_groupings_onscreen_att_inf_axe_land	Axe Infantry	true
ui_unit_groupings_onscreen_att_cav_bow_land	Bow Cavalry	true
ui_unit_groupings_tooltip_att_special_grenade_marine	These units can throw powerful grenades to cause great damage to the enemy, but are weak if engaged in melee due to their low numbers.	true
ui_unit_groupings_onscreen_att_inf_spear_land	Spear Infantry	true
ui_unit_groupings_onscreen_att_cav_melee_land	Melee Cavalry	true
ui_unit_groupings_onscreen_att_inf_axe_naval	Assault Ship	true
ui_unit_groupings_onscreen_att_inf_bow_naval	Bow Ship	true
ui_unit_groupings_onscreen_inf_sling	Slinger	true
ui_unit_groupings_onscreen_att_inf_axe_marine	Axe Infantry	true
ui_unit_groupings_tooltip_att_inf_sling_land	Mid-range units with exceptional high rate of fire.	true
ui_unit_groupings_onscreen_att_special_grenade_naval	Naft Thrower	true
ui_unit_groupings_tooltip_att_inf_sword_land	Frontline soldiers trained for hand-to-hand combat with their enemies.	true
ui_unit_groupings_onscreen_att_special_grenade_land	Naft Thrower	true
ui_unit_groupings_onscreen_att_inf_bow_marine	Bow Infantry	true
ui_unit_groupings_onscreen_att_art_field_land	Artillery	true
ui_unit_groupings_tooltip_att_cav_shock_land	The hammer to the infantry of any army, they are devastating when charged into the flank or rear of enemies.	true
ui_unit_groupings_onscreen_att_inf_sling_land	Slinger	true
ui_unit_groupings_tooltip_att_inf_axe_marine	Frontline soldiers trained for hand-to-hand combat.	true
ui_unit_groupings_tooltip_att_inf_bow_marine	Long-range units who provide support for melee units, but are themselves very weak in close combat.	true
ui_unit_groupings_onscreen_att_special_transportship_naval	Transport Ship	true
ui_unit_groupings_onscreen_att_inf_bow_land	Bow Infantry	true
ui_unit_groupings_onscreen_att_inf_sword_land	Sword Infantry	true
ui_unit_groupings_tooltip_att_special_grenade_naval	These units can throw powerfull grenades to cause great damage to the enemy, but are weak if engaged in combat due to their low numbers.	true
ui_unit_groupings_onscreen_att_cav_shock_land	Shock Cavalry	true
ui_unit_groupings_tooltip_inf_sling	Stones thrown from awaf will cause chaos in their ranks and slow their movement.	true
ui_unit_groupings_tooltip_att_art_field_land	With a long range and able to cause great damage, field artillery units can be moved slowly around the battlefield, but are very weak if engaged in melee.	true
ui_unit_groupings_tooltip_att_inf_axe_naval	Frontline soldiers trained for hand-to-hand combat.	true
ui_unit_groupings_tooltip_att_inf_bow_naval	Long-range units who provide support for melee units, but are themselves very weak in close combat.	true
ui_unit_groupings_tooltip_att_inf_spear_land	Solid defensive infantry protected by shields, they are very good when ranged against cavalry.	true
ui_unit_groupings_onscreen_att_special_grenade_marine	Naft Thrower	true
ui_unit_groupings_tooltip_art_siege	Huge siege engines perfect for knocking down walls and gatehouses.	true
ui_unit_groupings_tooltip_att_cav_melee_land	Although versatile units protected by shields, melee cavalry are weak against more specialised units.	true
ui_unit_groupings_onscreen_shp_art	Artillery Ship	true
ui_unit_groupings_tooltip_att_special_grenade_land	These units can throw powerful grenades to cause great damage to the enemy, but are weak if engaged in melee due to their low numbers.	true
ui_unit_groupings_onscreen_shp_trn	Transport Ship	true
ui_unit_groupings_onscreen_art_fix	Fixed Artillery	true
ui_unit_groupings_onscreen_art_fld	Field Artillery	true
ui_unit_groupings_onscreen_inf_spr	Spear Infantry	true
ui_unit_groupings_tooltip_att_inf_sling_naval	Mid-range units with exceptional high rate of fire.	true
ui_unit_groupings_tooltip_att_inf_axe_land	Frontline soldiers trained for hand-to-hand combat.	true
ui_unit_groupings_tooltip_att_cav_bow_land	Fast moving and long range, missile cavalry are great at harassing their enemies, but weak if pinned down in melee.	true
ui_unit_groupings_tooltip_att_special_fireship_naval	Capable of settling other ships alight.	true
ui_unit_groupings_tooltip_att_inf_pike_land	Long pikes make these troops deadly from the front but vulnerable if flanked. They are highly effective against cavalry.	true
ui_unit_groupings_onscreen_cav_mis	Missile Cavalry	true
ui_unit_groupings_onscreen_att_inf_crossbow_marine	Crossbow Infantry	true
ui_unit_groupings_onscreen_cav_shk	Shock Cavalry	true
ui_unit_groupings_onscreen_att_inf_pike_land	Pike Infantry	true
ui_unit_groupings_onscreen_att_special_fireship_naval	Fireship	true
ui_unit_groupings_onscreen_inf_mel	Sword Infantry	true
ui_unit_groupings_onscreen_att_art_scorpio	Scorpio	true
ui_unit_groupings_onscreen_shp_mel	Melee Ship	true
ui_unit_groupings_onscreen_att_special_wardog_land	Warhounds	true
ui_unit_groupings_onscreen_shp_mis	Missile Ship	true
ui_unit_groupings_tooltip_att_inf_bow_land	Long-range units who provide support for melee units, but are themselves very weak in close combat.	true
ui_unit_groupings_onscreen_cav_mel	Melee Cavalry	true
ui_unit_groupings_tooltip_att_inf_sword_naval	Frontline soldiers trained for hand-to-hand combat with their enemies.	true
ui_unit_groupings_tooltip_att_art_field_naval	With a long range and able to cause great damage, field artillery units can be moved slowly around the battlefield, but are very weak if engaged in melee.	true
ui_unit_groupings_onscreen_inf_pik	Pike Infantry	true
ui_unit_groupings_onscreen_chariot	Chariot	true
ui_unit_groupings_onscreen_inf_mis	Missile Infantry	true
ui_unit_groupings_tooltip_elph	There's nothing quite like elephants to make a hole in an enemy line. Flaming projectiles and javelins are the best way to counter them.	true
ui_unit_groupings_onscreen_att_inf_crossbow_naval	Crossbow Ship	true
ui_unit_groupings_tooltip_att_special_transportship_naval	Slow but with plenty of space, they do their job well. Just remember that they aren't warships.	true
ui_unit_groupings_tooltip_att_cav_javelin_land	Fast moving and short-range, missile cavalry are great at harassing their enemies, but weak if pinned down in melee.	true
ui_unit_groupings_tooltip_att_inf_sling_marine	Mid-range units with exceptional high rate of fire.	true
ui_unit_groupings_tooltip_att_inf_crossbow_land	Mid-range units with exceptional armour-piercing ability, but slow reload speed.	true
ui_unit_groupings_tooltip_att_cav_crossbow_land	Fast moving and mid-range, missile cavalry are great at harassing their enemies, but weak if pinned down in melee.	true
ui_unit_groupings_tooltip_att_cav_elephant_land	There's nothing quite like elephants to make a hole in an enemy line. Flaming projectiles and javelins are the best way to counter them.	true
ui_unit_groupings_tooltip_att_inf_sword_marine	Frontline soldiers trained for hand-to-hand combat with their enemies.	true
ui_unit_groupings_tooltip_spcl	Nothing says "surprise!" like unleashing animals on the battlefield.	true
ui_unit_groupings_onscreen_att_cav_elephant_land	Elephant	true
ui_unit_groupings_onscreen_att_cav_crossbow_land	Crossbow Cavalry	true
ui_unit_groupings_onscreen_att_inf_crossbow_land	Crossbow Infantry	true
ui_unit_groupings_tooltip_att_inf_javelin_land	Short-range units that can take exceptionally high damage.	true
ui_unit_groupings_onscreen_com	Command	true
ui_unit_groupings_tooltip_att_inf_crossbow_naval	Mid-range units with exceptional armour-piercing ability, but slow reload speed.	true
ui_unit_groupings_onscreen_att_inf_sling_marine	Slinger	true
ui_unit_groupings_tooltip_att_special_wardog_land	War dogs are great to attack lightly armoured units.	true
ui_unit_groupings_tooltip_shp_mel	Perfect for taking out enemy ships, but have to close quickly and board to be successful.	true
ui_unit_groupings_onscreen_att_inf_javelin_naval	Skirmisher	true
ui_unit_groupings_tooltip_att_art_scorpio	With a long range and able to cause great damage, field artillery units can be moved slowly around the battlefield, but are very weak if engaged in melee.	true
ui_unit_groupings_tooltip_inf_mel	Frontline soldiers trained for hand-to-hand combat with their enemies.	true
ui_unit_groupings_onscreen_att_special_ram_naval	Ramming Ship	true
ui_unit_groupings_tooltip_cav_shk	The hammer to the infantry of any army, they are devastating when charged into the flank or rear of enemies.	true
ui_unit_groupings_tooltip_att_inf_crossbow_marine	Mid-range units with exceptional armour-piercing ability, but slow reload speed.	true
