member	faction
#campaign_group_member_criteria_factions_tables;0;db/campaign_group_member_criteria_factions_tables/leader_influence_new_factions	
vik_playable_political_gravitas_northleode_0	vik_fact_northleode
vik_playable_political_gravitas_northleode_1	vik_fact_northleode
vik_playable_political_gravitas_northleode_10	vik_fact_northleode
vik_playable_political_gravitas_northleode_2	vik_fact_northleode
vik_playable_political_gravitas_northleode_3	vik_fact_northleode
vik_playable_political_gravitas_northleode_4	vik_fact_northleode
vik_playable_political_gravitas_northleode_5	vik_fact_northleode
vik_playable_political_gravitas_northleode_6	vik_fact_northleode
vik_playable_political_gravitas_northleode_7	vik_fact_northleode
vik_playable_political_gravitas_northleode_8	vik_fact_northleode
vik_playable_political_gravitas_northleode_9	vik_fact_northleode
