member	value
#campaign_group_member_criteria_values_tables;0;db/campaign_group_member_criteria_values_tables/leader_influence_new_factions	
vik_playable_political_gravitas_northleode_0	0
vik_playable_political_gravitas_northleode_1	1
vik_playable_political_gravitas_northleode_10	10
vik_playable_political_gravitas_northleode_2	2
vik_playable_political_gravitas_northleode_3	3
vik_playable_political_gravitas_northleode_4	4
vik_playable_political_gravitas_northleode_5	5
vik_playable_political_gravitas_northleode_6	6
vik_playable_political_gravitas_northleode_7	7
vik_playable_political_gravitas_northleode_8	8
vik_playable_political_gravitas_northleode_9	9
