primary_faction	secondary_faction	effect_bundle
#faction_civil_war_setups_tables;1;db/faction_civil_war_setups_tables/faction_civil_war_setups		
vik_fact_aileach	vik_fact_separatists_irish	vik_civil_war_effects
vik_fact_airer_goidel	vik_fact_separatists_scottish	vik_civil_war_effects
vik_fact_airgialla	vik_fact_separatists_irish	vik_civil_war_effects
vik_fact_athfochla	vik_fact_separatists_scottish	vik_civil_war_effects
vik_fact_bandits	vik_fact_separatists_english	vik_civil_war_effects
vik_fact_bedeborg	vik_fact_separatists_viking	vik_civil_war_effects
vik_fact_brechinauc	vik_fact_separatists_welsh	vik_civil_war_effects
vik_fact_brega	vik_fact_separatists_irish	vik_civil_war_effects
vik_fact_breifne	vik_fact_separatists_irish	vik_civil_war_effects
vik_fact_caisil	vik_fact_rebels_irish	vik_civil_war_effects
vik_fact_cent	vik_fact_separatists_english	vik_civil_war_effects
vik_fact_cerneu	vik_fact_separatists_welsh	vik_civil_war_effects
vik_fact_circenn	vik_fact_separatists_circenn	vik_civil_war_effects
vik_fact_connacht	vik_fact_separatists_irish	vik_civil_war_effects
vik_fact_cumbra	vik_fact_separatists_welsh	vik_civil_war_effects
vik_fact_defena	vik_fact_separatists_english	vik_civil_war_effects
vik_fact_dene	vik_fact_separatists_viking	vik_civil_war_effects
vik_fact_desmuma	vik_fact_separatists_irish	vik_civil_war_effects
vik_fact_djurby	vik_fact_separatists_viking	vik_civil_war_effects
vik_fact_dorsaete	vik_fact_separatists_english	vik_civil_war_effects
vik_fact_dubgaill	vik_fact_rebels_viking	vik_civil_war_effects
vik_fact_dyfet	vik_fact_separatists_welsh	vik_civil_war_effects
vik_fact_dyflin	vik_fact_separatists_dyflin	vik_civil_war_effects
vik_fact_east_engle	vik_fact_separatists_east_engle	vik_civil_war_effects
vik_fact_east_seaxe	vik_fact_separatists_english	vik_civil_war_effects
vik_fact_finngaill	vik_fact_rebels_viking	vik_civil_war_effects
vik_fact_fortriu	vik_fact_separatists_scottish	vik_civil_war_effects
vik_fact_gallgoidel	vik_fact_separatists_viking	vik_civil_war_effects
vik_fact_gliwissig	vik_fact_separatists_welsh	vik_civil_war_effects
vik_fact_grantebru	vik_fact_separatists_viking	vik_civil_war_effects
vik_fact_gwent	vik_fact_separatists_welsh	vik_civil_war_effects
vik_fact_gwined	vik_fact_separatists_gwined	vik_civil_war_effects
vik_fact_haeden	vik_fact_separatists_viking	vik_civil_war_effects
vik_fact_heimiliborg	vik_fact_separatists_viking	vik_civil_war_effects
vik_fact_hellirborg	vik_fact_separatists_viking	vik_civil_war_effects
vik_fact_hlymrekr	vik_fact_rebels_viking	vik_civil_war_effects
vik_fact_holdrness	vik_fact_separatists_viking	vik_civil_war_effects
vik_fact_hwicce	vik_fact_separatists_english	vik_civil_war_effects
vik_fact_hylrborg	vik_fact_separatists_viking	vik_civil_war_effects
vik_fact_iarmuma	vik_fact_separatists_irish	vik_civil_war_effects
vik_fact_jorvik	vik_fact_separatists_viking	vik_civil_war_effects
vik_fact_laigin	vik_fact_separatists_irish	vik_civil_war_effects
vik_fact_ledeborg	vik_fact_separatists_viking	vik_civil_war_effects
vik_fact_mide	vik_fact_separatists_mide	vik_civil_war_effects
vik_fact_mierce	vik_fact_separatists_mierce	vik_civil_war_effects
vik_fact_myrrborg	vik_fact_separatists_viking	vik_civil_war_effects
vik_fact_nordmann	vik_fact_separatists_viking	vik_civil_war_effects
vik_fact_normaunds	vik_fact_separatists_viking	vik_civil_war_effects
vik_fact_norse	vik_fact_separatists_viking	vik_civil_war_effects
vik_fact_northleode	vik_fact_separatists_english	vik_civil_war_effects
vik_fact_northymbre	vik_fact_separatists_northymbre	vik_civil_war_effects
vik_fact_orkneyar	vik_fact_rebels_viking	vik_civil_war_effects
vik_fact_osraige	vik_fact_separatists_irish	vik_civil_war_effects
vik_fact_powis	vik_fact_separatists_welsh	vik_civil_war_effects
vik_fact_seisilwig	vik_fact_seisilwig_usurpers	vik_civil_war_effects
vik_fact_steinnborg	vik_fact_separatists_viking	vik_civil_war_effects
vik_fact_strat_clut	vik_fact_separatists_strat_clut	vik_civil_war_effects
vik_fact_sudreyar	vik_fact_separatists_sudreyar	vik_civil_war_effects
vik_fact_suth_seaxe	vik_fact_separatists_english	vik_civil_war_effects
vik_fact_tuadmuma	vik_fact_separatists_irish	vik_civil_war_effects
vik_fact_ulaid	vik_fact_separatists_irish	vik_civil_war_effects
vik_fact_vedrafjordr	vik_fact_rebels_viking	vik_civil_war_effects
vik_fact_veidrborg	vik_fact_rebels_viking	vik_civil_war_effects
vik_fact_veisafjordr	vik_fact_rebels_viking	vik_civil_war_effects
vik_fact_west_seaxe	vik_fact_separatists_west_seaxe	vik_civil_war_effects
vik_fact_westernas	vik_fact_separatists_viking	vik_civil_war_effects
vik_fact_westmoringas	vik_fact_separatists_viking	vik_civil_war_effects
vik_fact_wicing	vik_fact_rebels_viking	vik_civil_war_effects
