faction_key	political_party_key
#faction_political_parties_junctions_tables;0;db/faction_political_parties_junctions_tables/faction_political_parties_junctions	
vik_fact_caisil_usurpers	vik_politics_separatist_caisil_council
vik_fact_caisil_usurpers	vik_politics_separatist_caisil_ruler
vik_fact_caisil	vik_politics_caisil_council
vik_fact_caisil	vik_politics_caisil_ruler
vik_fact_circenn	vik_politics_circenn_council
vik_fact_circenn	vik_politics_circenn_ruler
vik_fact_dyflin	vik_politics_dyflin_council
vik_fact_dyflin	vik_politics_dyflin_ruler
vik_fact_east_engle	vik_politics_east_engle_council
vik_fact_east_engle	vik_politics_east_engle_ruler
vik_fact_gwined	vik_politics_gwined_council
vik_fact_gwined	vik_politics_gwined_ruler
vik_fact_hellirborg_usurpers	vik_politics_separatist_hellirborg_council
vik_fact_hellirborg_usurpers	vik_politics_separatist_hellirborg_ruler
vik_fact_hellirborg	vik_politics_hellirborg_council
vik_fact_hellirborg	vik_politics_hellirborg_ruler
vik_fact_hlymrekr_usurpers	vik_politics_separatist_hlymrekr_council
vik_fact_hlymrekr_usurpers	vik_politics_separatist_hlymrekr_ruler
vik_fact_hlymrekr	vik_politics_hlymrekr_council
vik_fact_hlymrekr	vik_politics_hlymrekr_ruler
vik_fact_mide	vik_politics_mide_council
vik_fact_mide	vik_politics_mide_ruler
vik_fact_mierce	vik_politics_mierce_council
vik_fact_mierce	vik_politics_mierce_ruler
vik_fact_northleode_usurpers	vik_politics_separatist_northleode_council
vik_fact_northleode_usurpers	vik_politics_separatist_northleode_ruler
vik_fact_northleode	vik_politics_northleode_council
vik_fact_northleode	vik_politics_northleode_ruler
vik_fact_northymbre	vik_politics_northymbre_council
vik_fact_northymbre	vik_politics_northymbre_ruler
vik_fact_seisilwig_usurpers	vik_politics_separatist_seisilwig_council
vik_fact_seisilwig_usurpers	vik_politics_separatist_seisilwig_ruler
vik_fact_seisilwig	vik_politics_seisilwig_council
vik_fact_seisilwig	vik_politics_seisilwig_ruler
vik_fact_separatists_circenn	vik_politics_separatist_circenn_council
vik_fact_separatists_circenn	vik_politics_separatist_circenn_ruler
vik_fact_separatists_dyflin	vik_politics_separatist_dyflin_council
vik_fact_separatists_dyflin	vik_politics_separatist_dyflin_ruler
vik_fact_separatists_east_engle	vik_politics_separatist_east_engle_council
vik_fact_separatists_east_engle	vik_politics_separatist_east_engle_ruler
vik_fact_separatists_gwined	vik_politics_separatist_gwined_council
vik_fact_separatists_gwined	vik_politics_separatist_gwined_ruler
vik_fact_separatists_mide	vik_politics_separatist_mide_council
vik_fact_separatists_mide	vik_politics_separatist_mide_ruler
vik_fact_separatists_mierce	vik_politics_separatist_mierce_council
vik_fact_separatists_mierce	vik_politics_separatist_mierce_ruler
vik_fact_separatists_northymbre	vik_politics_separatist_northymbre_council
vik_fact_separatists_northymbre	vik_politics_separatist_northymbre_ruler
vik_fact_separatists_strat_clut	vik_politics_separatist_strat_clut_council
vik_fact_separatists_strat_clut	vik_politics_separatist_strat_clut_ruler
vik_fact_separatists_sudreyar	vik_politics_separatist_sudreyar_council
vik_fact_separatists_sudreyar	vik_politics_separatist_sudreyar_ruler
vik_fact_separatists_west_seaxe	vik_politics_separatist_west_seaxe_council
vik_fact_separatists_west_seaxe	vik_politics_separatist_west_seaxe_ruler
vik_fact_strat_clut	vik_politics_strat_clut_council
vik_fact_strat_clut	vik_politics_strat_clut_ruler
vik_fact_sudreyar	vik_politics_sudreyar_council
vik_fact_sudreyar	vik_politics_sudreyar_ruler
vik_fact_west_seaxe	vik_politics_west_seaxe_ruler
vik_fact_west_seaxe	vik_politics_westsexa_council
