faction	mercenary_set
#faction_to_mercenary_set_junctions_tables;0;db/faction_to_mercenary_set_junctions_tables/faction_to_mercenary_set_junctions	
att_fact_blue	norman_invaders
att_fact_red	norman_invaders
att_fact_yellow	norman_invaders
vik_fact_aileach	irish
vik_fact_airer_goidel	scottish
vik_fact_airgialla	irish
vik_fact_athfochla	scottish
vik_fact_bandits	vik_fact_bandits
vik_fact_bedeborg	danelaw_boroughs
vik_fact_brechinauc	welsh
vik_fact_brega	irish
vik_fact_breifne	irish
vik_fact_caisil_usurpers	irish
vik_fact_caisil	irish
vik_fact_cent	vik_fact_west_seaxe
vik_fact_cerneu	welsh
vik_fact_circenn	scottish
vik_fact_connacht	irish
vik_fact_cumbra	welsh
vik_fact_defena	vik_eng
vik_fact_dene	vik_fact_dene
vik_fact_desmuma	irish
vik_fact_djurby	danelaw_boroughs
vik_fact_dorsaete	vik_fact_west_seaxe
vik_fact_dubgaill	norse_raiders
vik_fact_dyfet	welsh
vik_fact_dyflin	austmenn_sea_kings
vik_fact_east_engle	vik_fact_east_engle
vik_fact_east_seaxe	vik_fact_west_seaxe
vik_fact_finngaill	norse_raiders
vik_fact_fortriu	scottish
vik_fact_gallgoidel	austmenn_sea_kings
vik_fact_gliwissig	welsh
vik_fact_grantebru	danelaw_boroughs
vik_fact_gwent	welsh
vik_fact_gwined	welsh
vik_fact_haeden	danish_raiders
vik_fact_heimiliborg	danelaw_boroughs
vik_fact_hellirborg_usurpers	danelaw_boroughs
vik_fact_hellirborg	danelaw_boroughs
vik_fact_hlymrekr_usurpers	austmenn_sea_kings
vik_fact_hlymrekr	austmenn_sea_kings
vik_fact_holdrness	danelaw_boroughs
vik_fact_hwicce	vik_eng
vik_fact_hylrborg	danelaw_boroughs
vik_fact_iarmuma	irish
vik_fact_jorvik	bandits
vik_fact_laigin	irish
vik_fact_ledeborg	danelaw_boroughs
vik_fact_mide	irish
vik_fact_mierce	vik_fact_mierce
vik_fact_myrrborg	austmenn_sea_kings
vik_fact_nordmann	norse_raiders
vik_fact_normaunds	norman_invaders
vik_fact_norse	norse_invaders
vik_fact_northleode_usurpers	vik_fact_northleode
vik_fact_northleode	vik_fact_northleode
vik_fact_northymbre	vik_fact_northymbre
vik_fact_orkneyar	nordmenn_sea_kings
vik_fact_osraige	irish
vik_fact_powis	welsh
vik_fact_rebels_english	foreign_warriors
vik_fact_rebels_irish	foreign_warriors_iri
vik_fact_rebels_scottish	scottish
vik_fact_rebels_viking	nordmenn_sea_kings
vik_fact_rebels_welsh	welsh
vik_fact_seisilwig_usurpers	welsh
vik_fact_seisilwig	welsh
vik_fact_separatists_circenn	scottish
vik_fact_separatists_dyflin	austmenn_sea_kings
vik_fact_separatists_east_engle	vik_fact_east_engle
vik_fact_separatists_english	vik_fact_northleode
vik_fact_separatists_gwined	welsh
vik_fact_separatists_irish	irish
vik_fact_separatists_mide	irish
vik_fact_separatists_mierce	vik_fact_mierce
vik_fact_separatists_northymbre	vik_fact_northymbre
vik_fact_separatists_scottish	scottish
vik_fact_separatists_strat_clut	welsh
vik_fact_separatists_sudreyar	nordmenn_sea_kings
vik_fact_separatists_viking	nordmenn_sea_kings
vik_fact_separatists_welsh	welsh
vik_fact_separatists_west_seaxe	vik_fact_west_seaxe
vik_fact_steinnborg	danelaw_boroughs
vik_fact_strat_clut	vik_fact_strat_clut
vik_fact_sudreyar	nordmenn_sea_kings
vik_fact_suth_seaxe	vik_fact_west_seaxe
vik_fact_tuadmuma	irish
vik_fact_ulaid	irish
vik_fact_vedrafjordr	austmenn_sea_kings
vik_fact_veidrborg	danelaw_boroughs
vik_fact_veisafjordr	austmenn_sea_kings
vik_fact_west_seaxe	vik_fact_west_seaxe
vik_fact_westernas	vik_fact_northleode
vik_fact_westmoringas	vik_fact_northleode
vik_fact_wicing	norse_raiders
