key	group	initial_unit_count	pool	faction_requirement	subculture_requirement	tech_requirement
#mercenary_pool_to_groups_junctions_tables;1;db/mercenary_pool_to_groups_junctions_tables/mercenary_pool_to_groups_junctions						
9678	dan_anglian_marauders	2	austmenn_sea_kings			
10031	dan_jarls_huscarls	1	austmenn_sea_kings			
9570	dan_mailed_horsemen	0	austmenn_sea_kings			
9737	dan_northumbrian_mailed_thegns	2	austmenn_sea_kings			
9838	eng_mailed_thegns	0	austmenn_sea_kings			
8004	est_archers	3	austmenn_sea_kings			
7983	est_axe_warriors	3	austmenn_sea_kings			
7972	est_axemen	3	austmenn_sea_kings			
8030	est_catapult	2	austmenn_sea_kings			
7959	est_hirdmen	2	austmenn_sea_kings			
7996	est_hunters	3	austmenn_sea_kings			
8013	est_kerns	3	austmenn_sea_kings			
7981	est_long_axes	3	austmenn_sea_kings			
7984	est_mailed_axemen	1	austmenn_sea_kings			
7968	est_marauders	3	austmenn_sea_kings			
7954	est_norse_hersir	3	austmenn_sea_kings			
7960	est_norse_mailed_hersir	0	austmenn_sea_kings			
7953	est_norse_warriors	3	austmenn_sea_kings			
8020	est_raiders	2	austmenn_sea_kings			
8026	est_scouts	3	austmenn_sea_kings			
7987	est_shield_biters	0	austmenn_sea_kings			
7945	est_spear_guard	2	austmenn_sea_kings			
7943	est_spearband	3	austmenn_sea_kings			
7937	est_warband	3	austmenn_sea_kings			
8028	iri_wolf_hounds	3	austmenn_sea_kings			
9927	vik_jomsvikings	1	austmenn_sea_kings			
7917	dan_ceorl_javelinmen	2	bandits			
7910	dan_fyrd_archers	3	bandits			
7902	est_fighters	3	bandits			
7927	est_mailed_horsemen	3	bandits			
7892	wel_valley_spearmen	3	bandits			
9641	dan_anglian_marauders	2	danelaw_boroughs			
8278	dan_anglian_raiders	3	danelaw_boroughs			
8304	dan_archers	3	danelaw_boroughs			
8269	dan_axemen	3	danelaw_boroughs			
8291	dan_berserkers	0	danelaw_boroughs			
8338	dan_catapult	2	danelaw_boroughs			
8300	dan_ceorl_archers	3	danelaw_boroughs			
8260	dan_ceorl_axemen	3	danelaw_boroughs			
8231	dan_ceorl_spearmen	3	danelaw_boroughs			
8282	dan_huscarls	1	danelaw_boroughs			
8331	dan_jarls_horsemen	1	danelaw_boroughs			
9995	dan_jarls_huscarls	1	danelaw_boroughs			
8314	dan_javelinmen	2	danelaw_boroughs			
9539	dan_mailed_horsemen	0	danelaw_boroughs			
8253	dan_mailed_swordsmen	0	danelaw_boroughs			
9719	dan_northumbrian_mailed_thegns	2	danelaw_boroughs			
8323	dan_scout_horsemen	3	danelaw_boroughs			
8237	dan_spearmen	3	danelaw_boroughs			
8245	dan_sword_hirdmen	2	danelaw_boroughs			
9803	eng_mailed_thegns	0	danelaw_boroughs			
8242	est_norse_hersir	3	danelaw_boroughs			
9901	vik_jomsvikings	1	danelaw_boroughs			
9650	dan_anglian_marauders	2	danish_invaders			
8365	dan_anglian_raiders	3	danish_invaders			
8378	dan_berserkers	0	danish_invaders			
8380	dan_ceorl_archers	3	danish_invaders			
8363	dan_ceorl_axemen	3	danish_invaders			
8373	dan_huscarls	1	danish_invaders			
9998	dan_jarls_huscarls	1	danish_invaders			
9547	dan_mailed_horsemen	0	danish_invaders			
8359	dan_mailed_swordsmen	0	danish_invaders			
9727	dan_northumbrian_mailed_thegns	2	danish_invaders			
8386	dan_scout_horsemen	3	danish_invaders			
8352	dan_sword_hirdmen	2	danish_invaders			
9811	eng_mailed_thegns	0	danish_invaders			
8342	est_norse_hersir	3	danish_invaders			
9909	vik_jomsvikings	1	danish_invaders			
8409	dan_anglian_raiders	3	danish_raiders			
8415	dan_berserkers	0	danish_raiders			
8406	dan_ceorl_axemen	3	danish_raiders			
8396	dan_shield_biters	0	danish_raiders			
8591	dan_anglian_raiders	3	foreign_warriors			
8586	dan_axemen	3	foreign_warriors			
8596	dan_ceorl_archers	3	foreign_warriors			
8605	dan_javelinmen	2	foreign_warriors			
8577	dan_mailed_swordsmen	0	foreign_warriors			
8567	dan_spearmen	3	foreign_warriors			
8562	est_axe_warriors	3	foreign_warriors_iri			
8565	est_hunters	3	foreign_warriors_iri			
8556	est_norse_hersir	3	foreign_warriors_iri			
8552	est_spearband	3	foreign_warriors_iri			
9708	dan_anglian_marauders	2	irish			
10070	dan_jarls_huscarls	1	irish			
9613	dan_mailed_horsemen	0	irish			
9776	dan_northumbrian_mailed_thegns	2	irish			
9881	eng_mailed_thegns	0	irish			
9219	iri_airig_mailed_horsemen	0	irish			
9150	iri_airig_warband	2	irish			
9235	iri_catapult	2	irish			
9144	iri_fianna_band	3	irish			
9179	iri_foreign_warriors	1	irish			
9168	iri_freemen_axemen	3	irish			
9131	iri_freemen_spearmen	3	irish			
9210	iri_horse_boys	3	irish			
9177	iri_kern_axemen	3	irish			
9200	iri_kern_raiders	3	irish			
9136	iri_kern_spearmen	3	irish			
9191	iri_kerns	2	irish			
9158	iri_mailed_fianna	0	irish			
9183	iri_serf_archers	3	irish			
9137	iri_spear_raiders	2	irish			
9225	iri_wolf_hounds	3	irish			
9197	iri_wood_kerns	2	irish			
9976	vik_jomsvikings	1	irish			
10146	vik_thrall_axemen	2	irish			
10109	wel_mailed_axemen	3	irish			
9674	dan_anglian_marauders	2	nordmenn_sea_kings			
10021	dan_jarls_huscarls	1	nordmenn_sea_kings			
9567	dan_mailed_horsemen	0	nordmenn_sea_kings			
9733	dan_northumbrian_mailed_thegns	2	nordmenn_sea_kings			
9834	eng_mailed_thegns	0	nordmenn_sea_kings			
7860	est_archers	3	nordmenn_sea_kings			
7831	est_axemen	3	nordmenn_sea_kings			
7887	est_berserkers	0	nordmenn_sea_kings			
7882	est_catapult	2	nordmenn_sea_kings			
7853	est_champions	0	nordmenn_sea_kings			
7814	est_hirdmen	2	nordmenn_sea_kings			
7856	est_hunters	3	nordmenn_sea_kings			
7870	est_levy_javelinmen	2	nordmenn_sea_kings			
7837	est_long_axes	3	nordmenn_sea_kings			
7843	est_mailed_axemen	1	nordmenn_sea_kings			
7823	est_marauders	3	nordmenn_sea_kings			
7807	est_norse_hersir	3	nordmenn_sea_kings			
7798	est_norse_warriors	3	nordmenn_sea_kings			
7873	est_scouts	3	nordmenn_sea_kings			
7848	est_shield_biters	0	nordmenn_sea_kings			
7796	est_spear_guard	2	nordmenn_sea_kings			
7787	est_spear_hirdmen	3	nordmenn_sea_kings			
7779	est_spearband	3	nordmenn_sea_kings			
9925	vik_jomsvikings	1	nordmenn_sea_kings			
7865	vik_mailed_archers	2	nordmenn_sea_kings			
9660	dan_anglian_marauders	2	norman_invaders			
10005	dan_jarls_huscarls	1	norman_invaders			
9555	dan_mailed_horsemen	0	norman_invaders			
9730	dan_northumbrian_mailed_thegns	2	norman_invaders			
9821	eng_mailed_thegns	0	norman_invaders			
9476	nor_archers	3	norman_invaders			
9463	nor_axe_levy	3	norman_invaders			
9470	nor_axemen	3	norman_invaders			
9508	nor_catapult	2	norman_invaders			
9496	nor_cavalry	2	norman_invaders			
9478	nor_flemish_crossbowmen	3	norman_invaders			
9462	nor_foot_soldiers	2	norman_invaders			
9495	nor_horsemen	3	norman_invaders			
9502	nor_knights	0	norman_invaders			
9475	nor_levy_archers	3	norman_invaders			
9432	nor_levy_spearmen	3	norman_invaders			
9456	nor_mailed_spearmen	3	norman_invaders			
9457	nor_maine_warriors	3	norman_invaders			
9485	nor_scout_cavalry	3	norman_invaders			
9447	nor_shield_wall	3	norman_invaders			
9440	nor_spearmen	3	norman_invaders			
9458	nor_swordsmen	2	norman_invaders			
9919	vik_jomsvikings	1	norman_invaders			
9669	dan_anglian_marauders	2	norse_invaders			
10012	dan_jarls_huscarls	1	norse_invaders			
9562	dan_mailed_horsemen	0	norse_invaders			
9732	dan_northumbrian_mailed_thegns	2	norse_invaders			
9824	eng_mailed_thegns	0	norse_invaders			
8500	est_archers	3	norse_invaders			
8460	est_axemen	3	norse_invaders			
8490	est_champions	0	norse_invaders			
8442	est_hirdmen	2	norse_invaders			
8496	est_hunters	3	norse_invaders			
8469	est_long_axes	3	norse_invaders			
8472	est_mailed_axemen	1	norse_invaders			
8451	est_marauders	3	norse_invaders			
8439	est_norse_hersir	3	norse_invaders			
8435	est_norse_warriors	3	norse_invaders			
8518	est_scouts	3	norse_invaders			
8482	est_shield_biters	0	norse_invaders			
8430	est_spear_guard	2	norse_invaders			
8420	est_spear_hirdmen	3	norse_invaders			
8419	est_spearband	3	norse_invaders			
9924	vik_jomsvikings	1	norse_invaders			
8510	vik_mailed_archers	2	norse_invaders			
8525	est_berserkers	0	norse_raiders			
8532	est_marauders	3	norse_raiders			
8548	est_shield_biters	0	norse_raiders			
8542	est_spear_hirdmen	3	norse_raiders			
8551	vik_mailed_archers	2	norse_raiders			
9706	dan_anglian_marauders	2	pictish			
10065	dan_jarls_huscarls	1	pictish			
9604	dan_mailed_horsemen	0	pictish			
9767	dan_northumbrian_mailed_thegns	2	pictish			
9877	eng_mailed_thegns	0	pictish			
9344	eng_marcher_armoured_spearmen	2	pictish			
9378	sco_alban_crossbowmen	3	pictish			
9395	sco_alban_levy_javelinmen	2	pictish			
9342	sco_alban_levy_spearmen	3	pictish			
