key	chance_to_replenish	max_count	max_replenish_per_turn	unit_record
#mercenary_unit_groups_tables;0;db/mercenary_unit_groups_tables/mercenary_unit_groups				
dan_anglian_marauders	22.0	100	1	dan_anglian_marauders
dan_anglian_raiders	14.0	100	1	dan_anglian_raiders
dan_archers	8.0	100	1	dan_archers
dan_axemen	14.0	100	1	dan_axemen
dan_berserkers	42.0	1	1	dan_berserkers
dan_catapult	24.0	100	1	dan_catapult
dan_ceorl_archers	8.0	100	1	dan_ceorl_archers
dan_ceorl_axemen	8.0	100	1	dan_ceorl_axemen
dan_ceorl_javelinmen	16.0	100	1	dan_ceorl_javelinmen
dan_ceorl_spearmen	6.0	100	1	dan_ceorl_spearmen
dan_fyrd_archers	8.0	100	1	dan_fyrd_archers
dan_huscarls	28.0	100	1	dan_huscarls
dan_jarls_horsemen	31.0	100	1	dan_jarls_horsemen
dan_jarls_huscarls	30.0	100	1	dan_jarls_huscarls
dan_javelinmen	16.0	100	1	dan_javelinmen
dan_mailed_horsemen	42.0	1	1	dan_mailed_horsemen
dan_mailed_swordsmen	42.0	1	1	dan_mailed_swordsmen
dan_northumbrian_mailed_thegns	22.0	100	1	dan_northumbrian_mailed_thegns
dan_northumbrian_thegns	28.0	100	1	dan_northumbrian_thegns
dan_scout_horsemen	13.0	100	1	dan_scout_horsemen
dan_shield_biters	42.0	1	1	dan_shield_biters
dan_spearmen	6.0	100	1	dan_spearmen
dan_sword_hersir	20.0	100	1	dan_sword_hersir
dan_sword_hirdmen	20.0	100	1	dan_sword_hirdmen
eng_catapult	24.0	100	1	eng_catapult
eng_ceorl_archers	8.0	100	1	eng_ceorl_archers
eng_ceorl_axemen	6.0	100	1	eng_ceorl_axemen
eng_ceorl_javelinmen	16.0	100	1	eng_ceorl_javelinmen
eng_ceorl_spearmen	6.0	100	1	eng_ceorl_spearmen
eng_earls_horsemen	31.0	100	1	eng_earls_horsemen
eng_earls_spearmen	42.0	1	1	eng_earls_spearmen
eng_earls_thegns	42.0	1	1	eng_earls_thegns
eng_fyrd_archers	8.0	100	1	eng_fyrd_archers
eng_fyrd_axemen	8.0	100	1	eng_fyrd_axemen
eng_fyrd_javelinmen	16.0	100	1	eng_fyrd_javelinmen
eng_fyrd_spearmen	6.0	100	1	eng_fyrd_spearmen
eng_long_axemen	14.0	100	1	eng_long_axemen
eng_mailed_horsemen	19.0	100	1	eng_mailed_horsemen
eng_mailed_thegns	42.0	1	1	eng_mailed_thegns
eng_marcher_armoured_spearmen	20.0	100	1	eng_marcher_armoured_spearmen
eng_marcher_spearmen	12.0	100	1	eng_marcher_spearmen
eng_militia_fyrd_archers	8.0	100	1	eng_militia_fyrd_archers
eng_north_champion	42.0	1	1	eng_north_champion
eng_north_horsemen	31.0	100	1	eng_north_horsemen
eng_north_hunters	8.0	100	1	eng_north_hunters
eng_north_javelinmen	8.0	100	1	eng_north_javelinmen
eng_north_spearmen	6.0	100	1	eng_north_spearmen
eng_royal_thegns	42.0	1	1	eng_royal_thegns
eng_scout_horsemen	13.0	100	1	eng_scout_horsemen
eng_seax_warriors	12.0	100	1	eng_seax_warriors
eng_select_fyrd_archers	8.0	100	1	eng_select_fyrd_archers
eng_select_fyrd_spearmen	12.0	100	1	eng_select_fyrd_spearmen
eng_thegn_horsemen	19.0	100	1	eng_thegn_horsemen
eng_thegn_spearmen	20.0	100	1	eng_thegn_spearmen
eng_thegns	20.0	100	1	eng_thegns
est_archers	8.0	100	1	est_archers
est_axe_warriors	14.0	100	1	est_axe_warriors
est_axemen	8.0	100	1	est_axemen
est_berserkers	42.0	1	1	est_berserkers
est_catapult	24.0	100	1	est_catapult
est_champions	42.0	1	1	est_champions
est_fighters	8.0	100	1	est_fighters
est_hirdmen	20.0	100	1	est_hirdmen
est_hunters	8.0	100	1	est_hunters
est_kerns	12.0	100	1	est_kerns
est_levy_javelinmen	16.0	100	1	est_levy_javelinmen
est_long_axes	14.0	100	1	est_long_axes
est_mailed_axemen	28.0	100	1	est_mailed_axemen
est_mailed_horsemen	13.0	100	1	est_mailed_horsemen
est_marauders	8.0	100	1	est_marauders
est_norse_hersir	14.0	100	1	est_norse_hersir
est_norse_mailed_hersir	42.0	1	1	est_norse_mailed_hersir
est_norse_warriors	8.0	100	1	est_norse_warriors
est_raiders	19.0	100	1	est_raiders
est_scouts	13.0	100	1	est_scouts
est_shield_biters	42.0	1	1	est_shield_biters
est_spear_guard	20.0	100	1	est_spear_guard
est_spear_hirdmen	14.0	100	1	est_spear_hirdmen
est_spearband	6.0	100	1	est_spearband
est_warband	12.0	100	1	est_warband
iri_airig_horsemen	31.0	100	1	iri_airig_horsemen
iri_airig_mailed_horsemen	43.0	100	1	iri_airig_mailed_horsemen
iri_airig_warband	20.0	100	1	iri_airig_warband
iri_catapult	24.0	100	1	iri_catapult
iri_fianna_band	14.0	100	1	iri_fianna_band
iri_foreign_warriors	28.0	100	1	iri_foreign_warriors
iri_freemen_axemen	6.0	100	1	iri_freemen_axemen
iri_freemen_spearmen	6.0	100	1	iri_freemen_spearmen
iri_horse_boys	13.0	100	1	iri_horse_boys
iri_kern_axemen	8.0	100	1	iri_kern_axemen
iri_kern_raiders	13.0	100	1	iri_kern_raiders
iri_kern_spearmen	6.0	100	1	iri_kern_spearmen
iri_kerns	20.0	100	1	iri_kerns
iri_mailed_fianna	42.0	1	1	iri_mailed_fianna
iri_serf_archers	8.0	100	1	iri_serf_archers
iri_spear_raiders	20.0	100	1	iri_spear_raiders
iri_wolf_hounds	8.0	100	1	iri_wolf_hounds
iri_wood_kerns	20.0	100	1	iri_wood_kerns
nor_archers	8.0	100	1	nor_archers
nor_axe_levy	8.0	100	1	nor_axe_levy
nor_axemen	8.0	100	1	nor_axemen
nor_catapult	24.0	100	1	nor_catapult
nor_cavalry	19.0	100	1	nor_cavalry
nor_flemish_crossbowmen	8.0	100	1	nor_flemish_crossbowmen
nor_foot_soldiers	20.0	100	1	nor_foot_soldiers
nor_horsemen	13.0	100	1	nor_horsemen
nor_knights	42.0	1	1	nor_knights
nor_levy_archers	8.0	100	1	nor_levy_archers
nor_levy_spearmen	6.0	100	1	nor_levy_spearmen
nor_mailed_spearmen	14.0	100	1	nor_mailed_spearmen
nor_maine_warriors	12.0	100	1	nor_maine_warriors
nor_scout_cavalry	13.0	100	1	nor_scout_cavalry
nor_shield_wall	14.0	100	1	nor_shield_wall
nor_spearmen	6.0	100	1	nor_spearmen
nor_swordsmen	20.0	100	1	nor_swordsmen
sco_alban_crossbowmen	8.0	100	1	sco_alban_crossbowmen
sco_alban_levy_javelinmen	16.0	100	1	sco_alban_levy_javelinmen
sco_alban_levy_spearmen	6.0	100	1	sco_alban_levy_spearmen
sco_alban_spearmen	6.0	100	1	sco_alban_spearmen
sco_alban_warriors	42.0	1	1	sco_alban_warriors
sco_catapult	24.0	100	1	sco_catapult
sco_cateran_axemen	8.0	100	1	sco_cateran_axemen
sco_cateran_levy	6.0	100	1	sco_cateran_levy
sco_highland_archers	8.0	100	1	sco_highland_archers
sco_lowland_crossbowmen	8.0	100	1	sco_lowland_crossbowmen
sco_lowland_raiders	13.0	100	1	sco_lowland_raiders
sco_mormaer_horsemen	13.0	100	1	sco_mormaer_horsemen
sco_royal_cavalry	31.0	100	1	sco_royal_cavalry
sco_schiltron	12.0	100	1	sco_schiltron
sco_sword_band	20.0	100	1	sco_sword_band
sco_sword_warriors	20.0	100	1	sco_sword_warriors
sco_wolf_hounds	8.0	100	1	sco_wolf_hounds
vik_archers	8.0	100	1	vik_archers
vik_axe_freemen	8.0	100	1	vik_axe_freemen
vik_axe_hirdmen	28.0	100	1	vik_axe_hirdmen
vik_catapult	24.0	100	1	vik_catapult
vik_freemen	6.0	100	1	vik_freemen
vik_hunters	8.0	100	1	vik_hunters
vik_jomsvikings	30.0	1	1	vik_jomsvikings
vik_long_axes	14.0	100	1	vik_long_axes
vik_mailed_archers	20.0	100	1	vik_mailed_archers
vik_mailed_hersir_axemen	42.0	1	1	vik_mailed_hersir_axemen
vik_mailed_hersir_swordsmen	20.0	100	1	vik_mailed_hersir_swordsmen
vik_raiders	8.0	100	1	vik_raiders
vik_scouts	13.0	100	1	vik_scouts
vik_shield_biters	42.0	1	1	vik_shield_biters
vik_skirmishers	16.0	100	1	vik_skirmishers
vik_spear_hirdmen	14.0	100	1	vik_spear_hirdmen
vik_sword_hersir	12.0	100	1	vik_sword_hersir
vik_sword_hirdmen	12.0	100	1	vik_sword_hirdmen
vik_thrall_axemen	16.0	100	1	vik_thrall_axemen
wel_archers	8.0	100	1	wel_archers
wel_armoured_swordsmen	20.0	100	1	wel_armoured_swordsmen
wel_axemen	8.0	100	1	wel_axemen
wel_catapult	24.0	100	1	wel_catapult
wel_helwyr	8.0	100	1	wel_helwyr
wel_horsemen	13.0	100	1	wel_horsemen
wel_hunters	20.0	100	1	wel_hunters
wel_levy_axemen	6.0	100	1	wel_levy_axemen
wel_levy_javelinmen	16.0	100	1	wel_levy_javelinmen
wel_levy_spearmen	6.0	100	1	wel_levy_spearmen
wel_longbowmen	8.0	100	1	wel_longbowmen
wel_mailed_axemen	14.0	100	1	wel_mailed_axemen
wel_mailed_swordsmen	28.0	100	1	wel_mailed_swordsmen
wel_old_north_uchelwr	31.0	100	1	wel_old_north_uchelwr
wel_royal_spearmen	20.0	100	1	wel_royal_spearmen
wel_royal_uchelwr	42.0	1	1	wel_royal_uchelwr
wel_scout_horsemen	13.0	100	1	wel_scout_horsemen
wel_spearmen	6.0	100	1	wel_spearmen
wel_swordsmen	20.0	100	1	wel_swordsmen
wel_teulu_spear_guard	28.0	100	1	wel_teulu_spear_guard
wel_uchelwr	31.0	100	1	wel_uchelwr
wel_valley_spearmen	6.0	100	1	wel_valley_spearmen
wel_war_hounds	8.0	100	1	wel_war_hounds
