key	playable	ui_icon	effect_bundle	initial_power
#political_parties_tables;3;db/political_parties_tables/political_parties				
vik_politics_caisil_council	false	x	att_bundle_dummy	40
vik_politics_caisil_ruler	true	x	vik_faction_trait_caisil	60
vik_politics_circenn_council	false	x	att_bundle_dummy	40
vik_politics_circenn_ruler	true	x	vik_faction_trait_circenn	60
vik_politics_dyflin_council	false	x	att_bundle_dummy	40
vik_politics_dyflin_ruler	true	x	vik_faction_trait_dyflin	60
vik_politics_east_engle_council	false	x	att_bundle_dummy	40
vik_politics_east_engle_ruler	true	x	vik_faction_trait_east_engle	60
vik_politics_gwined_council	false	x	att_bundle_dummy	40
vik_politics_gwined_ruler	true	x	vik_faction_trait_gwined	60
vik_politics_hellirborg_council	false	x	att_bundle_dummy	40
vik_politics_hellirborg_ruler	true	x	vik_faction_trait_hellirborg	60
vik_politics_hlymrekr_council	false	x	att_bundle_dummy	40
vik_politics_hlymrekr_ruler	true	x	vik_faction_trait_hlymrekr	60
vik_politics_mide_council	false	x	att_bundle_dummy	40
vik_politics_mide_ruler	true	x	vik_faction_trait_mide	60
vik_politics_mierce_council	false	x	att_bundle_dummy	40
vik_politics_mierce_ruler	true	x	vik_faction_trait_mierce	60
vik_politics_northleode_council	false	x	att_bundle_dummy	40
vik_politics_northleode_ruler	true	x	vik_faction_trait_northleode	60
vik_politics_northymbre_council	false	x	att_bundle_dummy	40
vik_politics_northymbre_ruler	true	x	vik_faction_trait_northymbre	60
vik_politics_seisilwig_council	false	x	att_bundle_dummy	40
vik_politics_seisilwig_ruler	true	x	vik_faction_trait_seisilwig	60
vik_politics_separatist_caisil_council	false	x	att_bundle_dummy	40
vik_politics_separatist_caisil_ruler	false	x	vik_faction_trait_caisil_separatist	60
vik_politics_separatist_circenn_council	false	x	att_bundle_dummy	40
vik_politics_separatist_circenn_ruler	false	x	vik_faction_trait_circenn_separatist	60
vik_politics_separatist_dyflin_council	false	x	att_bundle_dummy	40
vik_politics_separatist_dyflin_ruler	false	x	vik_faction_trait_dyflin_separatist	60
vik_politics_separatist_east_engle_council	false	x	att_bundle_dummy	40
vik_politics_separatist_east_engle_ruler	false	x	vik_faction_trait_east_engle_separatist	60
vik_politics_separatist_gwined_council	false	x	att_bundle_dummy	40
vik_politics_separatist_gwined_ruler	false	x	vik_faction_trait_gwined_separatist	60
vik_politics_separatist_hellirborg_council	false	x	att_bundle_dummy	40
vik_politics_separatist_hellirborg_ruler	false	x	vik_faction_trait_hellirborg_separatist	60
vik_politics_separatist_hlymrekr_council	false	x	att_bundle_dummy	40
vik_politics_separatist_hlymrekr_ruler	false	x	vik_faction_trait_hlymrekr_separatist	60
vik_politics_separatist_mide_council	false	x	att_bundle_dummy	40
vik_politics_separatist_mide_ruler	false	x	vik_faction_trait_mide_separatist	60
vik_politics_separatist_mierce_council	false	x	att_bundle_dummy	40
vik_politics_separatist_mierce_ruler	false	x	vik_faction_trait_mierce_separatist	60
vik_politics_separatist_northleode_council	false	x	att_bundle_dummy	40
vik_politics_separatist_northleode_ruler	false	x	vik_faction_trait_northleode_separatist	60
vik_politics_separatist_northymbre_council	false	x	att_bundle_dummy	40
vik_politics_separatist_northymbre_ruler	false	x	vik_faction_trait_northymbre_separatist	60
vik_politics_separatist_seisilwig_council	false	x	att_bundle_dummy	40
vik_politics_separatist_seisilwig_ruler	false	x	vik_faction_trait_seisilwig_separatist	60
vik_politics_separatist_strat_clut_council	false	x	att_bundle_dummy	40
vik_politics_separatist_strat_clut_ruler	false	x	vik_faction_trait_strat_clut_separatist	60
vik_politics_separatist_sudreyar_council	false	x	att_bundle_dummy	40
vik_politics_separatist_sudreyar_ruler	false	x	vik_faction_trait_sudreyar_separatist	60
vik_politics_separatist_west_seaxe_council	false	x	att_bundle_dummy	40
vik_politics_separatist_west_seaxe_ruler	false	x	vik_faction_trait_west_seaxe_separatist	60
vik_politics_strat_clut_council	false	x	att_bundle_dummy	40
vik_politics_strat_clut_ruler	true	x	vik_faction_trait_strat_clut	60
vik_politics_sudreyar_council	false	x	att_bundle_dummy	40
vik_politics_sudreyar_ruler	true	x	vik_faction_trait_sudreyar	60
vik_politics_west_seaxe_ruler	true	x	vik_faction_trait_west_seaxe	60
vik_politics_westsexa_council	false	x	att_bundle_dummy	40
