id	building_superchain	slot_template
#slot_template_to_building_superchain_junctions_tables;0;db/slot_template_to_building_superchain_junctions_tables/!longphorts		
4709	vik_port	vik_reg_hlymrekr_port
4710	vik_longphort	vik_reg_hlymrekr_primary
4711	vik_arena	vik_reg_hlymrekr_secondary
4712	vik_artisans	vik_reg_hlymrekr_secondary
4713	vik_bard	vik_reg_hlymrekr_secondary
4714	vik_church	vik_reg_hlymrekr_secondary
4715	vik_craft_merchant	vik_reg_hlymrekr_secondary
4716	vik_forge	vik_reg_hlymrekr_secondary
4717	vik_wood	vik_reg_hlymrekr_secondary
4718	vik_workshop	vik_reg_hlymrekr_secondary
4719	vik_warehouse	vik_reg_hlymrekr_secondary
4720	vik_textiles	vik_reg_hlymrekr_secondary
4721	vik_thing	vik_reg_hlymrekr_secondary
4722	vik_thrall	vik_reg_hlymrekr_secondary
4723	vik_moot_hill	vik_reg_hlymrekr_secondary
4724	vik_mint	vik_reg_hlymrekr_secondary
4725	vik_market_fair	vik_reg_hlymrekr_secondary
4726	vik_court	vik_reg_hlymrekr_secondary
4727	vik_estate	vik_reg_hlymrekr_secondary
4728	vik_high_cross	vik_reg_hlymrekr_secondary
4729	vik_tools	vik_reg_hlymrekr_secondary
4730	vik_port	vik_reg_veisafjordr_port
4731	vik_longphort	vik_reg_veisafjordr_primary
4732	vik_arena	vik_reg_veisafjordr_secondary
4733	vik_artisans	vik_reg_veisafjordr_secondary
4734	vik_bard	vik_reg_veisafjordr_secondary
4735	vik_church	vik_reg_veisafjordr_secondary
4736	vik_craft_merchant	vik_reg_veisafjordr_secondary
4737	vik_forge	vik_reg_veisafjordr_secondary
4738	vik_wood	vik_reg_veisafjordr_secondary
4739	vik_workshop	vik_reg_veisafjordr_secondary
4740	vik_warehouse	vik_reg_veisafjordr_secondary
4741	vik_textiles	vik_reg_veisafjordr_secondary
4742	vik_thing	vik_reg_veisafjordr_secondary
4743	vik_thrall	vik_reg_veisafjordr_secondary
4744	vik_moot_hill	vik_reg_veisafjordr_secondary
4745	vik_mint	vik_reg_veisafjordr_secondary
4746	vik_market_fair	vik_reg_veisafjordr_secondary
4747	vik_court	vik_reg_veisafjordr_secondary
4748	vik_estate	vik_reg_veisafjordr_secondary
4749	vik_high_cross	vik_reg_veisafjordr_secondary
4750	vik_tools	vik_reg_veisafjordr_secondary
4751	vik_port	vik_reg_vedrafjordr_port
4752	vik_longphort	vik_reg_vedrafjordr_primary
4753	vik_arena	vik_reg_vedrafjordr_secondary
4754	vik_artisans	vik_reg_vedrafjordr_secondary
4755	vik_bard	vik_reg_vedrafjordr_secondary
4756	vik_church	vik_reg_vedrafjordr_secondary
4757	vik_craft_merchant	vik_reg_vedrafjordr_secondary
4758	vik_forge	vik_reg_vedrafjordr_secondary
4759	vik_wood	vik_reg_vedrafjordr_secondary
4760	vik_workshop	vik_reg_vedrafjordr_secondary
4761	vik_warehouse	vik_reg_vedrafjordr_secondary
4762	vik_textiles	vik_reg_vedrafjordr_secondary
4763	vik_thing	vik_reg_vedrafjordr_secondary
4764	vik_thrall	vik_reg_vedrafjordr_secondary
4765	vik_moot_hill	vik_reg_vedrafjordr_secondary
4766	vik_mint	vik_reg_vedrafjordr_secondary
4767	vik_market_fair	vik_reg_vedrafjordr_secondary
4768	vik_court	vik_reg_vedrafjordr_secondary
4769	vik_estate	vik_reg_vedrafjordr_secondary
4770	vik_high_cross	vik_reg_vedrafjordr_secondary
4771	vik_tools	vik_reg_vedrafjordr_secondary
4772	vik_port	vik_reg_corcach_port
4773	vik_longphort	vik_reg_corcach_primary
4774	vik_arena	vik_reg_corcach_secondary
4775	vik_artisans	vik_reg_corcach_secondary
4776	vik_bard	vik_reg_corcach_secondary
4777	vik_church	vik_reg_corcach_secondary
4778	vik_craft_merchant	vik_reg_corcach_secondary
4779	vik_forge	vik_reg_corcach_secondary
4780	vik_wood	vik_reg_corcach_secondary
4781	vik_workshop	vik_reg_corcach_secondary
4782	vik_warehouse	vik_reg_corcach_secondary
4783	vik_textiles	vik_reg_corcach_secondary
