key	resource
#slot_templates_tables;1;db/slot_templates_tables/slot_templates	
vik_reg_abberdeon_port	res_vik_fish
vik_reg_abberdeon_primary	res_vik_cloth
vik_reg_aberffro_port	res_vik_port
vik_reg_aberffro_primary	res_vik_fort
vik_reg_aberffro_secondary	
vik_reg_aberteifi_port	res_vik_port
vik_reg_aberteifi_primary	res_vik_fort
vik_reg_aberteifi_secondary	
vik_reg_achadh_bo_primary	res_vik_saint_gold
vik_reg_achadh_bo_secondary	
vik_reg_aebburcurnig_primary	res_vik_farm
vik_reg_aelmham_primary	res_vik_cloth
vik_reg_aethelingaeg_primary	res_vik_fort
vik_reg_aethelingaeg_secondary	
vik_reg_airchardan_primary	res_vik_fort
vik_reg_airchardan_secondary	
vik_reg_alclyt_primary	res_vik_iron
vik_reg_alt_clut_port	res_vik_fish
vik_reg_alt_clut_primary	res_vik_pottery
vik_reg_an_tinbhear_mor_port	res_vik_fish
vik_reg_an_tinbhear_mor_primary	res_vik_farm
vik_reg_aporcrosan_primary	res_vik_copper
vik_reg_ard_fert_primary	res_vik_iron
vik_reg_ard_macha_primary	res_vik_saint_gold
vik_reg_ard_macha_secondary	
vik_reg_ard_mor_port	res_vik_fish
vik_reg_ard_mor_primary	res_vik_copper
vik_reg_ard_sratha_primary	res_vik_farm
vik_reg_ardach_primary	res_vik_silver
vik_reg_ardach_secondary	
vik_reg_axanbrycg_primary	res_vik_tin
vik_reg_balla_primary	res_vik_farm
vik_reg_basengas_primary	res_vik_cloth
vik_reg_bathanceaster_primary	res_vik_leather
vik_reg_bathanceaster_secondary	
vik_reg_bebbanburg_port	res_vik_saint_gold
vik_reg_bebbanburg_primary	res_vik_fort
vik_reg_bebbanburg_secondary	
vik_reg_bedanford_primary	res_vik_farm
vik_reg_bedanford_secondary	
vik_reg_beoferlic_primary	res_vik_cloth
vik_reg_blascona_port	res_vik_herring
vik_reg_blascona_primary	res_vik_fort
vik_reg_blascona_secondary	
