unit	military_group
#units_to_groupings_military_permissions_tables;0;db/units_to_groupings_military_permissions_tables/garrisons	
dan_anglian_marauders_garrison	austmenn_sea_kings
dan_anglian_marauders_garrison	danelaw_boroughs
dan_anglian_marauders_garrison	danish_invaders
dan_anglian_marauders_garrison	irish
dan_anglian_marauders_garrison	nordmenn_sea_kings
dan_anglian_marauders_garrison	norman_invaders
dan_anglian_marauders_garrison	norse_invaders
dan_anglian_marauders_garrison	pictish
dan_anglian_marauders_garrison	scottish
dan_anglian_marauders_garrison	vik_fact_east_engle
dan_anglian_marauders_garrison	vik_fact_mierce
dan_anglian_marauders_garrison	vik_fact_northleode
dan_anglian_marauders_garrison	vik_fact_northymbre
dan_anglian_marauders_garrison	vik_fact_strat_clut
dan_anglian_marauders_garrison	vik_fact_west_seaxe
dan_anglian_marauders_garrison	welsh
dan_anglian_raiders_garrison	danelaw_boroughs
dan_anglian_raiders_garrison	danish_invaders
dan_anglian_raiders_garrison	danish_raiders
dan_anglian_raiders_garrison	foreign_warriors
dan_anglian_raiders_garrison	vik_fact_east_engle
dan_anglian_raiders_garrison	vik_fact_northymbre
dan_archers_garrison	danelaw_boroughs
dan_archers_garrison	vik_fact_east_engle
dan_archers_garrison	vik_fact_northymbre
dan_axemen_garrison	danelaw_boroughs
dan_axemen_garrison	foreign_warriors
dan_axemen_garrison	vik_fact_east_engle
dan_axemen_garrison	vik_fact_northymbre
dan_berserkers_garrison	danelaw_boroughs
dan_berserkers_garrison	danish_invaders
dan_berserkers_garrison	danish_raiders
dan_berserkers_garrison	vik_fact_east_engle
dan_berserkers_garrison	vik_fact_northymbre
dan_catapult_garrison	danelaw_boroughs
dan_catapult_garrison	vik_fact_east_engle
dan_catapult_garrison	vik_fact_northymbre
dan_ceorl_archers_garrison	danelaw_boroughs
dan_ceorl_archers_garrison	danish_invaders
dan_ceorl_archers_garrison	foreign_warriors
dan_ceorl_archers_garrison	vik_fact_east_engle
dan_ceorl_archers_garrison	vik_fact_northymbre
dan_ceorl_axemen_garrison	danelaw_boroughs
dan_ceorl_axemen_garrison	danish_invaders
dan_ceorl_axemen_garrison	danish_raiders
dan_ceorl_axemen_garrison	vik_fact_east_engle
dan_ceorl_axemen_garrison	vik_fact_northymbre
dan_ceorl_javelinmen_garrison	bandits
dan_ceorl_spearmen_garrison	danelaw_boroughs
dan_ceorl_spearmen_garrison	vik_fact_east_engle
dan_ceorl_spearmen_garrison	vik_fact_northymbre
dan_fyrd_archers_garrison	bandits
dan_huscarls_garrison	danelaw_boroughs
dan_huscarls_garrison	danish_invaders
dan_huscarls_garrison	vik_fact_east_engle
dan_huscarls_garrison	vik_fact_northymbre
dan_jarls_horsemen_garrison	danelaw_boroughs
dan_jarls_horsemen_garrison	vik_fact_east_engle
dan_jarls_horsemen_garrison	vik_fact_northymbre
dan_jarls_huscarls_garrison	austmenn_sea_kings
dan_jarls_huscarls_garrison	danelaw_boroughs
dan_jarls_huscarls_garrison	danish_invaders
dan_jarls_huscarls_garrison	irish
dan_jarls_huscarls_garrison	nordmenn_sea_kings
dan_jarls_huscarls_garrison	norman_invaders
dan_jarls_huscarls_garrison	norse_invaders
dan_jarls_huscarls_garrison	pictish
dan_jarls_huscarls_garrison	scottish
dan_jarls_huscarls_garrison	vik_fact_east_engle
dan_jarls_huscarls_garrison	vik_fact_mierce
dan_jarls_huscarls_garrison	vik_fact_northleode
dan_jarls_huscarls_garrison	vik_fact_northymbre
dan_jarls_huscarls_garrison	vik_fact_strat_clut
dan_jarls_huscarls_garrison	vik_fact_west_seaxe
dan_jarls_huscarls_garrison	welsh
dan_javelinmen_garrison	danelaw_boroughs
dan_javelinmen_garrison	foreign_warriors
dan_javelinmen_garrison	vik_fact_east_engle
dan_javelinmen_garrison	vik_fact_northymbre
dan_mailed_horsemen_garrison	austmenn_sea_kings
dan_mailed_horsemen_garrison	danelaw_boroughs
dan_mailed_horsemen_garrison	danish_invaders
dan_mailed_horsemen_garrison	irish
dan_mailed_horsemen_garrison	nordmenn_sea_kings
dan_mailed_horsemen_garrison	norman_invaders
dan_mailed_horsemen_garrison	norse_invaders
dan_mailed_horsemen_garrison	pictish
dan_mailed_horsemen_garrison	scottish
dan_mailed_horsemen_garrison	vik_fact_east_engle
dan_mailed_horsemen_garrison	vik_fact_mierce
dan_mailed_horsemen_garrison	vik_fact_northleode
dan_mailed_horsemen_garrison	vik_fact_northymbre
dan_mailed_horsemen_garrison	vik_fact_strat_clut
dan_mailed_horsemen_garrison	vik_fact_west_seaxe
dan_mailed_horsemen_garrison	welsh
dan_mailed_swordsmen_garrison	danelaw_boroughs
dan_mailed_swordsmen_garrison	danish_invaders
dan_mailed_swordsmen_garrison	foreign_warriors
dan_mailed_swordsmen_garrison	vik_fact_east_engle
dan_mailed_swordsmen_garrison	vik_fact_northymbre
dan_northumbrian_mailed_thegns_garrison	austmenn_sea_kings
dan_northumbrian_mailed_thegns_garrison	danelaw_boroughs
dan_northumbrian_mailed_thegns_garrison	danish_invaders
dan_northumbrian_mailed_thegns_garrison	irish
dan_northumbrian_mailed_thegns_garrison	nordmenn_sea_kings
dan_northumbrian_mailed_thegns_garrison	norman_invaders
dan_northumbrian_mailed_thegns_garrison	norse_invaders
dan_northumbrian_mailed_thegns_garrison	pictish
dan_northumbrian_mailed_thegns_garrison	scottish
dan_northumbrian_mailed_thegns_garrison	vik_fact_east_engle
dan_northumbrian_mailed_thegns_garrison	vik_fact_mierce
dan_northumbrian_mailed_thegns_garrison	vik_fact_northleode
dan_northumbrian_mailed_thegns_garrison	vik_fact_northymbre
dan_northumbrian_mailed_thegns_garrison	vik_fact_strat_clut
dan_northumbrian_mailed_thegns_garrison	vik_fact_west_seaxe
dan_northumbrian_mailed_thegns_garrison	welsh
dan_northumbrian_thegns_garrison	vik_fact_northymbre
dan_royal_huscarls_garrison	danelaw_boroughs
dan_royal_huscarls_garrison	danish_invaders
dan_royal_huscarls_garrison	vik_fact_east_engle
dan_royal_huscarls_garrison	vik_fact_northymbre
dan_scout_horsemen_garrison	danelaw_boroughs
dan_scout_horsemen_garrison	danish_invaders
dan_scout_horsemen_garrison	vik_fact_east_engle
dan_scout_horsemen_garrison	vik_fact_northymbre
dan_shield_biters_garrison	danish_raiders
dan_spearmen_garrison	danelaw_boroughs
dan_spearmen_garrison	foreign_warriors
dan_spearmen_garrison	vik_fact_east_engle
dan_spearmen_garrison	vik_fact_northymbre
dan_sword_hersir_garrison	vik_fact_east_engle
dan_sword_hirdmen_garrison	danelaw_boroughs
dan_sword_hirdmen_garrison	danish_invaders
dan_sword_hirdmen_garrison	vik_fact_east_engle
dan_sword_hirdmen_garrison	vik_fact_northymbre
dan_warlords_companions_garrison	danelaw_boroughs
dan_warlords_companions_garrison	danish_raiders
dan_warlords_companions_garrison	vik_fact_east_engle
dan_warlords_companions_garrison	vik_fact_northymbre
eng_catapult_garrison	vik_fact_mierce
eng_catapult_garrison	vik_fact_northleode
eng_catapult_garrison	vik_fact_west_seaxe
eng_ceorl_archers_garrison	vik_fact_mierce
eng_ceorl_archers_garrison	vik_fact_northleode
eng_ceorl_archers_garrison	vik_fact_west_seaxe
eng_ceorl_axemen_garrison	vik_fact_mierce
eng_ceorl_axemen_garrison	vik_fact_northleode
eng_ceorl_axemen_garrison	vik_fact_west_seaxe
eng_ceorl_javelinmen_garrison	vik_fact_mierce
eng_ceorl_javelinmen_garrison	vik_fact_northleode
eng_ceorl_javelinmen_garrison	vik_fact_west_seaxe
eng_ceorl_spearmen_garrison	vik_fact_mierce
eng_ceorl_spearmen_garrison	vik_fact_northleode
eng_ceorl_spearmen_garrison	vik_fact_west_seaxe
eng_earls_horsemen_garrison	vik_fact_mierce
eng_earls_horsemen_garrison	vik_fact_northleode
eng_earls_horsemen_garrison	vik_fact_west_seaxe
eng_earls_spearmen_garrison	vik_fact_mierce
eng_fyrd_archers_garrison	vik_fact_mierce
eng_fyrd_archers_garrison	vik_fact_west_seaxe
eng_fyrd_axemen_garrison	vik_fact_mierce
eng_fyrd_axemen_garrison	vik_fact_northleode
eng_fyrd_axemen_garrison	vik_fact_west_seaxe
eng_fyrd_javelinmen_garrison	vik_fact_mierce
eng_fyrd_javelinmen_garrison	vik_fact_west_seaxe
eng_fyrd_spearmen_garrison	vik_fact_mierce
eng_fyrd_spearmen_garrison	vik_fact_west_seaxe
eng_long_axemen_garrison	vik_fact_mierce
