unit	military_group
#units_to_groupings_military_permissions_tables;0;db/units_to_groupings_military_permissions_tables/units_to_groupings_military_permissions	
dan_anglian_marauders	austmenn_sea_kings
dan_anglian_marauders	danelaw_boroughs
dan_anglian_marauders	danish_invaders
dan_anglian_marauders	irish
dan_anglian_marauders	nordmenn_sea_kings
dan_anglian_marauders	norman_invaders
dan_anglian_marauders	norse_invaders
dan_anglian_marauders	pictish
dan_anglian_marauders	scottish
dan_anglian_marauders	vik_fact_east_engle
dan_anglian_marauders	vik_fact_mierce
dan_anglian_marauders	vik_fact_northleode
dan_anglian_marauders	vik_fact_northymbre
dan_anglian_marauders	vik_fact_strat_clut
dan_anglian_marauders	vik_fact_west_seaxe
dan_anglian_marauders	welsh
dan_anglian_raiders	danelaw_boroughs
dan_anglian_raiders	danish_invaders
dan_anglian_raiders	danish_raiders
dan_anglian_raiders	foreign_warriors
dan_anglian_raiders	vik_fact_east_engle
dan_anglian_raiders	vik_fact_northymbre
dan_archers	danelaw_boroughs
dan_archers	vik_fact_east_engle
dan_archers	vik_fact_northymbre
dan_axemen	danelaw_boroughs
dan_axemen	foreign_warriors
dan_axemen	vik_fact_east_engle
dan_axemen	vik_fact_northymbre
dan_berserkers	danelaw_boroughs
dan_berserkers	danish_invaders
dan_berserkers	danish_raiders
dan_berserkers	vik_fact_east_engle
dan_berserkers	vik_fact_northymbre
dan_catapult	danelaw_boroughs
dan_catapult	vik_fact_east_engle
dan_catapult	vik_fact_northymbre
dan_ceorl_archers	danelaw_boroughs
dan_ceorl_archers	danish_invaders
dan_ceorl_archers	foreign_warriors
dan_ceorl_archers	vik_fact_east_engle
dan_ceorl_archers	vik_fact_northymbre
dan_ceorl_axemen	danelaw_boroughs
dan_ceorl_axemen	danish_invaders
dan_ceorl_axemen	danish_raiders
dan_ceorl_axemen	vik_fact_east_engle
dan_ceorl_axemen	vik_fact_northymbre
dan_ceorl_javelinmen	bandits
dan_ceorl_spearmen	danelaw_boroughs
dan_ceorl_spearmen	vik_fact_east_engle
dan_ceorl_spearmen	vik_fact_northymbre
