key	text	tooltip
#Loc PackedFile;1;text/db/!faction_effect_bundles.loc		
effect_bundles_localised_description_vik_faction_trait_strat_clut_separatist	Strat Clut Separatists get the following bonuses:	true
effect_bundles_localised_description_vik_faction_trait_welsh	Welsh Kingdoms get the following bonuses:	true
effect_bundles_localised_description_vik_faction_trait_hellirborg_separatist	Hellirborg get the following bonuses:	true
effect_bundles_localised_description_vik_faction_trait_mide_campaign	Mide get the following bonuses:	true
effect_bundles_localised_description_vik_faction_trait_northleode_separatist	Northanhymbra get the following bonuses:	true
effect_bundles_localised_description_vik_faction_trait_west_seaxe_separatist	West Seaxe Separatists get the following bonuses:	true
effect_bundles_localised_description_vik_faction_trait_northymbre_separatist	Jórvík Separatists get the following bonuses:	true
effect_bundles_localised_description_vik_faction_trait_strat_clut_campaign	Strat Clut get the following bonuses:	true
effect_bundles_localised_description_vik_faction_trait_east_engle_separatist	East Engle Separatists get the following bonuses:	true
effect_bundles_localised_description_vik_faction_trait_east_engle_campaign	East Engle get the following bonuses:	true
effect_bundles_localised_description_vik_faction_trait_seisilwig_separatist	Seisilwig get the following bonuses:	true
effect_bundles_localised_description_vik_faction_trait_northleode_campaign	Northanhymbra get the following bonuses:	true
effect_bundles_localised_description_vik_faction_trait_vikings_major	Vikings get the following bonuses:	true
effect_bundles_localised_description_vik_faction_trait_rebels	Rebels get the following bonuses:	true
effect_bundles_localised_description_vik_faction_trait_mide	Mide get the following bonuses:	true
effect_bundles_localised_description_vik_faction_trait_gael	Gaelic Kingdoms get the following bonuses:	true
effect_bundles_localised_description_vik_faction_trait_hlymrekr_separatist	Hlymrekr get the following bonuses:	true
effect_bundles_localised_description_vik_faction_trait_hellirborg_campaign	Hellirborg get the following bonuses:	true
effect_bundles_localised_description_vik_faction_trait_west_seaxe_campaign	West Seaxe get the following bonuses:	true
effect_bundles_localised_description_vik_faction_trait_northymbre_campaign	Jórvík get the following bonuses:	true
effect_bundles_localised_description_vik_faction_trait_sudreyar_separatist	Sudreyar Separatists get the following bonuses:	true
effect_bundles_localised_description_vik_faction_trait_gwined	Gwined get the following bonuses:	true
effect_bundles_localised_description_vik_faction_trait_dyflin	Dyflin get the following bonuses:	true
effect_bundles_localised_description_vik_faction_trait_mierce	Mierce get the following bonuses:	true
effect_bundles_localised_description_vik_faction_trait_caisil	Caisil get the following bonuses:	true
effect_bundles_localised_description_vik_faction_trait_northymbre	Jórvík get the following bonuses:	true
effect_bundles_localised_description_vik_faction_trait_circenn_separatist	Circenn Separatists get the following bonuses:	true
effect_bundles_localised_description_vik_faction_trait_seisilwig_campaign	Seisilwig get the following bonuses:	true
effect_bundles_localised_description_vik_faction_trait_viking_sea_kings	Viking Sea Kings get the following bonuses:	true
effect_bundles_localised_description_vik_faction_trait_vikings	Vikings get the following bonuses:	true
effect_bundles_localised_description_vik_faction_trait_strat_clut	Strat Clut get the following bonuses:	true
effect_bundles_localised_description_vik_faction_trait_hellirborg	Hellirborg get the following bonuses:	true
effect_bundles_localised_description_vik_faction_trait_circenn	Circenn get the following bonuses:	true
effect_bundles_localised_description_vik_faction_trait_caisil_campaign	Caisil get the following bonuses:	true
effect_bundles_localised_description_vik_faction_trait_sudreyar	Sudreyar get the following bonuses:	true
effect_bundles_localised_description_vik_faction_trait_mierce_campaign	Mierce get the following bonuses:	true
effect_bundles_localised_description_vik_faction_trait_mide_separatist	Mide Separatists get the following bonuses:	true
effect_bundles_localised_description_vik_faction_trait_gwined_campaign	Gwined get the following bonuses:	true
effect_bundles_localised_description_vik_faction_trait_northleode	Northanhymbra get the following bonuses:	true
effect_bundles_localised_description_vik_faction_trait_english	English Kingdoms get the following bonuses:	true
effect_bundles_localised_description_vik_faction_trait_dyflin_campaign	Dyflin get the following bonuses:	true
effect_bundles_localised_description_vik_faction_trait_hlymrekr	Hlymrekr get the following bonuses:	true
effect_bundles_localised_description_vik_faction_trait_circenn_campaign	Circenn get the following bonuses:	true
effect_bundles_localised_description_vik_faction_trait_dyflin_separatist	Dyflin Separatists get the following bonuses:	true
effect_bundles_localised_description_vik_faction_trait_east_engle	East Engle get the following bonuses:	true
effect_bundles_localised_description_vik_faction_trait_gwined_separatist	Gwined Separatists get the following bonuses:	true
effect_bundles_localised_description_vik_faction_trait_west_seaxe	West Seaxe get the following bonuses:	true
effect_bundles_localised_description_vik_faction_trait_seisilwig	Seisilwig get the following bonuses:	true
effect_bundles_localised_description_vik_faction_trait_hlymrekr_campaign	Hlymrekr get the following bonuses:	true
effect_bundles_localised_description_vik_faction_trait_sudreyar_campaign	Sudreyar get the following bonuses:	true
effect_bundles_localised_description_vik_faction_trait_great_viking_army	Great Viking Army get the following bonuses:	true
effect_bundles_localised_description_vik_faction_trait_mierce_separatist	Mierce Separatists get the following bonuses:	true
effect_bundles_localised_description_vik_faction_trait_caisil_separatist	Caisil get the following bonuses:	true
effect_bundles_localised_description_vik_midhe_fair_vik_religion_northymbra	Friendlier relations with Jórvík are in both your interests.	true
effect_bundles_localised_title_vik_faction_trait_northymbre	Jórvík	true
effect_bundles_localised_title_vik_faction_trait_northymbre_campaign	Jórvík	true
effect_bundles_localised_title_vik_faction_trait_northymbre_separatist	Jórvík Separatists	true
effect_bundles_localised_title_vik_midhe_fair_vik_religion_northymbra	Relations with Jórvík	true
