key	text	tooltip
#Loc PackedFile;1;text/db/factions.loc		
factions_attack_desc_vik_fact_airer_goidel	You are attacking Airer Goidel	true
factions_screen_name_when_rebels_vik_fact_east_seaxe	East Seaxe Rebels	true
factions_clan_summary_name_when_shogun_vik_fact_separatists_gwined	placeholder	true
factions_senator_text_gain_n_vik_fact_jorvik	%n of %n Nobles	true
factions_screen_name_vik_fact_brega	Brega	true
factions_senator_text_gain_n_vik_fact_rebels_english	%n of %n Nobles	true
factions_senator_text_gain_1_vik_fact_rebels_english	%n of %n Nobles	true
factions_clan_summary_name_vik_fact_gliwissig	placeholder	true
factions_senator_text_gain_1_vik_fact_jorvik	%n of %n Nobles	true
factions_screen_adjective_vik_fact_caisil_usurpers	Caisil	true
factions_screen_adjective_vik_fact_rebels_scottish	Scottish Rebels	true
factions_defend_desc_att_fact_blue	Red	true
factions_screen_adjective_vik_fact_grantebru	Grantebru	true
factions_senator_text_n_out_of_n_vik_fact_separatists_dyflin	%n of %n Nobles	true
factions_screen_adjective_vik_fact_aileach	Ailech	true
factions_senator_text_n_out_of_n_vik_fact_brechinauc	%n of %n Nobles	true
factions_senator_text_gain_n_vik_fact_gwined	%n of %n Nobles	true
factions_senator_text_gain_1_vik_fact_gwined	%n of %n Nobles	true
factions_defend_desc_vik_fact_separatists_east_engle	You are defending against East Engle Usurpers	true
factions_clan_summary_name_when_shogun_vik_fact_strat_clut	placeholder	true
factions_senator_text_lose_n_vik_fact_rebels_irish	%n of %n Nobles	true
factions_senator_text_lose_1_vik_fact_rebels_irish	%n of %n Nobles	true
factions_senator_text_lose_n_vik_fact_defena	%n of %n Nobles	true
factions_clan_summary_name_when_shogun_vik_fact_mide	placeholder	true
factions_senator_text_lose_n_vik_fact_caisil	%n of %n Nobles	true
factions_defend_desc_vik_fact_rebels_viking	You are defending against Viking Rebels	true
factions_senator_text_n_out_of_n_vik_fact_separatists_mierce	%n of %n Nobles	true
factions_attack_desc_vik_fact_separatists_sudreyar	You are attacking Sudreyar Usurpers	true
factions_senator_text_lose_n_vik_fact_rebels_welsh	%n of %n Nobles	true
factions_senator_text_lose_1_vik_fact_rebels_welsh	%n of %n Nobles	true
factions_screen_name_vik_fact_dyfet	Dewet	true
factions_screen_name_when_rebels_vik_fact_veisafjordr	Veisafjordr Rebels	true
factions_screen_name_when_rebels_vik_fact_vedrafjordr	Vedrafjordr Rebels	true
factions_screen_name_when_shogun_vik_fact_separatists_circenn	placeholder	true
factions_clan_summary_name_vik_fact_grantebru	placeholder	true
factions_screen_name_when_shogun_vik_fact_hellirborg_usurpers	placeholder	true
factions_defend_desc_vik_fact_fortriu	You are defending against Fortriu	true
factions_screen_name_vik_fact_osraige	Osraige	true
factions_senator_text_lose_1_vik_fact_caisil	%n of %n Nobles	true
factions_screen_adjective_vik_fact_northleode	Northanhymbra	true
factions_senator_text_lose_1_vik_fact_defena	%n of %n Nobles	true
factions_attack_desc_vik_fact_osraige	You are attacking Osraige	true
factions_senator_text_gain_n_vik_fact_separatists_strat_clut	%n of %n Nobles	true
factions_screen_adjective_vik_fact_gliwissig	Gliwissig	true
factions_senator_text_lose_1_vik_fact_veisafjordr	%n of %n Nobles	true
factions_screen_adjective_vik_fact_desmuma	Desmuma	true
factions_senator_text_lose_1_vik_fact_vedrafjordr	%n of %n Nobles	true
factions_senator_text_lose_n_att_fact_yellow	%n of %n Nobles	true
factions_senator_text_lose_n_vik_fact_hwicce	%n of %n Nobles	true
factions_clan_summary_name_when_shogun_vik_fact_hellirborg	placeholder	true
factions_senator_text_gain_1_vik_fact_separatists_strat_clut	%n of %n Nobles	true
factions_senator_text_lose_1_vik_fact_hwicce	%n of %n Nobles	true
factions_defend_desc_vik_fact_circenn	You are defending against Circenn	true
factions_senator_text_lose_1_att_fact_yellow	%n of %n Nobles	true
factions_attack_desc_vik_fact_bandits	You are attacking Bandits	true
factions_screen_name_vik_fact_bandits	Bandits	true
factions_defend_desc_vik_fact_airer_goidel	You are defending against Airer Goidel	true
factions_senator_text_n_out_of_n_vik_fact_seisilwig_usurpers	%n of %n Nobles	true
factions_defend_desc_vik_fact_separatists_west_seaxe	You are defending against West Seaxe Usurpers	true
factions_attack_desc_vik_fact_norse	You are attacking Norse	true
factions_clan_summary_name_when_shogun_vik_fact_northymbre	placeholder	true
factions_clan_summary_name_vik_fact_seisilwig	placeholder	true
factions_screen_name_when_rebels_vik_fact_northleode_usurpers	Northanhymbran Rebels	true
factions_attack_desc_att_fact_blue	Red	true
factions_senator_text_lose_1_vik_fact_northleode_usurpers	%n of %n Nobles	true
factions_senator_text_lose_n_vik_fact_haeden	%n of %n Nobles	true
factions_senator_text_gain_n_vik_fact_separatists_northymbre	%n of %n Nobles	true
factions_senator_text_lose_n_vik_fact_dyflin	%n of %n Nobles	true
factions_screen_adjective_vik_fact_hlymrekr_usurpers	Hlymrekr	true
factions_senator_text_gain_n_vik_fact_cerneu	%n of %n Nobles	true
factions_senator_text_gain_n_vik_fact_djurby	%n of %n Nobles	true
factions_senator_text_gain_1_vik_fact_djurby	%n of %n Nobles	true
factions_senator_text_gain_1_vik_fact_cerneu	%n of %n Nobles	true
factions_senator_text_lose_1_vik_fact_dyflin	%n of %n Nobles	true
factions_screen_adjective_vik_fact_gallgoidel	Gallgoidel	true
factions_senator_text_gain_1_vik_fact_separatists_northymbre	%n of %n Nobles	true
factions_senator_text_lose_1_vik_fact_haeden	%n of %n Nobles	true
factions_senator_text_gain_n_vik_fact_laigin	%n of %n Nobles	true
factions_clan_summary_name_when_shogun_vik_fact_westmoringas	placeholder	true
factions_senator_text_lose_n_vik_fact_mierce	%n of %n Nobles	true
factions_defend_desc_vik_fact_separatists_sudreyar	You are defending against Sudreyar Usurpers	true
factions_clan_summary_name_vik_fact_hlymrekr_usurpers	placeholder	true
factions_senator_text_lose_1_vik_fact_mierce	%n of %n Nobles	true
factions_senator_text_gain_1_vik_fact_laigin	%n of %n Nobles	true
factions_screen_adjective_vik_fact_seisilwig	Seisilwig	true
factions_screen_adjective_vik_fact_iarmuma	Iarmuma	true
factions_clan_summary_name_vik_fact_wicing	placeholder	true
factions_senator_text_gain_1_vik_fact_separatists_english	%n of %n Nobles	true
factions_senator_text_lose_n_vik_fact_separatists_strat_clut	%n of %n Nobles	true
factions_screen_adjective_vik_fact_westernas	Westernas	true
factions_senator_text_gain_n_att_fact_yellow	%n of %n Nobles	true
factions_clan_summary_name_when_shogun_vik_fact_dene	placeholder	true
factions_clan_summary_name_when_shogun_vik_fact_cent	placeholder	true
factions_senator_text_gain_n_vik_fact_hwicce	%n of %n Nobles	true
factions_screen_name_when_rebels_vik_fact_separatists_english	English Usurpers	true
factions_senator_text_lose_1_vik_fact_separatists_strat_clut	%n of %n Nobles	true
factions_senator_text_gain_1_vik_fact_hwicce	%n of %n Nobles	true
factions_clan_summary_name_vik_fact_veidrborg	placeholder	true
factions_defend_desc_vik_fact_iarmuma	You are defending against Iarmuma	true
factions_senator_text_gain_1_att_fact_yellow	%n of %n Nobles	true
factions_senator_text_gain_n_vik_fact_caisil	%n of %n Nobles	true
factions_senator_text_gain_n_vik_fact_defena	%n of %n Nobles	true
factions_senator_text_lose_1_vik_fact_separatists_english	%n of %n Nobles	true
factions_screen_name_vik_fact_gwent	Gwent	true
factions_clan_summary_name_vik_fact_holdrness	placeholder	true
factions_senator_text_gain_1_vik_fact_defena	%n of %n Nobles	true
