key	text	tooltip
#Loc PackedFile;1;text/db/religions.loc		
religions_onscreen_vik_religion_scoan	Circenn	true
religions_onscreen_vik_religion_east_engle_usurpers	East Engle Usurpers	true
religions_onscreen_vik_religion_mide_usurpers	Mide Usurpers	true
religions_onscreen_vik_religion_northleode_usurpers	Northanhymbra Usurpers	true
religions_onscreen_vik_religion_midhe	Mide	true
religions_onscreen_vik_religion_viking_gael	Viking Sea Kingdoms	true
religions_onscreen_vik_religion_hellirborg_usurpers	Hellirborg Usurpers	true
religions_onscreen_vik_religion_east_angla	East Engle	true
religions_onscreen_vik_religion_welsh	Welsh Kingdoms	true
religions_onscreen_vik_religion_irish	Irish Kingdoms	true
religions_onscreen_vik_religion_northymbre_usurpers	Northanhymbra Usurpers	true
religions_onscreen_vik_religion_west_seaxe_usurpers	West Seaxe Usurpers	true
religions_onscreen_vik_religion_scots	Scottish Kingdoms	true
religions_onscreen_vik_religion_northleode	Northanhymbra	true
religions_onscreen_vik_religion_northymbra	Jórvík	true
religions_onscreen_vik_religion_strat_clut	Strat Clut	true
religions_onscreen_vik_religion_hellirborg	Hellirborg	true
religions_onscreen_vik_religion_anglo_viking	Great Viking Army Kingdoms	true
religions_onscreen_vik_religion_seisilwig_usurpers	Seisilwig Usurpers	true
religions_onscreen_vik_religion_strat_clut_usurpers	Strat Clut Usurpers	true
religions_onscreen_vik_religion_westsexa	West Seaxe	true
religions_onscreen_vik_religion_freeland	Uncontrolled Land	true
religions_onscreen_vik_religion_gwined	Gwined	true
religions_onscreen_vik_religion_dyflin	Dyflin	true
religions_onscreen_vik_religion_sudreyar	Sudreyar	true
religions_onscreen_vik_religion_caisil	Caisil	true
religions_onscreen_vik_religion_circenn_usurpers	Circenn Usurpers	true
religions_onscreen_vik_religion_banditry	Banditry	true
religions_onscreen_vik_religion_hlymrekr	Hlymrekr	true
religions_onscreen_vik_religion_viking	Viking Kingdoms	true
religions_onscreen_vik_religion_miercna	Mierce	true
religions_onscreen_vik_religion_sudreyar_usurpers	Sudreyar Usurpers	true
religions_onscreen_vik_religion	None	true
religions_onscreen_vik_religion_mierce_usurpers	Mierce Usurpers	true
religions_onscreen_vik_religion_caisil_usurpers	Caisil Usurpers	true
religions_onscreen_vik_religion_gwined_usurpers	Gwined Usurpers	true
religions_onscreen_vik_religion_dyflin_usurpers	Dyflin Usurpers	true
religions_onscreen_vik_religion_hlymrekr_usurpers	Hlymrekr Usurpers	true
religions_onscreen_vik_religion_english	English Kingdoms	true
religions_onscreen_vik_religion_seisilwig	Seisilwig	true
