key	text	tooltip
#Loc PackedFile;1;text/db/start_pos_factions.loc		
start_pos_factions_long_description_2120157593	PLACEHOLDER	true
start_pos_factions_long_description_2120157793	PLACEHOLDER	true
start_pos_factions_long_description_2120157690	PLACEHOLDER	true
start_pos_factions_long_description_2120157496	PLACEHOLDER	true
start_pos_factions_long_description_2120157595	PLACEHOLDER	true
start_pos_factions_long_description_2120157694	PLACEHOLDER	true
start_pos_factions_long_description_2120157699	PLACEHOLDER	true
start_pos_factions_long_description_2120157799	PLACEHOLDER	true
start_pos_factions_long_description_2120157898	PLACEHOLDER	true
start_pos_factions_long_description_2120157583	PLACEHOLDER	true
start_pos_factions_long_description_2120157783	PLACEHOLDER	true
start_pos_factions_long_description_2120157881	PLACEHOLDER	true
start_pos_factions_long_description_2120157487	PLACEHOLDER	true
start_pos_factions_long_description_2120157587	PLACEHOLDER	true
start_pos_factions_long_description_2120157686	PLACEHOLDER	true
start_pos_factions_long_description_2120157889	PLACEHOLDER	true
start_pos_factions_long_description_2120157488	PLACEHOLDER	true
start_pos_factions_long_description_2120157688	PLACEHOLDER	true
start_pos_factions_description_2120157487	PLACEHOLDER	true
start_pos_factions_description_2120157587	PLACEHOLDER	true
start_pos_factions_description_2120157686	PLACEHOLDER	true
start_pos_factions_description_2120157885	PLACEHOLDER	true
start_pos_factions_description_2120157583	PLACEHOLDER	true
start_pos_factions_description_2120157783	PLACEHOLDER	true
start_pos_factions_description_2120157881	By 878 AD, nearly all the Northanhymbran leadership was routed and destroyed -- the two kings having been slain; any survivors made peace with the pagans and were appointed as local rulers. Thus came Ecgberht of Northanhymbra, the ridiculous Puppet King of Nothing into power, set in place and allowed to rule only by the good graces of the heathens. What Ecgberht lacks in respect among his peers he makes up for in his ability to seize upon opportunities, one of which presents itself when the Vikings of Jórvík recently appointed a former slave as their king. Ecgberht should seek to exploit this new weakness and reassert true Christian rule over the Kingdoms of the North.	true
start_pos_factions_description_2120157889	PLACEHOLDER	true
start_pos_factions_description_2120157488	After decades of Viking raids, the West Seaxe succession passed from brother to brother down to Alfred, whose temperament, some say, was best suited to a life of piety and learning. However, having defeated the Vikings in battle, he now negotiated for a lasting peace. Unfortunately, the Vikings reneged, and their raids have since intensified, even driving the West Seaxe king from his capital for a while. Naturally, Alfred is preparing to fight back…	true
start_pos_factions_description_2120157688	PLACEHOLDER	true
start_pos_factions_description_2120157496	PLACEHOLDER	true
start_pos_factions_description_2120157595	PLACEHOLDER	true
start_pos_factions_description_2120157694	PLACEHOLDER	true
start_pos_factions_description_2120157593	PLACEHOLDER	true
start_pos_factions_description_2120157793	PLACEHOLDER	true
start_pos_factions_description_2120157690	PLACEHOLDER	true
start_pos_factions_description_2120157699	The Kingdom of Mide lies at the heart of Ireland: not just geographically but politically, intellectually and spiritually. Many High Kings have come from Mide, and its current ruler, Flann, aspires to the title. Some say Flann's ambition makes him expedient, even ruthless, with his fondness for taking hostages and talk of dubious alliances. But with Ireland under threat from all sides, no one can deny that Flann is a king who will do whatever it takes...	true
start_pos_factions_description_2120157799	PLACEHOLDER	true
start_pos_factions_description_2120157898	PLACEHOLDER	true
start_pos_factions_long_description_2120157833	PLACEHOLDER	true
start_pos_factions_long_description_2120157732	PLACEHOLDER	true
start_pos_factions_long_description_2120157937	PLACEHOLDER	true
start_pos_factions_long_description_2120157536	PLACEHOLDER	true
start_pos_factions_long_description_2120157535	PLACEHOLDER	true
start_pos_factions_long_description_2120157735	PLACEHOLDER	true
start_pos_factions_long_description_2120157634	PLACEHOLDER	true
start_pos_factions_long_description_2120157834	PLACEHOLDER	true
start_pos_factions_long_description_2120157538	PLACEHOLDER	true
start_pos_factions_description_2120157767	PLACEHOLDER	true
start_pos_factions_description_2120157867	PLACEHOLDER	true
start_pos_factions_description_2120157565	PLACEHOLDER	true
start_pos_factions_description_2120157864	PLACEHOLDER	true
start_pos_factions_description_2120157663	PLACEHOLDER	true
start_pos_factions_description_2120157963	PLACEHOLDER	true
start_pos_factions_description_2120157862	PLACEHOLDER	true
start_pos_factions_description_2120157660	Circenn is a land of misty hills and open moors, its folk a mixture of Gaels, Picts and others driven to the edges of Britannia by invaders. So far, however, they have resisted the Viking incursions. Scoan, the capital of Circenn, was once home to the legendary Stone of Destiny, said to bestow divine strength. Aed, Circenn's new king, will need all the strength and divine support he can get, not just against the Vikings, but to face potential threats closer to home...	true
start_pos_factions_description_2120157760	PLACEHOLDER	true
start_pos_factions_description_2120157669	The islands off the west coast of Alba are numerous and sparsely populated. When the Vikings raided, and eventually settled here, they made little impact on the rest of Britannia. They called their new kingdom Sudreyar, the Southern Isles, to distinguish it from the island kingdoms further north, ruled by their kinsmen. Now, although Eirik's kingdom is diffuse and not materially rich, it provides a secure base from which to send out longships to raid or explore...	true
start_pos_factions_long_description_2120157623	PLACEHOLDER	true
start_pos_factions_long_description_2120157522	PLACEHOLDER	true
start_pos_factions_long_description_2120157921	PLACEHOLDER	true
start_pos_factions_long_description_2120157920	PLACEHOLDER	true
start_pos_factions_long_description_2120157927	PLACEHOLDER	true
start_pos_factions_long_description_2120157726	PLACEHOLDER	true
start_pos_factions_long_description_2120157826	PLACEHOLDER	true
start_pos_factions_long_description_2120157625	PLACEHOLDER	true
start_pos_factions_long_description_2120157528	PLACEHOLDER	true
start_pos_factions_description_2120157575	Once the greatest Anglo-Saxon kingdom in Britannia, Mierce has fallen on hard times. The glory days of Offa and Penda are long gone, and the Vikings have annexed much of Mierce's eastern territory while the Welsh threaten from the west. Mierce's recent rulers have been accused both of hiding behind the West Seaxe's skirts and of using Mierce's dwindling riches to appease the Vikings. Ceolwulf walks a difficult path, but pride still burns in his people’s hearts...	true
start_pos_factions_description_2120157775	PLACEHOLDER	true
start_pos_factions_description_2120157872	PLACEHOLDER	true
start_pos_factions_description_2120157678	PLACEHOLDER	true
start_pos_factions_description_2120157778	PLACEHOLDER	true
start_pos_factions_long_description_2120157513	PLACEHOLDER	true
start_pos_factions_long_description_2120157812	PLACEHOLDER	true
start_pos_factions_long_description_2120157912	PLACEHOLDER	true
start_pos_factions_long_description_2120157711	PLACEHOLDER	true
start_pos_factions_long_description_2120157614	PLACEHOLDER	true
start_pos_factions_long_description_2120157814	PLACEHOLDER	true
start_pos_factions_long_description_2120157719	PLACEHOLDER	true
start_pos_factions_long_description_2120157819	PLACEHOLDER	true
start_pos_factions_description_2120157647	PLACEHOLDER	true
start_pos_factions_description_2120157847	PLACEHOLDER	true
start_pos_factions_description_2120157947	PLACEHOLDER	true
start_pos_factions_description_2120157546	PLACEHOLDER	true
start_pos_factions_description_2120157744	2	true
start_pos_factions_description_2120157944	PLACEHOLDER	true
start_pos_factions_description_2120157842	PLACEHOLDER	true
start_pos_factions_description_2120157949	PLACEHOLDER	true
start_pos_factions_long_description_2120157503	PLACEHOLDER	true
start_pos_factions_long_description_2120157703	PLACEHOLDER	true
start_pos_factions_long_description_2120157602	PLACEHOLDER	true
start_pos_factions_long_description_2120157702	PLACEHOLDER	true
start_pos_factions_long_description_2120157807	PLACEHOLDER	true
start_pos_factions_long_description_2120157907	PLACEHOLDER	true
start_pos_factions_long_description_2120157905	PLACEHOLDER	true
start_pos_factions_long_description_2120157608	PLACEHOLDER	true
start_pos_factions_description_2120157957	PLACEHOLDER	true
start_pos_factions_description_2120157556	PLACEHOLDER	true
start_pos_factions_description_2120157555	PLACEHOLDER	true
start_pos_factions_description_2120157855	PLACEHOLDER	true
start_pos_factions_description_2120157751	PLACEHOLDER	true
start_pos_factions_description_2120157650	Strat Clut is a kingdom of the Old North, and while much of northern Britannia was ravaged by invaders or infighting, it has stood firm. Whether Run, Strat Clut's new king, can resist the Vikings remains to be seen. His father died in mysterious circumstances, and Run has been fighting a rear-guard action ever since raiders from Dyflin besieged his stronghold and carried off his family as hostages. However, they may have pushed him too far...	true
start_pos_factions_long_description_2120157872	PLACEHOLDER	true
start_pos_factions_long_description_2120157575	PLACEHOLDER	true
start_pos_factions_long_description_2120157775	PLACEHOLDER	true
start_pos_factions_long_description_2120157678	PLACEHOLDER	true
start_pos_factions_long_description_2120157778	PLACEHOLDER	true
start_pos_factions_description_2120157927	PLACEHOLDER	true
start_pos_factions_description_2120157726	PLACEHOLDER	true
start_pos_factions_description_2120157826	PLACEHOLDER	true
start_pos_factions_description_2120157625	PLACEHOLDER	true
start_pos_factions_description_2120157623	3	true
start_pos_factions_description_2120157522	PLACEHOLDER	true
start_pos_factions_description_2120157921	PLACEHOLDER	true
start_pos_factions_description_2120157920	PLACEHOLDER	true
start_pos_factions_description_2120157528	PLACEHOLDER	true
start_pos_factions_long_description_2120157663	PLACEHOLDER	true
start_pos_factions_long_description_2120157963	PLACEHOLDER	true
start_pos_factions_long_description_2120157862	PLACEHOLDER	true
start_pos_factions_long_description_2120157660	PLACEHOLDER	true
start_pos_factions_long_description_2120157760	PLACEHOLDER	true
start_pos_factions_long_description_2120157767	PLACEHOLDER	true
start_pos_factions_long_description_2120157867	PLACEHOLDER	true
start_pos_factions_long_description_2120157565	PLACEHOLDER	true
start_pos_factions_long_description_2120157864	PLACEHOLDER	true
start_pos_factions_long_description_2120157669	PLACEHOLDER	true
start_pos_factions_description_2120157937	PLACEHOLDER	true
start_pos_factions_description_2120157536	PLACEHOLDER	true
start_pos_factions_description_2120157535	Since killing Edmund, the last Anglian king, nearly a decade ago, the Vikings have made themselves at home in East Engle. Now Guthrum, not content with his eastern holdings, has ambitions to become the most powerful Viking warlord in English territory. As well as making considerable inroads into Mierce, and challenging the borders of Northanhymbra, he has raided as far as West Seaxe, even hitting Alfred in his capital in a surprise attack. Guthrum is a man to watch...	true
start_pos_factions_description_2120157735	5	true
start_pos_factions_description_2120157634	The Great Viking Army made their presence felt across the Anglo-Saxon kingdom of Northanhymbra, and now these lands are theirs, ruled from their capital at Jórvík. After Halfdan Ragnarsson over-reached himself and died in battle last year, Guthfrid took his place as ruler of Northanhymbra. Said to be a former slave, Guthfrid is overseeing increased integration between the Viking settlers and the native English. But he is still a Viking, and war is in his blood...	true
start_pos_factions_description_2120157834	PLACEHOLDER	true
start_pos_factions_description_2120157833	PLACEHOLDER	true
start_pos_factions_description_2120157732	PLACEHOLDER	true
start_pos_factions_description_2120157538	PLACEHOLDER	true
start_pos_factions_long_description_2120157751	PLACEHOLDER	true
start_pos_factions_long_description_2120157650	PLACEHOLDER	true
start_pos_factions_long_description_2120157957	PLACEHOLDER	true
start_pos_factions_long_description_2120157556	PLACEHOLDER	true
start_pos_factions_long_description_2120157555	PLACEHOLDER	true
start_pos_factions_long_description_2120157855	PLACEHOLDER	true
start_pos_factions_description_2120157807	PLACEHOLDER	true
start_pos_factions_description_2120157907	PLACEHOLDER	true
start_pos_factions_description_2120157905	PLACEHOLDER	true
start_pos_factions_description_2120157503	PLACEHOLDER	true
start_pos_factions_description_2120157703	The Vikings began staying on after their raids against Ireland about half a century ago. Dyflin, the settlement by the Black Pool, soon became the most important of their well-defended costal bases, or longphorts, housing the largest slave-market in Britannia. Before succeeding his father to rule Dyflin five years ago, Bardr had already proved himself in numerous raids and skirmishes – proof positive that those who cross the Vikings of Dyflin can expect no mercy...	true
start_pos_factions_description_2120157602	4	true
start_pos_factions_description_2120157702	PLACEHOLDER	true
start_pos_factions_description_2120157608	PLACEHOLDER	true
start_pos_factions_long_description_2120157842	PLACEHOLDER	true
start_pos_factions_long_description_2120157647	PLACEHOLDER	true
start_pos_factions_long_description_2120157847	PLACEHOLDER	true
start_pos_factions_long_description_2120157947	PLACEHOLDER	true
start_pos_factions_long_description_2120157546	PLACEHOLDER	true
start_pos_factions_long_description_2120157744	PLACEHOLDER	true
start_pos_factions_long_description_2120157944	PLACEHOLDER	true
start_pos_factions_long_description_2120157949	PLACEHOLDER	true
start_pos_factions_description_2120157614	The people of Gwined have some claim to the title of 'true Britons', having been driven to the far west by invaders who now call themselves ‘English’. Renowned both for their bardic arts and their skill with the longbow, the Welsh of Gwined thrived under the leadership of Rhodri Mawr. Rhodri kept Gwined largely free of Vikings and other invaders while expanding its borders. Now he is gone and his lands are divided. Can Anaraut live up to his father's legacy?	true
start_pos_factions_description_2120157814	PLACEHOLDER	true
start_pos_factions_description_2120157513	PLACEHOLDER	true
start_pos_factions_description_2120157812	PLACEHOLDER	true
start_pos_factions_description_2120157912	PLACEHOLDER	true
start_pos_factions_description_2120157711	PLACEHOLDER	true
start_pos_factions_description_2120157719	PLACEHOLDER	true
start_pos_factions_description_2120157819	PLACEHOLDER	true
