key	text	tooltip
#Loc PackedFile;1;text/db/start_pos_settlements.loc		
start_pos_settlements_onscreen_name_settlement:vik_reg_nas2130453139	Nás	true
start_pos_settlements_onscreen_name_settlement:vik_reg_guvan2130452850	Guvan	true
start_pos_settlements_onscreen_name_settlement:vik_reg_wyrcesuuyrthe2130452682	Wyrcesuuyrthe	true
start_pos_settlements_onscreen_name_settlement:vik_reg_ros2130453605	Ros	true
start_pos_settlements_onscreen_name_settlement:vik_reg_wigingamere2130453630	Wigingamere	true
start_pos_settlements_onscreen_name_settlement:vik_reg_wintanceaster2130452423	Wintanceaster	true
start_pos_settlements_onscreen_name_settlement:vik_reg_flichesburg2130453377	Flichesburg	true
start_pos_settlements_onscreen_name_settlement:vik_reg_wigracestre2130452579	Wigraceaster	true
start_pos_settlements_onscreen_name_settlement:vik_reg_tuaim2130453107	Tuaim	true
start_pos_settlements_onscreen_name_settlement:vik_reg_scireburnan2130453552	Scireburnan	true
start_pos_settlements_onscreen_name_settlement:vik_reg_lann_idloes2130453471	Lann Idloes	true
start_pos_settlements_onscreen_name_settlement:vik_reg_coldingaham2130453313	Coldingaham	true
start_pos_settlements_onscreen_name_settlement:vik_reg_lann_padarn2130452602	Lann Padarn	true
start_pos_settlements_onscreen_name_settlement:vik_reg_tuam_greine2130453621	Tuam Gréine	true
start_pos_settlements_onscreen_name_settlement:vik_reg_cissanbyrig2130452432	Cissanbyrig	true
start_pos_settlements_onscreen_name_settlement:vik_reg_dor2130452690	Dor	true
start_pos_settlements_onscreen_name_settlement:vik_reg_cenn_rigmonid2130452863	Cenn Rigmonid	true
start_pos_settlements_onscreen_name_settlement:vik_reg_ligeraceaster2130452668	Ligeraceaster	true
start_pos_settlements_onscreen_name_settlement:vik_reg_bathanceaster2130452412	Bathanceaster	true
start_pos_settlements_onscreen_name_settlement:vik_reg_dinas_powis2130453337	Dinas Powis	true
start_pos_settlements_onscreen_name_settlement:vik_reg_ferna2130453375	Ferna	true
start_pos_settlements_onscreen_name_settlement:vik_reg_snotingaham2130452678	Snotingaham	true
start_pos_settlements_onscreen_name_settlement:vik_reg_rath_cruachan2130453101	Ráth Cruachan	true
start_pos_settlements_onscreen_name_settlement:vik_reg_balla2130453102	Balla	true
start_pos_settlements_onscreen_name_settlement:vik_reg_tanet2130453600	Tanet	true
start_pos_settlements_onscreen_name_settlement:vik_reg_hagustaldes2130452780	Hagustaldes	true
start_pos_settlements_onscreen_name_settlement:vik_reg_rofeceaster2130452472	Rofeceaster	true
start_pos_settlements_onscreen_name_settlement:vik_reg_cluain_iraird2130453130	Cluain Iraird	true
start_pos_settlements_onscreen_name_settlement:vik_reg_gleann_da_loch2130453407	Gleann dá Loch	true
start_pos_settlements_onscreen_name_settlement:vik_reg_tamworthige2130453595	Tamworthige	true
start_pos_settlements_onscreen_name_settlement:vik_reg_haverfordia2130453418	Haverfordia	true
start_pos_settlements_onscreen_name_settlement:vik_reg_scoan2130452868	Scoan	true
start_pos_settlements_onscreen_name_settlement:vik_reg_doneceaster2130453338	Doneceaster	true
start_pos_settlements_onscreen_name_settlement:vik_reg_doreceaster2130452438	Doreceaster	true
start_pos_settlements_onscreen_name_settlement:vik_reg_mameceaster2130452737	Mameceaster	true
start_pos_settlements_onscreen_name_settlement:vik_reg_exanceaster2130452386	Exanceaster	true
start_pos_settlements_onscreen_name_settlement:vik_reg_imblech_ibair2130453182	Imblech Ibair	true
start_pos_settlements_onscreen_name_settlement:vik_reg_laewe2130452450	Laewe	true
start_pos_settlements_onscreen_name_settlement:vik_reg_sreth_belin2130452855	Sreth Belin	true
start_pos_settlements_onscreen_name_settlement:vik_reg_vedrafjordr2130453196	Vedrafjordr	true
start_pos_settlements_onscreen_name_settlement:vik_reg_cell_mor2130453078	Cell Mór	true
start_pos_settlements_onscreen_name_settlement:vik_reg_dacor2130452797	Dacor	true
start_pos_settlements_onscreen_name_settlement:vik_reg_grantabrycg2130452543	Grantabrycg	true
start_pos_settlements_onscreen_name_settlement:vik_reg_veisafjordr2130453148	Veisafjordr	true
start_pos_settlements_onscreen_name_settlement:vik_reg_rath_luraig2130453521	Ráth Luraig	true
start_pos_settlements_onscreen_name_settlement:vik_reg_linns2130453061	Linns	true
start_pos_settlements_onscreen_name_settlement:vik_reg_inis_cathaigh2130453437	Inis Cathaigh	true
start_pos_settlements_onscreen_name_settlement:vik_reg_sancte_albanes2130452492	Sancte Albanes	true
start_pos_settlements_onscreen_name_settlement:vik_reg_domuc2130452517	Domuc	true
start_pos_settlements_onscreen_name_settlement:vik_reg_northhamtun2130452573	Northhamtun	true
start_pos_settlements_onscreen_name_settlement:vik_reg_stornochway2130452949	Stornochway	true
start_pos_settlements_onscreen_name_settlement:vik_reg_cell_cainning2130453158	Cell Cainning	true
start_pos_settlements_onscreen_name_settlement:vik_reg_inis_faithlenn2130453208	Inis Faithlenn	true
start_pos_settlements_onscreen_name_settlement:vik_reg_cetretha2130452768	Cetretha	true
start_pos_settlements_onscreen_name_settlement:vik_reg_maeldune2130452497	Maeldune	true
start_pos_settlements_onscreen_name_settlement:vik_reg_alclyt2130453355	Alclyt	true
start_pos_settlements_onscreen_name_settlement:vik_reg_lunden2130452488	Lunden	true
start_pos_settlements_onscreen_name_settlement:vik_reg_blascona2130452946	Blascona	true
start_pos_settlements_onscreen_name_settlement:vik_reg_aberffro2130452623	Aberffro	true
start_pos_settlements_onscreen_name_settlement:vik_reg_dyflin2130453070	Dyflin	true
start_pos_settlements_onscreen_name_settlement:vik_reg_northwic2130452523	Northwic	true
start_pos_settlements_onscreen_name_settlement:vik_reg_dofere2130452463	Dofere	true
start_pos_settlements_onscreen_name_settlement:vik_reg_ard_fert2130453201	Ard Fert	true
start_pos_settlements_onscreen_name_settlement:vik_reg_hereford2130452580	Hereford	true
start_pos_settlements_onscreen_name_settlement:vik_reg_cathair_domnaill2130453210	Cathair Domnaill	true
start_pos_settlements_onscreen_name_settlement:vik_reg_alt_clut2130452843	Alt Clut	true
start_pos_settlements_onscreen_name_settlement:vik_reg_dun_foither2130452903	Dún Foither	true
start_pos_settlements_onscreen_name_settlement:vik_reg_cairlinn2130453267	Cairlinn	true
start_pos_settlements_onscreen_name_settlement:vik_reg_hripum2130452758	Hripum	true
start_pos_settlements_onscreen_name_settlement:vik_reg_waecet2130452390	Waecet	true
start_pos_settlements_onscreen_name_settlement:vik_reg_ardach2130453084	Ardach	true
start_pos_settlements_onscreen_name_settlement:vik_reg_wiltun2130453633	Wiltun	true
start_pos_settlements_onscreen_name_settlement:vik_reg_rinnin2130452911	Rinnin	true
start_pos_settlements_onscreen_name_settlement:vik_reg_caisil2130453178	Caisil	true
start_pos_settlements_onscreen_name_settlement:vik_reg_dun_patraic2130453022	Dún Pátraic	true
start_pos_settlements_onscreen_name_settlement:vik_reg_coinnire2130453307	Coinnire	true
start_pos_settlements_onscreen_name_settlement:vik_reg_cell_maic_aeda2130453451	Cell maic Áeda	true
start_pos_settlements_onscreen_name_settlement:vik_reg_ethandun2130453363	Ethandun	true
start_pos_settlements_onscreen_name_settlement:vik_reg_cnodba2130453066	Cnódba	true
start_pos_settlements_onscreen_name_settlement:vik_reg_sancte_eadmundes2130453541	Sancte Eadmundes	true
start_pos_settlements_onscreen_name_settlement:vik_reg_latharna2130453017	Latharna	true
start_pos_settlements_onscreen_name_settlement:vik_reg_druim_collachair2130453223	Druim Collachair	true
start_pos_settlements_onscreen_name_settlement:vik_reg_cenannas2130453123	Cenannas	true
start_pos_settlements_onscreen_name_settlement:vik_reg_basengas2130452430	Basengas	true
start_pos_settlements_onscreen_name_settlement:vik_reg_loidis2130452727	Loidis	true
start_pos_settlements_onscreen_name_settlement:vik_reg_gyruum2130452778	Gyruum	true
start_pos_settlements_onscreen_name_settlement:vik_reg_eofesham2130453370	Eofesham	true
start_pos_settlements_onscreen_name_settlement:vik_reg_tintagol2130452375	Tintagol	true
start_pos_settlements_onscreen_name_settlement:vik_reg_hlymrekr2130453186	Hlymrekr	true
start_pos_settlements_onscreen_name_settlement:vik_reg_thursa2130452940	Thursa	true
start_pos_settlements_onscreen_name_settlement:vik_reg_gipeswic2130452516	Gipeswic	true
start_pos_settlements_onscreen_name_settlement:vik_reg_eoferwic2130452722	Jorvik	true
start_pos_settlements_onscreen_name_settlement:vik_reg_din_prys2130452806	Din Prys	true
start_pos_settlements_onscreen_name_settlement:vik_reg_tilaburg2130453611	Tilaburg	true
start_pos_settlements_onscreen_name_settlement:vik_reg_werham2130452406	Werham	true
start_pos_settlements_onscreen_name_settlement:vik_reg_dun_cailden2130452887	Dún Cailden	true
start_pos_settlements_onscreen_name_settlement:vik_reg_torfness2130452929	Torfness	true
start_pos_settlements_onscreen_name_settlement:vik_reg_cluain2130453298	Cluain	true
start_pos_settlements_onscreen_name_settlement:vik_reg_earmutha2130453388	Earmutha	true
start_pos_settlements_onscreen_name_settlement:vik_reg_rudglann2130452634	Rudglann	true
start_pos_settlements_onscreen_name_settlement:vik_reg_stutfall2130453586	Stutfall	true
start_pos_settlements_onscreen_name_settlement:vik_reg_ebbesham2130452481	Ebbesham	true
start_pos_settlements_onscreen_name_settlement:vik_reg_forais2130453381	Forais	true
start_pos_settlements_onscreen_name_settlement:vik_reg_rocheberie2130453531	Rocheberie	true
start_pos_settlements_onscreen_name_settlement:vik_reg_casteltoun2130452807	Casteltoun	true
start_pos_settlements_onscreen_name_settlement:vik_reg_elig2130453369	Elig	true
start_pos_settlements_onscreen_name_settlement:vik_reg_dun_domnaill2130452820	Dùn Dómnaill	true
start_pos_settlements_onscreen_name_settlement:vik_reg_ros_cuissine2130452916	Ros Cuissine	true
start_pos_settlements_onscreen_name_settlement:vik_reg_aporcrosan2130452961	Aporcrosan	true
