building_chain	id
#building_chain_availability_sets_tables;0;db/building_chain_availability_sets_tables/building_chain_availability_sets	
att_abandoned	abandoned
att_Slum	slum
vik_abbey	vik_abbey
vik_benedictine_abbey	vik_benedictine
vik_celi_de_abbey	vik_celi_de
vik_achad_bo	vik_everyone
vik_alehouse	vik_everyone
vik_apple_ash	vik_everyone
vik_arena	vik_everyone
vik_artisans	vik_everyone
vik_assembly	vik_everyone
vik_bard	vik_everyone
vik_bullaun	vik_everyone
vik_church	vik_everyone
vik_church_crafts	vik_everyone
vik_cloth	vik_everyone
vik_copper	vik_everyone
vik_court_school	vik_everyone
vik_craft_merchant	vik_everyone
vik_embroiders	vik_everyone
vik_estate	vik_everyone
vik_farm	vik_everyone
vik_fishing	vik_everyone
vik_fogou	vik_everyone
vik_forge	vik_everyone
vik_garrison	vik_everyone
vik_gold	vik_everyone
vik_great_hall	vik_everyone
vik_grianan_ailech	vik_everyone
vik_guildhall	vik_everyone
vik_herring_port	vik_everyone
vik_hunting	vik_everyone
vik_iron	vik_everyone
vik_konungsgurtha	vik_everyone
vik_lead	vik_everyone
vik_library	vik_everyone
vik_longphort	vik_everyone
vik_market	vik_everyone
vik_market_fair	vik_everyone
vik_martyrs_mint	vik_everyone
vik_master_forge	vik_everyone
vik_merchant	vik_everyone
vik_mill	vik_everyone
vik_mint	vik_everyone
vik_monastery	vik_everyone
vik_mountain_hall	vik_everyone
vik_nunnaminster	vik_everyone
vik_offas_hall	vik_everyone
vik_orchard	vik_everyone
vik_pasture	vik_everyone
vik_port	vik_everyone
vik_pottery	vik_everyone
vik_rock_caisil	vik_everyone
vik_round_tower	vik_everyone
vik_runestone	vik_everyone
vik_salt	vik_everyone
vik_school_ros	vik_everyone
vik_scoan_abbey	vik_everyone
vik_scribes	vik_everyone
vik_sculptors	vik_everyone
vik_silver	vik_everyone
vik_st_brigit	vik_everyone
vik_st_ciaran	vik_everyone
vik_st_columbe	vik_everyone
vik_st_cuthbert	vik_everyone
vik_st_dewi	vik_everyone
vik_st_edmund	vik_everyone
vik_st_patraic	vik_everyone
vik_st_ringan	vik_everyone
vik_st_swithun	vik_everyone
vik_tanner	vik_everyone
vik_textiles	vik_everyone
vik_tin	vik_everyone
vik_tithe_hall	vik_everyone
vik_tools	vik_everyone
vik_trade	vik_everyone
vik_trade_port	vik_everyone
vik_viking_port	vik_viking
vik_warehouse	vik_everyone
vik_wax	vik_everyone
vik_wood	vik_everyone
vik_workshop	vik_everyone
vik_granary	vik_granary
vik_high_cross	vik_high_cross
vik_court	vik_law
vik_moot_hill	vik_moot
vik_souterrain	vik_souterrain
vik_thing	vik_thing
vik_thrall	vik_thralls
vik_archery	vik_everyone
vik_athletics	vik_high_cross
vik_hof	vik_thing
vik_oxford	vik_everyone
vik_island_monastery	vik_everyone
vik_borough	vik_everyone
vik_foreigners	vik_everyone
