key	tech_category_tab	tech_category_position	chain_category	in_encyclopedia	building_superchain	colour_hex
#building_chains_tables;3;db/building_chains_tables/building_chains						
att_Slum			slum	false	rom_Slum	000000
att_abandoned			abandoned	false	att_abandoned	000000
vik_abbey			church	true	vik_abbey	352D3B
vik_achad_bo			church	true	vik_achad_bo	352D3B
vik_alehouse			market	true	vik_alehouse	D47523
vik_apple_ash			food	true	vik_apple_ash	21391E
vik_arena			hall	true	vik_arena	430F0F
vik_artisans			industry	true	vik_artisans	202020
vik_assembly			hall	true	vik_assembly	430F0F
vik_bard			hall	true	vik_bard	430F0F
vik_benedictine_abbey			church	true	vik_abbey	352D3B
vik_bullaun			church	true	vik_bullaun	352D3B
vik_celi_de_abbey			church	true	vik_abbey	352D3B
vik_church			church	true	vik_church	352D3B
vik_church_crafts			church	true	vik_church_crafts	352D3B
vik_cloth			market	true	vik_cloth	D47523
vik_copper			industry	true	vik_copper	202020
vik_court			hall	true	vik_moot_hill	430F0F
vik_court_school			hall	true	vik_court_school	430F0F
vik_craft_merchant			industry	true	vik_craft_merchant	202020
vik_embroiders			church	true	vik_embroiders	352D3B
vik_estate			hall	true	vik_estate	21391E
vik_farm			food	true	vik_farm	21391E
vik_fishing			food	true	vik_fishing	21391E
vik_fogou			food	true	vik_fogou	21391E
vik_forge			industry	true	vik_forge	430F0F
vik_garrison			hall	true	vik_garrison	430F0F
vik_gold			industry	true	vik_gold	202020
vik_granary			food	true	vik_granary	21391E
vik_great_hall			hall	true	vik_great_hall	430F0F
vik_grianan_ailech			hall	true	vik_grianan_ailech	430F0F
vik_guildhall			market	true	vik_guildhall	D47523
vik_herring_port			market	true	vik_herring_port	D47523
vik_high_cross			church	true	vik_high_cross	352D3B
vik_hunting			food	true	vik_hunting	21391E
vik_iron			industry	true	vik_iron	202020
vik_konungsgurtha			hall	true	vik_konungsgurtha	430F0F
vik_lead			church	true	vik_lead	352D3B
vik_library			church	true	vik_library	352D3B
vik_longphort			hall	true	vik_longphort	430F0F
vik_market			market	true	vik_market	D47523
vik_market_fair			market	true	vik_market_fair	D47523
vik_martyrs_mint			market	true	vik_martyrs_mint	D47523
vik_master_forge			industry	true	vik_master_forge	430F0F
vik_merchant			market	true	vik_merchant	D47523
vik_mill			food	true	vik_mill	21391E
vik_mint			market	true	vik_mint	D47523
vik_monastery			church	true	vik_monastery	352D3B
vik_moot_hill			hall	true	vik_moot_hill	430F0F
vik_mountain_hall			hall	true	vik_mountain_hall	430F0F
vik_nunnaminster			church	true	vik_nunnaminster	352D3B
vik_offas_hall			hall	true	vik_offas_hall	430F0F
vik_orchard			food	true	vik_orchard	21391E
vik_pasture			food	true	vik_pasture	21391E
vik_port			food	true	vik_port	21391E
vik_pottery			market	true	vik_pottery	D47523
vik_rock_caisil			hall	true	vik_rock_caisil	430F0F
vik_round_tower			church	true	vik_round_tower	352D3B
vik_runestone			industry	true	vik_runestone	202020
vik_salt			market	true	vik_salt	D47523
vik_school_ros			church	true	vik_school_ros	352D3B
vik_scoan_abbey			church	true	vik_scoan_abbey	352D3B
vik_scribes			church	true	vik_scribes	352D3B
vik_sculptors			industry	true	vik_sculptors	202020
vik_silver			industry	true	vik_silver	202020
vik_souterrain			food	true	vik_granary	21391E
vik_st_brigit			church	true	vik_st_brigit	352D3B
vik_st_ciaran			church	true	vik_st_ciaran	352D3B
vik_st_columbe			church	true	vik_st_columbe	352D3B
vik_st_cuthbert			church	true	vik_st_cuthbert	352D3B
vik_st_dewi			church	true	vik_st_dewi	352D3B
vik_st_edmund			church	true	vik_st_edmund	352D3B
vik_st_patraic			church	true	vik_st_patraic	352D3B
vik_st_ringan			church	true	vik_st_ringan	352D3B
vik_st_swithun			church	true	vik_st_swithun	352D3B
vik_tanner			market	true	vik_tanner	D47523
vik_textiles			market	true	vik_textiles	D47523
vik_thing			hall	true	vik_moot_hill	430F0F
vik_thrall			market	true	vik_thrall	D47523
vik_tin			industry	true	vik_tin	202020
vik_tithe_hall			church	true	vik_tithe_hall	D47523
vik_tools			industry	true	vik_tools	202020
vik_trade			market	true	vik_trade	D47523
vik_trade_port			market	true	vik_trade_port	D47523
vik_viking_port			hall	true	vik_port	430F0F
vik_warehouse			market	true	vik_warehouse	D47523
vik_wax			church	true	vik_wax	352D3B
vik_wood			industry	true	vik_wood	202020
vik_workshop			industry	true	vik_workshop	202020
vik_hof			church	true	vik_hof	352D3B
vik_archery			hall	true	vik_archery	430F0F
vik_athletics			hall	true	vik_athletics	430F0F
vik_oxford			hall	true	vik_oxford	02576B
vik_island_monastery			church	true	vik_island_monastery	352D3B
vik_borough			market	true	vik_borough	D47523
vik_foreigners			market	true	vik_foreigners	D47523
