building	culture	subculture	faction	battlefield_building	artpiece	artpiece_animated	description	icon	disables	short_description	flavour	display_tooltip
#building_culture_variants_tables;3;db/building_culture_variants_tables/building_culture_variants												
att_abandoned_0	vik_cult				campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_settlement_ruin	false	att_bld_all_ruins		true
att_slum_0	vik_cult				campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_barbarian_minor_slum	false	twr2_rome_rome_Slums_short	tw2_rome_rome_Slums_flavour	true
vik_abbey_1					campaign_sho_castle_1_fort		vik_church_long	vik_abbey	false	vik_abbey_1_short	rom_PLACEHOLDER	true
vik_abbey_2					campaign_sho_castle_1_fort		vik_church_long	vik_abbey	false	vik_abbey_2_short	rom_PLACEHOLDER	true
vik_abbey_3					campaign_sho_castle_1_fort		vik_church_long	vik_abbey	true	vik_abbey_3_short	rom_PLACEHOLDER	true
vik_abbey_4					campaign_sho_castle_1_fort		vik_church_long	vik_abbey	true	vik_abbey_4_short	rom_PLACEHOLDER	true
vik_abbey_5					campaign_sho_castle_1_fort		vik_church_long	vik_abbey	true	vik_abbey_5_short	rom_PLACEHOLDER	true
vik_abbey_b_2					campaign_sho_castle_1_fort		vik_church_long	vik_abbey_patch	false	vik_abbey_b_2	rom_PLACEHOLDER	true
vik_abbey_b_3					campaign_sho_castle_1_fort		vik_church_long	vik_abbey_patch	true	vik_abbey_b_3	rom_PLACEHOLDER	true
vik_abbey_b_4					campaign_sho_castle_1_fort		vik_church_long	vik_abbey_patch	true	vik_abbey_b_4	rom_PLACEHOLDER	true
vik_abbey_b_5					campaign_sho_castle_1_fort		vik_church_long	vik_abbey_patch	true	vik_abbey_b_5	rom_PLACEHOLDER	true
vik_achad_bo_1					campaign_sho_castle_1_fort		vik_achadh_bo_long	vik_st_cainnech	false	vik_achadh_bo_1_short	rom_PLACEHOLDER	true
vik_achad_bo_2					campaign_sho_castle_1_fort		vik_achadh_bo_long	vik_st_cainnech	false	vik_achadh_bo_2_short	rom_PLACEHOLDER	true
vik_achad_bo_3					campaign_sho_castle_1_fort		vik_achadh_bo_long	vik_st_cainnech	false	vik_achadh_bo_3_short	rom_PLACEHOLDER	true
vik_achad_bo_4					campaign_sho_castle_1_fort		vik_achadh_bo_long	vik_st_cainnech	false	vik_achadh_bo_4_short	rom_PLACEHOLDER	true
vik_achad_bo_5					campaign_sho_castle_1_fort		vik_achadh_bo_long	vik_st_cainnech	false	vik_achadh_bo_5_short	rom_PLACEHOLDER	true
