building	effect	effect_scope	value	value_damaged	value_ruined
#building_effects_junction_tables;3;db/building_effects_junction_tables/building_effect_church					
vik_library_1	vik_fame	faction_to_faction_own_unseen	10.0	10.0	0.0
vik_library_1	vik_tech_points	faction_to_faction_own	15.0	15.0	0.0
vik_library_2	vik_fame	faction_to_faction_own_unseen	20.0	20.0	0.0
vik_library_2	vik_tech_points	faction_to_faction_own	30.0	30.0	0.0
vik_library_3	vik_fame	faction_to_faction_own_unseen	30.0	30.0	0.0
vik_library_3	vik_tech_points	faction_to_faction_own	75.0	75.0	0.0
vik_round_tower_1	vik_allegiance	province_to_region_own	1.0	1.0	0.0
vik_round_tower_1	vik_campaign_movement	province_to_army_own	10.0	0.0	0.0
vik_round_tower_1	vik_public_order_new_positive_buildings	province_to_region_own	1.0	1.0	0.0
vik_round_tower_2	vik_allegiance	province_to_region_own	1.0	1.0	0.0
vik_round_tower_2	vik_campaign_movement	province_to_army_own	15.0	0.0	0.0
vik_round_tower_2	vik_public_order_new_positive_buildings	province_to_region_own	2.0	2.0	0.0
vik_round_tower_3	vik_allegiance	faction_to_faction_own_unseen	2.0	2.0	0.0
vik_round_tower_3	vik_campaign_movement	province_to_army_own	20.0	0.0	0.0
vik_round_tower_3	vik_fame	faction_to_faction_own_unseen	10.0	10.0	0.0
vik_round_tower_3	vik_public_order_new_positive_buildings	province_to_region_own	2.0	2.0	0.0
vik_scribes_1	vik_building_corruption	province_to_province_own	-10.0	0.0	0.0
vik_scribes_2	vik_building_corruption	province_to_province_own	-10.0	0.0	0.0
vik_scribes_3	vik_building_corruption	province_to_province_own	-15.0	0.0	0.0
vik_bullaun_1	vik_public_order_new_positive_buildings	faction_to_region_own	1.0	1.0	0.0
vik_bullaun_1	vik_construction_cost_mod	faction_to_region_own	10.0	10.0	0.0
vik_bullaun_2	vik_public_order_new_positive_buildings	faction_to_region_own	2.0	2.0	0.0
vik_bullaun_2	vik_fame	faction_to_faction_own_unseen	5.0	10.0	0.0
vik_bullaun_2	vik_construction_cost_mod	faction_to_region_own	15.0	15.0	0.0
vik_bullaun_3	vik_fame	faction_to_faction_own_unseen	20.0	10.0	0.0
vik_bullaun_3	vik_public_order_new_positive_buildings	faction_to_region_own	3.0	3.0	0.0
vik_bullaun_3	vik_construction_cost_mod	faction_to_region_own	20.0	20.0	0.0
vik_lead_1	shieldwall_has_variable_income_church	building_to_building_own	1.0	1.0	0.0
vik_lead_1	vik_construction_cost_church	province_to_regions_own_in_adjacent_province	-10.0	-10.0	0.0
vik_lead_1	vik_construction_cost_church_hidden	region_to_region_own_provincewide	-10.0	-10.0	0.0
vik_lead_2	shieldwall_has_variable_income_church	building_to_building_own	1.0	1.0	0.0
vik_lead_2	vik_construction_cost_church	province_to_regions_own_in_adjacent_province	-20.0	-20.0	0.0
vik_lead_2	vik_construction_cost_church_hidden	region_to_region_own_provincewide	-20.0	-20.0	0.0
vik_lead_3	shieldwall_has_variable_income_church	building_to_building_own	1.0	1.0	0.0
vik_lead_3	vik_construction_cost_church	province_to_regions_own_in_adjacent_province	-30.0	-30.0	0.0
vik_lead_3	vik_construction_cost_church_hidden	region_to_region_own_provincewide	-30.0	-30.0	0.0
vik_church_crafts_1	vik_tech_points	faction_to_faction_own	-4.0	-4.0	0.0
vik_church_crafts_2	vik_tech_points	faction_to_faction_own	-8.0	-8.0	0.0
vik_church_crafts_3	vik_tech_points	faction_to_faction_own	-12.0	-12.0	0.0
vik_wax_1	vik_public_order_new_positive_buildings	province_to_region_own	1.0	0.0	0.0
vik_wax_2	vik_public_order_new_positive_buildings	province_to_region_own	1.0	0.0	0.0
vik_wax_3	vik_public_order_new_positive_buildings	province_to_region_own	1.0	0.0	0.0
vik_tithe_hall_1	vik_public_order_new_negative_buildings	province_to_region_own	2.0	1.0	0.0
