building	effect	effect_scope	value	value_damaged	value_ruined
#building_effects_junction_tables;3;db/building_effects_junction_tables/building_effects_industrial					
vik_workshop_1	shieldwall_has_variable_income_iron	building_to_building_own	1.0	1.0	0.0
vik_workshop_1	vik_public_order_new_negative_buildings	province_to_region_own	1.0	1.0	0.0
vik_workshop_1	shield_resource_steel_production	province_to_region_own	2.0	2.0	0.0
vik_workshop_2	shieldwall_has_variable_income_iron	building_to_building_own	1.0	1.0	0.0
vik_workshop_2	vik_public_order_new_negative_buildings	province_to_region_own	1.0	1.0	0.0
vik_workshop_2	shield_resource_steel_production	province_to_region_own	4.0	4.0	0.0
vik_workshop_3	shieldwall_has_variable_income_iron	building_to_building_own	1.0	1.0	0.0
vik_workshop_3	vik_public_order_new_negative_buildings	province_to_region_own	2.0	1.0	0.0
vik_workshop_3	shield_resource_steel_production	province_to_region_own	6.0	6.0	0.0
vik_forge_1	vik_unit_recruitment_cost_land	region_to_force_own_provincewide	-35.0	-35.0	0.0
vik_forge_2	vik_weapon_bronze	province_to_province_own	6.0	1.0	0.0
vik_forge_2	vik_armour_bronze	province_to_province_own	6.0	1.0	0.0
vik_forge_2	vik_unit_recruitment_cost_land	region_to_force_own_provincewide	-35.0	-35.0	0.0
vik_forge_3	vik_armour_silver	province_to_province_own	12.0	1.0	0.0
vik_forge_3	vik_weapon_silver	province_to_province_own	12.0	1.0	0.0
vik_forge_3	vik_unit_recruitment_cost_land	region_to_force_own_provincewide	-35.0	-35.0	0.0
vik_tools_1	shield_gdp_industry	building_to_building_own	50.0	5.0	0.0
vik_tools_2	shield_gdp_industry	building_to_building_own	100.0	8.0	0.0
vik_tools_3	shield_gdp_industry	building_to_building_own	150.0	10.0	0.0
vik_craft_merchant_1	shield_resource_jewellery_production	province_to_region_own	2.0	2.0	0.0
vik_craft_merchant_2	shield_resource_jewellery_production	province_to_region_own	4.0	4.0	0.0
vik_craft_merchant_b_2	vik_public_order_new_negative_buildings	province_to_region_own	2.0	1.0	0.0
vik_craft_merchant_3	shield_resource_jewellery_production	province_to_region_own	6.0	6.0	0.0
vik_craft_merchant_b_3	vik_public_order_new_negative_buildings	province_to_region_own	2.0	1.0	0.0
vik_artisans_1	shieldwall_has_variable_income_gold_silver	building_to_building_own	1.0	1.0	0.0
vik_artisans_1	shield_resource_jewellery_production	region_to_region_own	4.0	4.0	0.0
vik_artisans_2	shieldwall_has_variable_income_gold_silver	building_to_building_own	1.0	1.0	0.0
vik_artisans_2	shield_resource_jewellery_production	region_to_region_own	8.0	8.0	0.0
vik_artisans_3	shieldwall_has_variable_income_gold_silver	building_to_building_own	1.0	1.0	0.0
vik_artisans_3	shield_resource_jewellery_production	region_to_region_own	12.0	12.0	0.0
vik_textiles_1	shieldwall_has_variable_income_cloth	building_to_building_own	1.0	1.0	0.0
vik_textiles_1	shield_resource_textiles_production	region_to_region_own	2.0	2.0	0.0
vik_textiles_2	shieldwall_has_variable_income_cloth	building_to_building_own	1.0	1.0	0.0
vik_textiles_2	shield_resource_textiles_production	region_to_region_own	4.0	4.0	0.0
vik_textiles_3	shieldwall_has_variable_income_cloth	building_to_building_own	1.0	1.0	0.0
vik_textiles_3	shield_resource_textiles_production	region_to_region_own	6.0	6.0	0.0
vik_runestone_1	vik_fame	faction_to_faction_own_unseen	10.0	5.0	0.0
vik_runestone_1	vik_gdp_industry	building_to_building_own	40.0	20.0	0.0
vik_runestone_1	vik_public_order_new_positive_buildings	province_to_region_own	2.0	1.0	0.0
vik_runestone_2	vik_fame	faction_to_faction_own_unseen	20.0	10.0	0.0
vik_runestone_2	vik_gdp_industry	building_to_building_own	70.0	35.0	0.0
vik_runestone_2	vik_public_order_new_positive_buildings	province_to_region_own	4.0	2.0	0.0
vik_runestone_3	vik_fame	faction_to_faction_own_unseen	30.0	15.0	0.0
vik_runestone_3	vik_gdp_industry	building_to_building_own	100.0	50.0	0.0
vik_runestone_3	vik_public_order_new_positive_buildings	province_to_region_own	6.0	3.0	0.0
vik_sculptors_1	vik_fame	faction_to_faction_own_unseen	5.0	2.0	0.0
vik_sculptors_1	vik_gdp_industry	building_to_building_own	50.0	25.0	0.0
vik_sculptors_1	vik_public_order_new_positive_buildings	province_to_region_own	2.0	1.0	0.0
vik_sculptors_2	vik_fame	faction_to_faction_own_unseen	10.0	5.0	0.0
vik_sculptors_2	vik_gdp_industry	building_to_building_own	75.0	35.0	0.0
vik_sculptors_2	vik_public_order_new_positive_buildings	province_to_region_own	4.0	2.0	0.0
vik_sculptors_3	vik_fame	faction_to_faction_own_unseen	15.0	7.0	0.0
vik_sculptors_3	vik_gdp_industry	building_to_building_own	110.0	55.0	0.0
vik_sculptors_3	vik_public_order_new_positive_buildings	province_to_region_own	6.0	3.0	0.0
vik_master_forge_1	vik_armour_bronze	province_to_province_own	6.0	0.0	0.0
vik_master_forge_1	vik_fame	faction_to_faction_own_unseen	10.0	5.0	0.0
vik_master_forge_1	vik_gdp_mod_industry	province_to_region_own	10.0	5.0	0.0
vik_master_forge_1	vik_weapon_bronze	province_to_province_own	6.0	0.0	0.0
vik_master_forge_2	vik_armour_silver	province_to_province_own	12.0	0.0	0.0
vik_master_forge_2	vik_fame	faction_to_faction_own_unseen	20.0	10.0	0.0
vik_master_forge_2	vik_gdp_mod_industry	province_to_region_own	15.0	7.0	0.0
vik_master_forge_2	vik_weapon_silver	province_to_province_own	12.0	0.0	0.0
vik_master_forge_3	vik_armour_gold	province_to_province_own	18.0	0.0	0.0
vik_master_forge_3	vik_fame	faction_to_faction_own_unseen	30.0	15.0	0.0
vik_master_forge_3	vik_gdp_mod_industry	province_to_region_own	20.0	10.0	0.0
vik_master_forge_3	vik_weapon_gold	province_to_province_own	18.0	0.0	0.0
vik_wood_b_2	vik_construction_cost_mod	region_to_region_own_provincewide	-20.0	-10.0	0.0
vik_wood_1	vik_construction_cost_mod	region_to_region_own_provincewide	-10.0	0.0	0.0
vik_wood_b_3	vik_construction_cost_mod	region_to_region_own_provincewide	-30.0	-15.0	0.0
vik_wood_2	vik_construction_cost_mod	region_to_region_own_provincewide	-10.0	0.0	0.0
vik_wood_3	vik_construction_cost_mod	region_to_region_own_provincewide	-10.0	0.0	0.0
vik_wood_1	vik_ammo_bronze	province_to_province_own	5.0	5.0	0.0
vik_wood_b_2	vik_ammo_bronze	province_to_province_own	5.0	5.0	0.0
vik_wood_b_3	vik_ammo_bronze	province_to_province_own	5.0	5.0	0.0
vik_wood_2	vik_ammo_silver	province_to_province_own	10.0	10.0	0.0
vik_wood_3	vik_ammo_gold	province_to_province_own	20.0	20.0	0.0
vik_wood_2	sw_pools_bows_increase	faction_to_faction_own_unseen	1.0	1.0	0.0
vik_wood_3	sw_pools_bows_increase	faction_to_faction_own_unseen	2.0	2.0	0.0
vik_craft_merchant_1	shieldwall_has_variable_income_copper_tin	building_to_building_own	1.0	1.0	0.0
vik_craft_merchant_2	shieldwall_has_variable_income_copper_tin	building_to_building_own	1.0	1.0	0.0
vik_craft_merchant_3	shieldwall_has_variable_income_copper_tin	building_to_building_own	1.0	1.0	0.0
