building	effect	effect_scope	value	value_damaged	value_ruined
#building_effects_junction_tables;3;db/building_effects_junction_tables/food_production					
vik_farm_1	vik_food_buildings	region_to_region_own	10.0	5.0	0.0
vik_farm_b_2	vik_food_buildings	region_to_region_own	10.0	5.0	0.0
vik_farm_b_3	vik_food_buildings	region_to_region_own	10.0	5.0	0.0
vik_farm_2	vik_food_buildings	region_to_region_own	15.0	7.0	0.0
vik_farm_3	vik_food_buildings	region_to_region_own	20.0	10.0	0.0
vik_hunting_1	vik_food_buildings	region_to_region_own	5.0	2.0	0.0
vik_hunting_b_2	vik_food_buildings	region_to_region_own	5.0	2.0	0.0
vik_hunting_b_3	vik_food_buildings	region_to_region_own	5.0	2.0	0.0
vik_hunting_2	vik_food_buildings	region_to_region_own	10.0	5.0	0.0
vik_hunting_3	vik_food_buildings	region_to_region_own	15.0	7.0	0.0
vik_orchard_1	vik_food_buildings	region_to_region_own	5.0	2.0	0.0
vik_orchard_b_2	vik_food_buildings	region_to_region_own	5.0	2.0	0.0
vik_orchard_b_3	vik_food_buildings	region_to_region_own	5.0	2.0	0.0
vik_orchard_2	vik_food_buildings	region_to_region_own	10.0	5.0	0.0
vik_orchard_3	vik_food_buildings	region_to_region_own	15.0	7.0	0.0
vik_pasture_1	vik_food_buildings	region_to_region_own	10.0	5.0	0.0
vik_pasture_b_2	vik_food_buildings	region_to_region_own	10.0	5.0	0.0
vik_pasture_b_3	vik_food_buildings	region_to_region_own	10.0	5.0	0.0
vik_pasture_2	vik_food_buildings	region_to_region_own	15.0	7.0	0.0
vik_pasture_3	vik_food_buildings	region_to_region_own	20.0	10.0	0.0
vik_wax_2	vik_food_buildings	region_to_region_own	5.0	2.0	0.0
vik_wax_3	vik_food_buildings	region_to_region_own	10.0	5.0	0.0
vik_port_fish_1	vik_food_buildings	region_to_region_own	10.0	5.0	0.0
vik_port_fish_2	vik_food_buildings	region_to_region_own	15.0	7.0	0.0
vik_port_fish_3	vik_food_buildings	region_to_region_own	20.0	10.0	0.0
vik_port_herring_1	vik_food_buildings	region_to_region_own	5.0	2.0	0.0
vik_port_herring_2	vik_food_buildings	region_to_region_own	10.0	5.0	0.0
vik_port_herring_3	vik_food_buildings	region_to_region_own	15.0	7.0	0.0
vik_fishing_1	vik_food_buildings	region_to_region_own	5.0	2.0	0.0
vik_fishing_b_2	vik_food_buildings	region_to_region_own	5.0	2.0	0.0
vik_fishing_b_3	vik_food_buildings	region_to_region_own	5.0	2.0	0.0
vik_fishing_2	vik_food_buildings	region_to_region_own	10.0	5.0	0.0
vik_fishing_3	vik_food_buildings	region_to_region_own	15.0	7.0	0.0
vik_apple_ash_1	vik_food_buildings	region_to_region_own	5.0	2.0	0.0
vik_apple_ash_2	vik_food_buildings	region_to_region_own	10.0	5.0	0.0
vik_apple_ash_3	vik_food_buildings	region_to_region_own	15.0	7.0	0.0
vik_fogou_1	vik_food_buildings	region_to_region_own	5.0	2.0	0.0
vik_fogou_2	vik_food_buildings	region_to_region_own	10.0	5.0	0.0
vik_fogou_3	vik_food_buildings	region_to_region_own	15.0	7.0	0.0
vik_trade_1	vik_food_buildings	region_to_region_own	15.0	7.0	0.0
vik_trade_2	vik_food_buildings	region_to_region_own	30.0	15.0	0.0
vik_trade_3	vik_food_buildings	region_to_region_own	40.0	20.0	0.0
vik_salt_1	vik_food_buildings	province_to_regions_own_in_adjacent_province	2.0	1.0	0.0
vik_salt_2	vik_food_buildings	province_to_regions_own_in_adjacent_province	4.0	2.0	0.0
vik_salt_b_2	vik_food_buildings	province_to_regions_own_in_adjacent_province	3.0	1.0	0.0
vik_salt_b_3	vik_food_buildings	province_to_regions_own_in_adjacent_province	4.0	2.0	0.0
vik_salt_3	vik_food_buildings	province_to_regions_own_in_adjacent_province	6.0	3.0	0.0
vik_konungsgurtha_1	sw_food_per_vassal	faction_to_faction_own_unseen	10.0	5.0	0.0
vik_konungsgurtha_2	sw_food_per_vassal	faction_to_faction_own_unseen	10.0	5.0	0.0
vik_konungsgurtha_3	sw_food_per_vassal	faction_to_faction_own_unseen	10.0	5.0	0.0
