building	effect	effect_scope	value	value_damaged	value_ruined
#building_effects_junction_tables;3;db/building_effects_junction_tables/food_storage_caps					
vik_granary_1	shield_food_storage_building	building_to_building_own	40.0	10.0	0.0
vik_granary_2	shield_food_storage_building	building_to_building_own	80.0	20.0	0.0
vik_souterrain_1	shield_food_storage_building	building_to_building_own	50.0	10.0	0.0
vik_souterrain_2	shield_food_storage_building	building_to_building_own	75.0	20.0	0.0
vik_warehouse_1	shield_food_storage_building	building_to_building_own	25.0	10.0	0.0
vik_warehouse_2	shield_food_storage_building	building_to_building_own	50.0	20.0	0.0
vik_warehouse_3	shield_food_storage_building	building_to_building_own	75.0	40.0	0.0
vik_fogou_1	shield_food_storage_building	building_to_building_own	50.0	10.0	0.0
vik_fogou_2	shield_food_storage_building	building_to_building_own	75.0	20.0	0.0
vik_fogou_3	shield_food_storage_building	building_to_building_own	100.0	30.0	0.0
vik_hof_1	hof_event_blessing	building_to_building_own	1.0	1.0	0.0
vik_hof_2	hof_event_blessing	building_to_building_own	1.0	1.0	0.0
vik_archery_1	archery_event_training	building_to_building_own	1.0	1.0	0.0
vik_archery_2	archery_event_training	building_to_building_own	1.0	1.0	0.0
vik_athletics_1	athletics_event_training	building_to_building_own	1.0	1.0	0.0
vik_athletics_2	athletics_event_training	building_to_building_own	1.0	1.0	0.0
vik_forge_1	smith_event_training	building_to_building_own	1.0	1.0	0.0
vik_moot_hill_1	court_event_tensions	building_to_building_own	1.0	1.0	0.0
vik_moot_hill_2	court_event_tensions	building_to_building_own	1.0	1.0	0.0
vik_moot_hill_3	court_event_tensions	building_to_building_own	1.0	1.0	0.0
vik_merchant_1	merchant_event_scams	building_to_building_own	1.0	1.0	0.0
vik_merchant_2	merchant_event_scams	building_to_building_own	1.0	1.0	0.0
vik_merchant_3	merchant_event_scams	building_to_building_own	1.0	1.0	0.0
vik_church_1	church_event_conversion	building_to_building_own	1.0	1.0	0.0
vik_church_2	church_event_conversion	building_to_building_own	1.0	1.0	0.0
vik_church_3	church_event_conversion	building_to_building_own	1.0	1.0	0.0
vik_garrison_2	garrison_event_drills	building_to_building_own	1.0	1.0	0.0
vik_arena_1	garrison_event_sparing	building_to_building_own	1.0	1.0	0.0
vik_arena_2	garrison_event_sparing	building_to_building_own	1.0	1.0	0.0
vik_arena_3	garrison_event_sparing	building_to_building_own	1.0	1.0	0.0
vik_forge_2	smith_event_training	building_to_building_own	1.0	1.0	0.0
vik_forge_3	smith_event_training	building_to_building_own	1.0	1.0	0.0
vik_court_1	court_event_tensions	building_to_building_own	1.0	1.0	0.0
vik_court_2	court_event_tensions	building_to_building_own	1.0	1.0	0.0
vik_court_3	court_event_tensions	building_to_building_own	1.0	1.0	0.0
