building	effect	effect_scope	value	value_damaged	value_ruined
#building_effects_junction_tables;3;db/building_effects_junction_tables/lord_capacity					
vik_apple_ash_1	shield_scripted_pop_cap_lord	region_to_region_own	40.0	40.0	0.0
vik_apple_ash_2	shield_scripted_pop_cap_lord	region_to_region_own	80.0	80.0	0.0
vik_apple_ash_3	shield_scripted_pop_cap_lord	region_to_region_own	120.0	120.0	0.0
vik_estate_1	shield_scripted_pop_cap_lord	region_to_region_own	40.0	40.0	0.0
vik_estate_2	shield_scripted_pop_cap_lord	region_to_region_own	80.0	80.0	0.0
vik_estate_3	shield_scripted_pop_cap_lord	region_to_region_own	120.0	120.0	0.0
vik_farm_b_2	shield_scripted_pop_cap_lord	region_to_region_own	40.0	40.0	0.0
vik_farm_b_3	shield_scripted_pop_cap_lord	region_to_region_own	60.0	60.0	0.0
vik_hunting_b_2	shield_scripted_pop_cap_lord	region_to_region_own	20.0	20.0	0.0
vik_hunting_b_3	shield_scripted_pop_cap_lord	region_to_region_own	40.0	40.0	0.0
vik_orchard_b_2	shield_scripted_pop_cap_lord	region_to_region_own	20.0	20.0	0.0
vik_orchard_b_3	shield_scripted_pop_cap_lord	region_to_region_own	40.0	40.0	0.0
vik_pasture_b_2	shield_scripted_pop_cap_lord	region_to_region_own	20.0	20.0	0.0
vik_pasture_b_3	shield_scripted_pop_cap_lord	region_to_region_own	40.0	40.0	0.0
vik_great_hall_4	shield_scripted_pop_cap_lord	region_to_region_own	80.0	80.0	0.0
vik_great_hall_5	shield_scripted_pop_cap_lord	region_to_region_own	120.0	120.0	0.0
vik_offas_hall_1	shield_scripted_pop_cap_lord	region_to_region_own	40.0	40.0	0.0
vik_offas_hall_2	shield_scripted_pop_cap_lord	region_to_region_own	80.0	80.0	0.0
vik_offas_hall_3	shield_scripted_pop_cap_lord	region_to_region_own	120.0	120.0	0.0
vik_offas_hall_4	shield_scripted_pop_cap_lord	region_to_region_own	160.0	160.0	0.0
vik_offas_hall_5	shield_scripted_pop_cap_lord	region_to_region_own	200.0	200.0	0.0
vik_rock_caisil_1	shield_scripted_pop_cap_lord	region_to_region_own	40.0	40.0	0.0
vik_rock_caisil_2	shield_scripted_pop_cap_lord	region_to_region_own	80.0	80.0	0.0
vik_rock_caisil_3	shield_scripted_pop_cap_lord	region_to_region_own	120.0	120.0	0.0
vik_rock_caisil_4	shield_scripted_pop_cap_lord	region_to_region_own	160.0	160.0	0.0
vik_rock_caisil_5	shield_scripted_pop_cap_lord	region_to_region_own	200.0	200.0	0.0
vik_grianan_ailech_1	shield_scripted_pop_cap_lord	region_to_region_own	40.0	40.0	0.0
vik_grianan_ailech_2	shield_scripted_pop_cap_lord	region_to_region_own	80.0	80.0	0.0
vik_grianan_ailech_3	shield_scripted_pop_cap_lord	region_to_region_own	120.0	120.0	0.0
vik_grianan_ailech_4	shield_scripted_pop_cap_lord	region_to_region_own	160.0	160.0	0.0
vik_grianan_ailech_5	shield_scripted_pop_cap_lord	region_to_region_own	200.0	200.0	0.0
vik_mountain_hall_1	shield_scripted_pop_cap_lord	region_to_region_own	40.0	40.0	0.0
vik_mountain_hall_2	shield_scripted_pop_cap_lord	region_to_region_own	80.0	80.0	0.0
vik_mountain_hall_3	shield_scripted_pop_cap_lord	region_to_region_own	120.0	120.0	0.0
vik_mountain_hall_4	shield_scripted_pop_cap_lord	region_to_region_own	160.0	160.0	0.0
vik_mountain_hall_5	shield_scripted_pop_cap_lord	region_to_region_own	200.0	200.0	0.0
vik_longphort_4	shield_scripted_pop_cap_lord	region_to_region_own	80.0	80.0	0.0
vik_longphort_5	shield_scripted_pop_cap_lord	region_to_region_own	120.0	120.0	0.0
