building	effect	effect_scope	value	value_damaged	value_ruined
#building_effects_junction_tables;3;db/building_effects_junction_tables/resource_gdp					
vik_cloth_2	vik_resource_cloth_production	building_to_building_own	15.0	7.0	0.0
vik_cloth_3	vik_resource_cloth_production	building_to_building_own	20.0	10.0	0.0
vik_copper_1	vik_resource_copper_production	building_to_building_own	10.0	5.0	0.0
vik_copper_2	vik_resource_copper_production	building_to_building_own	15.0	7.0	0.0
vik_copper_3	vik_resource_copper_production	building_to_building_own	20.0	10.0	0.0
vik_gold_1	vik_resource_gold_production	building_to_building_own	10.0	5.0	0.0
vik_gold_2	vik_resource_gold_production	building_to_building_own	15.0	7.0	0.0
vik_gold_3	vik_resource_gold_production	building_to_building_own	20.0	10.0	0.0
vik_gold_b_3	vik_resource_gold_production	building_to_building_own	10.0	5.0	0.0
vik_guildhall_1	vik_resource_mod_market	region_to_region_own_provincewide	10.0	5.0	0.0
vik_guildhall_2	vik_resource_mod_market	region_to_region_own_provincewide	20.0	10.0	0.0
vik_guildhall_3	vik_resource_mod_market	region_to_region_own_provincewide	30.0	15.0	0.0
vik_hunting_1	vik_resource_leather_production	building_to_building_own	10.0	5.0	0.0
vik_hunting_2	vik_resource_leather_production	building_to_building_own	15.0	7.0	0.0
vik_hunting_3	vik_resource_leather_production	building_to_building_own	20.0	10.0	0.0
vik_hunting_4	vik_resource_leather_production	building_to_building_own	20.0	10.0	0.0
vik_hunting_5	vik_resource_leather_production	building_to_building_own	20.0	10.0	0.0
vik_hunting_b_2	vik_resource_leather_production	building_to_building_own	10.0	5.0	0.0
vik_hunting_b_3	vik_resource_leather_production	building_to_building_own	10.0	5.0	0.0
vik_hunting_b_4	vik_resource_leather_production	building_to_building_own	10.0	5.0	0.0
vik_hunting_b_5	vik_resource_leather_production	building_to_building_own	10.0	5.0	0.0
vik_iron_1	vik_resource_iron_production	building_to_building_own	10.0	5.0	0.0
vik_iron_2	vik_resource_iron_production	building_to_building_own	15.0	7.0	0.0
vik_iron_3	vik_resource_iron_production	building_to_building_own	20.0	10.0	0.0
vik_martyrs_mint_1	vik_resource_mod	region_to_region_own_provincewide	10.0	5.0	0.0
vik_martyrs_mint_2	vik_resource_mod	region_to_region_own_provincewide	20.0	10.0	0.0
vik_martyrs_mint_3	vik_resource_mod	region_to_region_own_provincewide	30.0	15.0	0.0
vik_port_trade_1	vik_resource_mod_farm	region_to_region_own_provincewide	10.0	5.0	0.0
vik_port_trade_2	vik_resource_mod_farm	region_to_region_own_provincewide	15.0	10.0	0.0
vik_port_trade_3	vik_resource_mod_farm	region_to_region_own_provincewide	20.0	15.0	0.0
vik_pottery_1	vik_resource_pottery	building_to_building_own	10.0	5.0	0.0
vik_pottery_2	vik_resource_pottery	building_to_building_own	15.0	7.0	0.0
vik_pottery_3	vik_resource_pottery	building_to_building_own	20.0	10.0	0.0
vik_salt_1	vik_resource_salt_production	building_to_building_own	5.0	2.0	0.0
vik_salt_b_2	vik_resource_salt_production	building_to_building_own	10.0	5.0	0.0
vik_salt_b_3	vik_resource_salt_production	building_to_building_own	16.0	8.0	0.0
vik_salt_2	vik_resource_salt_production	building_to_building_own	30.0	10.0	0.0
vik_salt_3	vik_resource_salt_production	building_to_building_own	50.0	17.0	0.0
vik_silver_1	vik_resource_silver_production	building_to_building_own	10.0	5.0	0.0
vik_silver_2	vik_resource_silver_production	building_to_building_own	15.0	7.0	0.0
vik_silver_3	vik_resource_silver_production	building_to_building_own	20.0	10.0	0.0
vik_silver_b_3	vik_resource_silver_production	building_to_building_own	10.0	7.0	0.0
vik_tanner_1	vik_resource_mod_farm	region_to_region_own_provincewide	10.0	5.0	0.0
vik_tin_1	vik_resource_tin_production	building_to_building_own	10.0	5.0	0.0
vik_tin_2	vik_resource_tin_production	building_to_building_own	15.0	7.0	0.0
vik_tin_3	vik_resource_tin_production	building_to_building_own	20.0	10.0	0.0
vik_hunting_2	vik_resource_wood_production	building_to_building_own	15.0	5.0	0.0
vik_hunting_3	vik_resource_wood_production	building_to_building_own	30.0	7.0	0.0
vik_wax_1	shield_resource_candles_production	building_to_building_own	3.0	0.0	0.0
vik_wax_2	shield_resource_candles_production	building_to_building_own	6.0	3.0	0.0
vik_wax_3	shield_resource_candles_production	building_to_building_own	9.0	6.0	0.0
vik_embroiders_1	shield_resource_textiles_production	region_to_region_own	8.0	1.0	0.0
vik_embroiders_1	shield_trade_resource_consumption_cloth	region_to_region_own_provincewide	-40.0	1.0	0.0
vik_embroiders_2	shield_resource_textiles_production	region_to_region_own	16.0	1.0	0.0
vik_embroiders_2	shield_trade_resource_consumption_cloth	region_to_region_own_provincewide	-55.0	1.0	0.0
vik_embroiders_3	shield_resource_textiles_production	region_to_region_own	24.0	1.0	0.0
vik_embroiders_3	shield_trade_resource_consumption_cloth	region_to_region_own_provincewide	-70.0	1.0	0.0
vik_tithe_hall_1	vik_food_production_mod_farms	region_to_region_own_provincewide	15.0	5.0	0.0
vik_tithe_hall_2	vik_food_production_mod_farms	region_to_region_own_provincewide	20.0	10.0	0.0
vik_tithe_hall_3	vik_food_production_mod_farms	region_to_region_own_provincewide	30.0	15.0	0.0
vik_mill_1	vik_food_production_mod_farms	region_to_region_own_provincewide	15.0	10.0	0.0
