building	effect	effect_scope	value	value_damaged	value_ruined
#building_effects_junction_tables;3;db/building_effects_junction_tables/secondary_slot_building_gdp_assignments					
vik_scribes_1	shield_gdp_church	building_to_building_own	45.0	23.0	0.0
vik_scribes_2	shield_gdp_church	building_to_building_own	90.0	45.0	0.0
vik_scribes_3	shield_gdp_church	building_to_building_own	180.0	90.0	0.0
vik_wax_1	shield_gdp_church	building_to_building_own	30.0	15.0	0.0
vik_wax_2	shield_gdp_church	building_to_building_own	38.0	19.0	0.0
vik_wax_3	shield_gdp_church	building_to_building_own	45.0	23.0	0.0
vik_workshop_1	shield_gdp_industry	building_to_building_own	40.0	20.0	0.0
vik_workshop_2	shield_gdp_industry	building_to_building_own	60.0	30.0	0.0
vik_workshop_3	shield_gdp_industry	building_to_building_own	74.0	37.0	0.0
vik_tools_b_2	shield_gdp_industry	building_to_building_own	23.0	12.0	0.0
vik_tools_b_3	shield_gdp_industry	building_to_building_own	38.0	19.0	0.0
vik_craft_merchant_1	shield_gdp_industry	building_to_building_own	30.0	15.0	0.0
vik_craft_merchant_2	shield_gdp_industry	building_to_building_own	45.0	23.0	0.0
vik_craft_merchant_3	shield_gdp_industry	building_to_building_own	60.0	30.0	0.0
vik_craft_merchant_b_2	shield_gdp_industry	building_to_building_own	125.0	63.0	0.0
vik_craft_merchant_b_3	shield_gdp_industry	building_to_building_own	180.0	90.0	0.0
vik_market_fair_1	shield_gdp_commerce	building_to_building_own	50.0	25.0	0.0
vik_market_fair_2	shield_gdp_commerce	building_to_building_own	100.0	50.0	0.0
vik_market_fair_3	shield_gdp_commerce	building_to_building_own	144.0	72.0	0.0
vik_port_trade_1	shield_gdp_commerce	building_to_building_own	30.0	15.0	0.0
vik_port_trade_2	shield_gdp_commerce	building_to_building_own	45.0	23.0	0.0
vik_port_trade_3	shield_gdp_commerce	building_to_building_own	60.0	30.0	0.0
vik_trade_1	shield_gdp_commerce	building_to_building_own	30.0	15.0	0.0
vik_trade_2	shield_gdp_commerce	building_to_building_own	60.0	30.0	0.0
vik_trade_3	shield_gdp_commerce	building_to_building_own	90.0	45.0	0.0
vik_port_herring_1	shield_gdp_farm	building_to_building_own	30.0	15.0	0.0
vik_port_herring_2	shield_gdp_farm	building_to_building_own	45.0	23.0	0.0
vik_port_herring_3	shield_gdp_farm	building_to_building_own	60.0	30.0	0.0
vik_tanner_1	shield_gdp_industry	building_to_building_own	30.0	15.0	0.0
vik_alehouse_1	shield_gdp_commerce	building_to_building_own	50.0	25.0	0.0
vik_martyrs_mint_1	shield_gdp_commerce	building_to_building_own	50.0	25.0	0.0
vik_textiles_1	shield_gdp_commerce	building_to_building_own	30.0	15.0	0.0
vik_textiles_2	shield_gdp_commerce	building_to_building_own	38.0	19.0	0.0
vik_textiles_3	shield_gdp_commerce	building_to_building_own	53.0	27.0	0.0
vik_lead_1	shield_gdp_industry	building_to_building_own	46.0	23.0	0.0
vik_lead_2	shield_gdp_industry	building_to_building_own	66.0	33.0	0.0
vik_lead_3	shield_gdp_industry	building_to_building_own	84.0	42.0	0.0
vik_church_crafts_1	shield_gdp_church	building_to_building_own	40.0	20.0	0.0
vik_church_crafts_2	shield_gdp_church	building_to_building_own	60.0	30.0	0.0
