building	effect	effect_scope	value	value_damaged	value_ruined
#building_effects_junction_tables;3;db/building_effects_junction_tables/village_gdp_effects					
vik_st_ringan_1	shield_gdp_church	building_to_building_own	20.0	5.0	0.0
vik_st_ringan_2	shield_gdp_church	building_to_building_own	24.0	6.0	0.0
vik_st_ringan_3	shield_gdp_church	building_to_building_own	28.0	7.0	0.0
vik_st_ringan_4	shield_gdp_church	building_to_building_own	32.0	8.0	0.0
vik_st_ringan_5	shield_gdp_church	building_to_building_own	40.0	10.0	0.0
vik_st_cuthbert_1	shield_gdp_church	building_to_building_own	20.0	5.0	0.0
vik_st_cuthbert_2	shield_gdp_church	building_to_building_own	24.0	6.0	0.0
vik_st_cuthbert_3	shield_gdp_church	building_to_building_own	28.0	7.0	0.0
vik_st_cuthbert_4	shield_gdp_church	building_to_building_own	32.0	8.0	0.0
vik_st_cuthbert_5	shield_gdp_church	building_to_building_own	40.0	10.0	0.0
vik_st_dewi_1	shield_gdp_church	building_to_building_own	20.0	5.0	0.0
vik_st_dewi_2	shield_gdp_church	building_to_building_own	24.0	6.0	0.0
vik_st_dewi_3	shield_gdp_church	building_to_building_own	28.0	7.0	0.0
vik_st_dewi_4	shield_gdp_church	building_to_building_own	32.0	8.0	0.0
vik_st_dewi_5	shield_gdp_church	building_to_building_own	40.0	10.0	0.0
vik_st_edmund_1	shield_gdp_church	building_to_building_own	20.0	5.0	0.0
vik_st_edmund_2	shield_gdp_church	building_to_building_own	24.0	6.0	0.0
vik_st_edmund_3	shield_gdp_church	building_to_building_own	28.0	7.0	0.0
vik_st_edmund_4	shield_gdp_church	building_to_building_own	32.0	8.0	0.0
vik_st_edmund_5	shield_gdp_church	building_to_building_own	40.0	10.0	0.0
vik_farm_1	shield_gdp_farm	building_to_building_own	20.0	10.0	0.0
vik_farm_2	shield_gdp_farm	building_to_building_own	35.0	18.0	0.0
vik_farm_3	shield_gdp_farm	building_to_building_own	60.0	30.0	0.0
vik_farm_b_2	shield_gdp_farm	building_to_building_own	30.0	15.0	0.0
vik_farm_b_3	shield_gdp_farm	building_to_building_own	45.0	23.0	0.0
vik_hunting_1	shield_gdp_farm	building_to_building_own	30.0	15.0	0.0
vik_hunting_2	shield_gdp_farm	building_to_building_own	40.0	20.0	0.0
vik_hunting_3	shield_gdp_farm	building_to_building_own	50.0	25.0	0.0
vik_hunting_b_2	shield_gdp_farm	building_to_building_own	30.0	15.0	0.0
vik_hunting_b_3	shield_gdp_farm	building_to_building_own	40.0	20.0	0.0
vik_orchard_1	shield_gdp_farm	building_to_building_own	40.0	20.0	0.0
vik_orchard_2	shield_gdp_farm	building_to_building_own	60.0	30.0	0.0
vik_orchard_3	shield_gdp_farm	building_to_building_own	70.0	35.0	0.0
vik_orchard_b_2	shield_gdp_farm	building_to_building_own	24.0	12.0	0.0
vik_orchard_b_3	shield_gdp_farm	building_to_building_own	32.0	16.0	0.0
vik_pasture_1	shield_gdp_farm	building_to_building_own	40.0	20.0	0.0
vik_pasture_2	shield_gdp_farm	building_to_building_own	54.0	27.0	0.0
vik_pasture_3	shield_gdp_farm	building_to_building_own	66.0	33.0	0.0
vik_pasture_b_2	shield_gdp_farm	building_to_building_own	26.0	13.0	0.0
vik_pasture_b_3	shield_gdp_farm	building_to_building_own	40.0	20.0	0.0
vik_pottery_1	shield_gdp_commerce	building_to_building_own	40.0	20.0	0.0
vik_pottery_2	shield_gdp_commerce	building_to_building_own	56.0	28.0	0.0
vik_pottery_3	shield_gdp_commerce	building_to_building_own	78.0	39.0	0.0
vik_cloth_1	shield_gdp_farm	building_to_building_own	15.0	8.0	0.0
vik_cloth_2	shield_gdp_farm	building_to_building_own	25.0	13.0	0.0
vik_cloth_3	shield_gdp_farm	building_to_building_own	40.0	20.0	0.0
vik_cloth_b_2	shield_gdp_farm	building_to_building_own	30.0	15.0	0.0
vik_cloth_b_3	shield_gdp_farm	building_to_building_own	45.0	23.0	0.0
vik_cloth_2	shield_gdp_commerce	region_to_region_own	20.0	10.0	0.0
vik_cloth_3	shield_gdp_commerce	region_to_region_own	30.0	15.0	0.0
vik_fishing_b_2	shield_gdp_commerce	building_to_building_own	16.0	8.0	0.0
vik_fishing_b_3	shield_gdp_commerce	building_to_building_own	26.0	13.0	0.0
vik_foreigners_1	shield_gdp_commerce	building_to_building_own	15.0	8.0	0.0
vik_foreigners_2	shield_gdp_commerce	building_to_building_own	25.0	13.0	0.0
vik_foreigners_3	shield_gdp_commerce	building_to_building_own	40.0	20.0	0.0
