key	num_instances
#building_instances_tables;0;db/building_instances_tables/building_instances	
vik_agent	1
vik_alehouse	1
vik_arena	1
vik_artisans	1
vik_bard	1
vik_bonus	1
vik_bullaun	1
vik_church	1
vik_church_crafts	1
vik_court	1
vik_court_school	1
vik_craft_merchant	1
vik_embroiders	1
vik_farm	1
vik_forge	1
vik_garrison	1
vik_granary	1
vik_great_hall	1
vik_guildhall	1
vik_high_cross	1
vik_law	1
vik_library	1
vik_market	1
vik_martyrs_mint	1
vik_master_forge	1
vik_merchant	1
vik_mill	1
vik_mint	1
vik_port	1
vik_resource	1
vik_round_tower	1
vik_sculptors	1
vik_settlement	1
vik_siege	1
vik_souterrain	1
vik_special	1
vik_tanner	1
vik_textiles	1
vik_thrall	1
vik_tithe_hall	1
vik_tools	1
vik_warehouse	1
vik_wax	1
vik_workshop	1
vik_workshop2	1
vik_wood	1
vik_hof	1
vik_archery	1
vik_athletics	1
