level_name	chain	level	create_time	create_cost	upkeep_cost	commodity	commodity_vol	only_in_capital	military_prestige	naval_prestige	economic_prestige	enlightenment_prestige	destruction_terminator	faction_unique	religion_requirement	first_in_world_bundle	resource_requirement	unique_index	can_convert	building_instance_key	audio_building_type	should_show_building_level_in_ui_for_technology	health_override	development_point_cost	has_aqueduct	can_be_damaged	requires_primary_slot_in_group
#building_levels_tables;11;db/building_levels_tables/ports_slums																											
att_abandoned_0	att_abandoned	0	1	0	0		0	false	0	0	0	0	false	false				11926	true		town	true	0.0	0	false	false	
att_slum_0	att_Slum	0	1	0	0		0	false	0	0	0	0	false	false				360	true		town	true	0.0	0	false	true	
vik_fishing_1	vik_fishing	0	9	600	0		0	false	0	0	0	0	true	false				16336	true	vik_port	fishing_port	true	0.0	0	false	true	
vik_fishing_2	vik_fishing	1	6	700	0		0	false	0	0	0	0	false	false				16337	true	vik_port	fishing_port	true	0.0	0	false	true	
vik_fishing_3	vik_fishing	2	8	800	0		0	false	0	0	0	0	false	false				16343	true	vik_port	fishing_port	true	0.0	0	false	true	
vik_fishing_4	vik_fishing	3	8	900	0		0	false	0	0	0	0	false	false				16350	true	vik_port	fishing_port	true	0.0	0	false	true	
vik_fishing_5	vik_fishing	4	8	1000	0		0	false	0	0	0	0	false	false				16357	true	vik_port	fishing_port	true	0.0	0	false	true	
vik_fishing_b_2	vik_fishing	1	6	800	0		0	false	0	0	0	0	false	false				17396	true	vik_port	fishing_port	true	0.0	0	false	true	
vik_fishing_b_3	vik_fishing	2	8	900	0		0	false	0	0	0	0	false	false				17406	true	vik_port	fishing_port	true	0.0	0	false	true	
vik_fishing_b_4	vik_fishing	3	8	1000	0		0	false	0	0	0	0	false	false				16992	true	vik_port	fishing_port	true	0.0	0	false	true	
vik_fishing_b_5	vik_fishing	4	8	1100	0		0	false	0	0	0	0	false	false				16998	true	vik_port	fishing_port	true	0.0	0	false	true	
vik_port_fish_1	vik_port	0	6	900	0		0	false	0	0	0	0	false	false				15612	true	vik_port	fishing_port	true	0.0	0	false	true	
vik_port_fish_2	vik_port	1	9	1050	0		0	false	0	0	0	0	false	false				15616	true	vik_port	fishing_port	true	0.0	0	false	true	
