level_name	chain	level	create_time	create_cost	upkeep_cost	commodity	commodity_vol	only_in_capital	military_prestige	naval_prestige	economic_prestige	enlightenment_prestige	destruction_terminator	faction_unique	religion_requirement	first_in_world_bundle	resource_requirement	unique_index	can_convert	building_instance_key	audio_building_type	should_show_building_level_in_ui_for_technology	health_override	development_point_cost	has_aqueduct	can_be_damaged	requires_primary_slot_in_group
#building_levels_tables;11;db/building_levels_tables/sec_landmarks																											
vik_st_swithun_1	vik_st_swithun	0	4	1100	0		0	false	0	0	0	0	true	false				16951	true	vik_church	church	false	0.0	0	false	true	
vik_st_swithun_2	vik_st_swithun	1	6	1300	0		0	false	0	0	0	0	false	false				16956	true	vik_church	church	false	0.0	0	false	true	
vik_st_swithun_3	vik_st_swithun	2	8	1500	0		0	false	0	0	0	0	false	false				16958	true	vik_church	church	false	0.0	0	false	true	
vik_st_brigit_1	vik_st_brigit	0	12	1100	0		0	false	0	0	0	0	true	false				16719	true	vik_church	church	false	0.0	0	false	true	
vik_st_brigit_2	vik_st_brigit	1	6	1300	0		0	false	0	0	0	0	false	false				16729	true	vik_church	church	false	0.0	0	false	true	
vik_st_brigit_3	vik_st_brigit	2	9	1500	0		0	false	0	0	0	0	false	false				16735	true	vik_church	church	false	0.0	0	false	true	
vik_sculptors_1	vik_sculptors	0	9	900	0		0	false	0	0	0	0	true	false				15664	true	vik_sculptors	workshop_stonemasonry	false	0.0	0	false	true	
vik_sculptors_2	vik_sculptors	1	6	1000	0		0	false	0	0	0	0	false	false				15669	true	vik_sculptors	workshop_stonemasonry	false	0.0	0	false	true	
vik_sculptors_3	vik_sculptors	2	6	1200	0		0	false	0	0	0	0	false	false				15677	true	vik_sculptors	workshop_stonemasonry	false	0.0	0	false	true	
vik_scoan_abbey_1	vik_scoan_abbey	0	12	1500	0		0	false	0	0	0	0	true	false				16700	true	vik_church	church	false	0.0	0	false	true	
vik_scoan_abbey_2	vik_scoan_abbey	1	6	1700	0		0	false	0	0	0	0	false	false				16708	true	vik_church	church	false	0.0	0	false	true	
vik_scoan_abbey_3	vik_scoan_abbey	2	6	2000	0		0	false	0	0	0	0	false	false				16715	true	vik_church	church	false	0.0	0	false	true	
vik_runestone_1	vik_runestone	0	6	900	0		0	false	0	0	0	0	true	false				15853	true	vik_sculptors	workshop_stonemasonry	false	0.0	0	false	true	
vik_runestone_2	vik_runestone	1	6	1000	0		0	false	0	0	0	0	false	false				15854	true	vik_sculptors	workshop_stonemasonry	false	0.0	0	false	true	
vik_runestone_3	vik_runestone	2	8	1200	0		0	false	0	0	0	0	false	false				15860	true	vik_sculptors	workshop_stonemasonry	false	0.0	0	false	true	
vik_guildhall_1	vik_guildhall	0	6	900	20		0	false	0	0	0	0	true	false				14645	true	vik_bonus	market	false	0.0	0	false	true	
vik_guildhall_2	vik_guildhall	1	9	1200	25		0	false	0	0	0	0	false	false				14652	true	vik_bonus	market	false	0.0	0	false	true	
vik_guildhall_3	vik_guildhall	2	12	1500	30		0	false	0	0	0	0	false	false				15868	true	vik_bonus	market	false	0.0	0	false	true	
vik_konungsgurtha_1	vik_konungsgurtha	0	4	900	0		0	false	0	0	0	0	true	false				16533	true	vik_special	military	false	0.0	0	false	true	
vik_konungsgurtha_2	vik_konungsgurtha	1	6	1200	0		0	false	0	0	0	0	false	false				16541	true	vik_special	military	false	0.0	0	false	true	
vik_konungsgurtha_3	vik_konungsgurtha	2	8	1500	0		0	false	0	0	0	0	false	false				16543	true	vik_special	military	false	0.0	0	false	true	
vik_fogou_1	vik_fogou	0	4	1500	100		0	false	0	0	0	0	true	false				17253	true	vik_granary	farm	false	0.0	0	false	true	
vik_fogou_2	vik_fogou	1	4	2500	150		0	false	0	0	0	0	false	false				17256	true	vik_granary	farm	false	0.0	0	false	true	
vik_fogou_3	vik_fogou	2	4	4000	250		0	false	0	0	0	0	false	false				17266	true	vik_granary	farm	false	0.0	0	false	true	
vik_embroiders_1	vik_embroiders	0	8	1050	0		0	false	0	0	0	0	true	false				15899	true	vik_embroiders	workshop_weaver	false	0.0	0	false	true	
vik_embroiders_2	vik_embroiders	1	4	1250	0		0	false	0	0	0	0	false	false				15904	true	vik_embroiders	workshop_weaver	false	0.0	0	false	true	
vik_embroiders_3	vik_embroiders	2	6	1450	0		0	false	0	0	0	0	false	false				15911	true	vik_embroiders	workshop_weaver	false	0.0	0	false	true	
vik_apple_ash_1	vik_apple_ash	0	6	1050	0		0	false	0	0	0	0	true	false				16451	true	vik_special	farm	false	0.0	0	false	true	
vik_apple_ash_2	vik_apple_ash	1	6	1250	0		0	false	0	0	0	0	false	false				16461	true	vik_special	farm	false	0.0	0	false	true	
vik_apple_ash_3	vik_apple_ash	2	6	1450	0		0	false	0	0	0	0	false	false				16471	true	vik_special	farm	false	0.0	0	false	true	
vik_nunnaminster_1	vik_nunnaminster	0	9	2000	0		0	false	0	0	0	0	true	false				16637	true	vik_bard	church	false	0.0	0	false	true	
vik_court_school_1	vik_court_school	0	10	1550	10		0	false	0	0	0	0	true	false				14518	true	vik_court_school	law_court	false	0.0	0	false	true	
vik_court_school_2	vik_court_school	1	6	1750	12		0	false	0	0	0	0	false	false				14528	true	vik_court_school	law_court	false	0.0	0	false	true	
vik_court_school_3	vik_court_school	2	6	1950	15		0	false	0	0	0	0	false	false				14535	true	vik_court_school	law_court	false	0.0	0	false	true	
vik_bard_1	vik_bard	0	6	900	70		0	false	0	0	0	0	true	false				14446	true	vik_bard	military	false	0.0	0	false	true	
vik_bard_2	vik_bard	1	4	1000	150		0	false	0	0	0	0	false	false				14451	true	vik_bard	military	false	0.0	0	false	true	
vik_bard_3	vik_bard	2	4	1100	310		0	false	0	0	0	0	false	false				14459	true	vik_bard	military	false	0.0	0	false	true	
