key	max_instances_per_region
#building_superchains_tables;0;db/building_superchains_tables/building_superchains	
att_abandoned	0
rom_Slum	0
vik_abbey	1
vik_achad_bo	1
vik_alehouse	1
vik_apple_ash	1
vik_arena	1
vik_artisans	1
vik_assembly	1
vik_bard	1
vik_bullaun	1
vik_church	1
vik_church_crafts	1
vik_city	1
vik_cloth	1
vik_copper	1
vik_court	1
vik_court_school	1
vik_craft_merchant	1
vik_embroiders	1
vik_estate	1
vik_farm	1
vik_fishing	1
vik_fogou	1
vik_forge	1
vik_garrison	1
vik_gold	1
vik_granary	1
vik_great_hall	1
vik_grianan_ailech	1
vik_guildhall	1
vik_herring_port	1
vik_high_cross	1
vik_hunting	1
vik_iron	1
vik_konungsgurtha	1
vik_lead	1
vik_library	1
vik_longphort	1
vik_market	1
vik_market_fair	1
vik_martyrs_mint	1
vik_master_forge	1
vik_merchant	1
vik_mill	1
vik_mint	1
vik_monastery	1
vik_moot_hill	1
vik_mountain_hall	1
vik_nunnaminster	1
vik_offas_hall	1
vik_orchard	1
vik_pasture	1
vik_port	1
vik_pottery	1
vik_rock_caisil	1
vik_round_tower	1
vik_runestone	1
vik_salt	1
vik_school_ros	1
vik_scoan_abbey	1
vik_scribes	1
vik_sculptors	1
vik_silver	1
vik_souterrain	1
vik_st_brigit	1
vik_st_ciaran	1
vik_st_columbe	1
vik_st_cuthbert	1
vik_st_dewi	1
vik_st_edmund	1
vik_st_patraic	1
vik_st_ringan	1
vik_st_swithun	1
vik_tanner	1
vik_textiles	1
vik_thing	1
vik_thrall	1
vik_tin	1
vik_tithe_hall	1
vik_tools	1
vik_trade	1
vik_trade_port	1
vik_viking_port	1
vik_warehouse	1
vik_wax	1
vik_wood	1
vik_workshop	1
vik_hof	1
vik_archery	1
vik_athletics	1
vik_oxford	1
vik_island_monastery	1
vik_borough	1
vik_foreigners	1
