from	to
#building_upgrades_junction_tables;0;db/building_upgrades_junction_tables/building_upgrades_junction	
vik_abbey_1	vik_abbey_2
vik_abbey_1	vik_abbey_b_2
vik_achad_bo_1	vik_achad_bo_2
vik_achad_bo_2	vik_achad_bo_3
vik_achad_bo_3	vik_achad_bo_4
vik_achad_bo_4	vik_achad_bo_5
vik_apple_ash_1	vik_apple_ash_2
vik_apple_ash_2	vik_apple_ash_3
vik_arena_1	vik_arena_2
vik_arena_2	vik_arena_3
vik_artisans_1	vik_artisans_2
vik_artisans_2	vik_artisans_3
vik_assembly_1	vik_assembly_2
vik_assembly_2	vik_assembly_3
vik_bard_1	vik_bard_2
vik_bard_2	vik_bard_3
vik_benedictine_abbey_1	vik_benedictine_abbey_2
vik_benedictine_abbey_1	vik_benedictine_abbey_b_2
vik_bullaun_1	vik_bullaun_2
vik_bullaun_2	vik_bullaun_3
vik_celi_de_abbey_1	vik_ceil_de_abbey_b_2
vik_celi_de_abbey_1	vik_celi_de_abbey_2
vik_church_1	vik_church_2
vik_church_2	vik_church_3
vik_church_crafts_1	vik_church_crafts_2
vik_church_crafts_2	vik_church_crafts_3
vik_cloth_1	vik_cloth_2
vik_cloth_1	vik_cloth_b_2
vik_cloth_2	vik_cloth_3
vik_cloth_b_2	vik_cloth_b_3
vik_copper_1	vik_copper_2
vik_copper_2	vik_copper_3
vik_court_1	vik_court_2
vik_court_2	vik_court_3
vik_court_school_1	vik_court_school_2
vik_court_school_2	vik_court_school_3
vik_craft_merchant_1	vik_craft_merchant_2
vik_craft_merchant_2	vik_craft_merchant_3
vik_embroiders_1	vik_embroiders_2
vik_embroiders_2	vik_embroiders_3
vik_estate_1	vik_estate_2
vik_estate_2	vik_estate_3
vik_farm_1	vik_farm_2
vik_farm_1	vik_farm_b_2
vik_farm_2	vik_farm_3
vik_farm_b_2	vik_farm_b_3
vik_fishing_1	vik_fishing_2
vik_fishing_1	vik_fishing_b_2
vik_fishing_2	vik_fishing_3
vik_fishing_b_2	vik_fishing_b_3
vik_fogou_1	vik_fogou_2
vik_fogou_2	vik_fogou_3
vik_forge_1	vik_forge_2
vik_forge_2	vik_forge_3
vik_garrison_1	vik_garrison_2
vik_gold_1	vik_gold_2
vik_gold_2	vik_gold_3
vik_gold_2	vik_gold_b_3
vik_granary_1	vik_granary_2
vik_great_hall_1	vik_great_hall_2
vik_great_hall_2	vik_great_hall_3
vik_great_hall_3	vik_great_hall_4
vik_great_hall_4	vik_great_hall_5
vik_grianan_ailech_1	vik_grianan_ailech_2
vik_grianan_ailech_2	vik_grianan_ailech_3
vik_grianan_ailech_3	vik_grianan_ailech_4
vik_grianan_ailech_4	vik_grianan_ailech_5
vik_guildhall_1	vik_guildhall_2
vik_guildhall_2	vik_guildhall_3
vik_high_cross_1	vik_high_cross_2
vik_hunting_1	vik_hunting_2
vik_hunting_1	vik_hunting_b_2
vik_hunting_2	vik_hunting_3
vik_hunting_b_2	vik_hunting_b_3
vik_iron_1	vik_iron_2
vik_iron_2	vik_iron_3
vik_konungsgurtha_1	vik_konungsgurtha_2
vik_konungsgurtha_2	vik_konungsgurtha_3
vik_lead_1	vik_lead_2
vik_lead_2	vik_lead_3
vik_library_1	vik_library_2
vik_library_2	vik_library_3
vik_longphort_1	vik_longphort_2
vik_longphort_2	vik_longphort_3
vik_longphort_3	vik_longphort_4
vik_longphort_4	vik_longphort_5
vik_market_1	vik_market_2
vik_market_2	vik_market_3
vik_market_3	vik_market_4
vik_market_4	vik_market_5
vik_market_fair_1	vik_market_fair_2
vik_market_fair_2	vik_market_fair_3
vik_master_forge_1	vik_master_forge_2
vik_master_forge_2	vik_master_forge_3
vik_merchant_1	vik_merchant_2
vik_merchant_2	vik_merchant_3
vik_mint_1	vik_mint_2
