key	building_level_key	culture	faction	sprawl_piece_level	sprawl_piece_type	sub_culture	building_model_id	construction_model_id
#campaign_settlement_display_building_ids_tables;1;db/campaign_settlement_display_building_ids_tables/campaign_settlement_display_building_ids								
abandoned_slot_generic_lvl_1				1	abandoned_slot		abandoned_slot_generic	building_construction
abandoned_slot_generic_lvl_2				2	abandoned_slot		abandoned_slot_generic	building_construction
abandoned_slot_generic_lvl_3				3	abandoned_slot		abandoned_slot_generic	building_construction
abandoned_sprawl_hex_generic_lvl_1				1	sprawl_abandoned_hex		abandoned_sprawl_hex_generic	building_construction
abandoned_sprawl_hex_generic_lvl_2				2	sprawl_abandoned_hex		abandoned_sprawl_hex_generic	building_construction
abandoned_sprawl_hex_generic_lvl_3				3	sprawl_abandoned_hex		abandoned_sprawl_hex_generic	building_construction
barbarian_empty_slot_lvl1		vik_cult		1	empty_slot		att_barbarian_city_minor_1	building_construction
barbarian_empty_slot_lvl2		vik_cult		2	empty_slot		att_barbarian_city_minor_1	building_construction
barbarian_empty_slot_lvl3		vik_cult		3	empty_slot		att_barbarian_city_minor_1	building_construction
barbarian_end_tower_lvl1		vik_cult		1	end_tower		AP_barbarian_end_tower	building_construction
barbarian_end_tower_lvl2		vik_cult		2	end_tower		AP_barbarian_end_tower	building_construction
barbarian_end_tower_lvl3		vik_cult		3	end_tower		AP_barbarian_end_tower	building_construction
barbarian_gatehouse_13_inverse_lvl1		vik_cult		1	gatehouse_13_inverse		barbarian_gatehouse_13_inverse	building_construction
barbarian_gatehouse_13_inverse_lvl2		vik_cult		2	gatehouse_13_inverse		barbarian_gatehouse_13_inverse	building_construction
barbarian_gatehouse_13_inverse_lvl3		vik_cult		3	gatehouse_13_inverse		barbarian_gatehouse_13_inverse	building_construction
barbarian_gatehouse_13_lvl1		vik_cult		1	gatehouse_13		barbarian_gatehouse_13	building_construction
barbarian_gatehouse_13_lvl2		vik_cult		2	gatehouse_13		barbarian_gatehouse_13	building_construction
barbarian_gatehouse_13_lvl3		vik_cult		3	gatehouse_13		barbarian_gatehouse_13	building_construction
barbarian_gatehouse_14_lvl1		vik_cult		1	gatehouse_14		barbarian_gatehouse_14	building_construction
barbarian_gatehouse_14_lvl2		vik_cult		2	gatehouse_14		barbarian_gatehouse_14	building_construction
barbarian_gatehouse_14_lvl3		vik_cult		3	gatehouse_14		barbarian_gatehouse_14	building_construction
barbarian_river_gatehouse_13_inverse_lvl1		vik_cult		1	river_gatehouse_13_inverse		barbarian_river_gatehouse_13_inverse	building_construction
barbarian_river_gatehouse_13_inverse_lvl2		vik_cult		2	river_gatehouse_13_inverse		barbarian_river_gatehouse_13_inverse	building_construction
barbarian_river_gatehouse_13_inverse_lvl3		vik_cult		3	river_gatehouse_13_inverse		barbarian_river_gatehouse_13_inverse	building_construction
barbarian_river_gatehouse_13_lvl1		vik_cult		1	river_gatehouse_13		barbarian_river_gatehouse_13	building_construction
barbarian_river_gatehouse_13_lvl2		vik_cult		2	river_gatehouse_13		barbarian_river_gatehouse_13	building_construction
barbarian_river_gatehouse_13_lvl3		vik_cult		3	river_gatehouse_13		barbarian_river_gatehouse_13	building_construction
barbarian_river_gatehouse_14_lvl1		vik_cult		1	river_gatehouse_14		barbarian_river_gatehouse_14	building_construction
barbarian_river_gatehouse_14_lvl2		vik_cult		2	river_gatehouse_14		barbarian_river_gatehouse_14	building_construction
barbarian_river_gatehouse_14_lvl3		vik_cult		3	river_gatehouse_14		barbarian_river_gatehouse_14	building_construction
barbarian_ruined_slot_addition		vik_cult		1	ruined_slot_addition		destroyed_slot_nomadic	building_construction
barbarian_slum_0	att_slum_0	vik_cult		0			att_barbarian_city_minor_1	building_construction
barbarian_sprawl_edge_0_lvl1		vik_cult		1	sprawl_edge_0		barbarian_sprawl_edge_0_lvl1	building_construction
barbarian_sprawl_edge_0_lvl2		vik_cult		2	sprawl_edge_0		barbarian_sprawl_edge_0_lvl2	building_construction
barbarian_sprawl_edge_0_lvl3		vik_cult		3	sprawl_edge_0		barbarian_sprawl_edge_0_lvl3	building_construction
barbarian_sprawl_edge_123456_lvl1		vik_cult		1	sprawl_edge_123456		barbarian_sprawl_edge_123456_lvl1	building_construction
barbarian_sprawl_edge_123456_lvl2		vik_cult		2	sprawl_edge_123456		barbarian_sprawl_edge_123456_lvl2	building_construction
barbarian_sprawl_edge_123456_lvl3		vik_cult		3	sprawl_edge_123456		barbarian_sprawl_edge_123456_lvl3	building_construction
barbarian_sprawl_edge_12345_lvl1		vik_cult		1	sprawl_edge_12345		barbarian_sprawl_edge_12345_lvl1	building_construction
barbarian_sprawl_edge_12345_lvl2		vik_cult		2	sprawl_edge_12345		barbarian_sprawl_edge_12345_lvl2	building_construction
barbarian_sprawl_edge_12345_lvl3		vik_cult		3	sprawl_edge_12345		barbarian_sprawl_edge_12345_lvl3	building_construction
barbarian_sprawl_edge_1234_lvl1		vik_cult		1	sprawl_edge_1234		barbarian_sprawl_edge_1234_lvl1	building_construction
barbarian_sprawl_edge_1234_lvl2		vik_cult		2	sprawl_edge_1234		barbarian_sprawl_edge_1234_lvl2	building_construction
barbarian_sprawl_edge_1234_lvl3		vik_cult		3	sprawl_edge_1234		barbarian_sprawl_edge_1234_lvl3	building_construction
barbarian_sprawl_edge_1235_lvl1		vik_cult		1	sprawl_edge_1235		barbarian_sprawl_edge_1235_lvl1	building_construction
barbarian_sprawl_edge_1235_lvl2		vik_cult		2	sprawl_edge_1235		barbarian_sprawl_edge_1235_lvl2	building_construction
barbarian_sprawl_edge_1235_lvl3		vik_cult		3	sprawl_edge_1235		barbarian_sprawl_edge_1235_lvl3	building_construction
barbarian_sprawl_edge_123_lvl1		vik_cult		1	sprawl_edge_123		barbarian_sprawl_edge_123_lvl1	building_construction
barbarian_sprawl_edge_123_lvl2		vik_cult		2	sprawl_edge_123		barbarian_sprawl_edge_123_lvl2	building_construction
barbarian_sprawl_edge_123_lvl3		vik_cult		3	sprawl_edge_123		barbarian_sprawl_edge_123_lvl3	building_construction
barbarian_sprawl_edge_1245_lvl1		vik_cult		1	sprawl_edge_1245		barbarian_sprawl_edge_1245_lvl1	building_construction
barbarian_sprawl_edge_1245_lvl2		vik_cult		2	sprawl_edge_1245		barbarian_sprawl_edge_1245_lvl2	building_construction
barbarian_sprawl_edge_1245_lvl3		vik_cult		3	sprawl_edge_1245		barbarian_sprawl_edge_1245_lvl3	building_construction
barbarian_sprawl_edge_124_lvl1		vik_cult		1	sprawl_edge_124		barbarian_sprawl_edge_124_lvl1	building_construction
barbarian_sprawl_edge_124_lvl2		vik_cult		2	sprawl_edge_124		barbarian_sprawl_edge_124_lvl2	building_construction
barbarian_sprawl_edge_124_lvl3		vik_cult		3	sprawl_edge_124		barbarian_sprawl_edge_124_lvl3	building_construction
barbarian_sprawl_edge_125_lvl1		vik_cult		1	sprawl_edge_125		barbarian_sprawl_edge_125_lvl1	building_construction
barbarian_sprawl_edge_125_lvl2		vik_cult		2	sprawl_edge_125		barbarian_sprawl_edge_125_lvl2	building_construction
barbarian_sprawl_edge_125_lvl3		vik_cult		3	sprawl_edge_125		barbarian_sprawl_edge_125_lvl3	building_construction
barbarian_sprawl_edge_12_lvl1		vik_cult		1	sprawl_edge_12		barbarian_sprawl_edge_12_lvl1	building_construction
barbarian_sprawl_edge_12_lvl2		vik_cult		2	sprawl_edge_12		barbarian_sprawl_edge_12_lvl2	building_construction
barbarian_sprawl_edge_12_lvl3		vik_cult		3	sprawl_edge_12		barbarian_sprawl_edge_12_lvl3	building_construction
barbarian_sprawl_edge_135_lvl1		vik_cult		1	sprawl_edge_135		barbarian_sprawl_edge_135_lvl1	building_construction
barbarian_sprawl_edge_135_lvl2		vik_cult		2	sprawl_edge_135		barbarian_sprawl_edge_135_lvl2	building_construction
barbarian_sprawl_edge_135_lvl3		vik_cult		3	sprawl_edge_135		barbarian_sprawl_edge_135_lvl3	building_construction
barbarian_sprawl_edge_13_lvl1		vik_cult		1	sprawl_edge_13		barbarian_sprawl_edge_13_lvl1	building_construction
