effect	bonus_value_id
#effect_bonus_value_basic_junction_tables;0;db/effect_bonus_value_basic_junction_tables/gdp_effects	
shield_gdp_industry	gdp_manufacture
shield_gdp_commerce	gdp_local_trade
shield_gdp_church	gdp_entertainment
shield_gdp_farm	gdp_farming
shield_pop_gdp_farm	gdp_mod_farming
shield_pop_gdp_comm	gdp_mod_local_trade
shield_pop_gdp_industry	gdp_mod_mining
shield_pop_gdp_farm	gdp_mod_fertility_agriculture
shield_pop_gdp_comm	gdp_mod_sea_trade
shield_pop_gdp_comm	gdp_mod_land_trade
shield_pop_gdp_church	gdp_mod_entertainment
shield_pop_gdp_church	gdp_mod_learning
shield_gdp_mining	gdp_manufacture
sw_income_church_mod	gdp_mod_entertainment
sw_income_agriculture_mod	gdp_mod_farming
sw_income_industry_mod	gdp_mod_mining
sw_income_commerce_mod	gdp_mod_local_trade
