effect	bonus_value_id	resource
#effect_bonus_value_resource_junction_tables;0;db/effect_bonus_value_resource_junction_tables/effect_bonus_value_resource_junction		
vik_resource_cloth_production	production	res_vik_cloth
vik_resource_copper_production	production	res_vik_copper
vik_resource_gold_production	production	res_vik_gold
vik_resource_iron_production	production	res_vik_iron
vik_resource_lead_production	production	res_vik_lead
vik_resource_leather_production	production	res_vik_leather
vik_resource_pottery	production	res_vik_pottery
vik_resource_salt_production	production	res_vik_salt
vik_resource_silver_production	production	res_vik_silver
vik_resource_tin_production	production	res_vik_tin
vik_resource_wood_production	production	res_vik_wood
shield_resource_candles_production	production	shield_candles
shield_resource_steel_production	production	shield_steel
shield_resource_textiles_production	production	shield_textiles
shield_resource_jewellery_production	production	shield_jewellery
